metric,value,description
phase313_interpretation_complete,1,Phase313 event-catalyst strategy-search interpretation completed
phase313_positive_sparse_leads_exist,1,Sparse positive training leads exist
phase313_cost_stress_sparse_leads_exist,1,2x-cost sparse training leads exist
phase313_insufficient_event_breadth_for_acceptance,1,Event breadth insufficient for acceptance
phase313_insufficient_trade_breadth_for_acceptance,1,Trade breadth insufficient for acceptance
phase313_replay_allowed,0,No replay
phase313_strategy_promotion_allowed,0,No promotion
phase313_paper_or_live_acceptance_allowed,0,No paper/live
phase313_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase313_selected_next_route,P314_EVENT_CATALYST_MULTIEVENT_SYNTHETIC_BREADTH_PRECOMMIT,Selected next route
phase313_hard_gate_pass_rows,5,Passed hard gates
phase313_hard_gate_rows,5,Hard gates
phase313_next_best_action,run_phase314_event_catalyst_multievent_synthetic_breadth_precommit_no_replay,Recommended next action
