quarter_profile,regime_code,book_event_label,rows,median_spread_ticks,median_event_intensity_proxy,median_bid_l5_qty,median_ask_l5_qty
Q-A,D01,best_price_shift,5,3.0,1.3130218768598483,371.0,683.0
Q-A,D01,book_state_update,26995,4.0,1.0479616343730116,472.0,395.0
Q-A,D01,spread_widening,1800,24.5,1.0382864592796275,471.5,925.0
Q-A,D02,book_state_update,15750,3.0,0.8203367117362022,499.0,419.0
Q-A,D02,spread_widening,1050,21.0,0.8172594126780371,517.0,1018.5
Q-A,D03,best_price_shift,107,4.0,1.5298761536558785,374.0,604.0
Q-A,D03,book_state_update,11143,5.0,1.2298112419066454,444.0,371.0
Q-A,D03,spread_widening,750,29.5,1.215661915691995,419.5,847.0
Q-A,D04,best_price_shift,52,3.0,1.4451246671358229,921.0,855.5
Q-A,D04,book_state_update,15698,4.0,1.167241478060042,469.0,392.0
Q-A,D04,spread_widening,1050,24.5,1.1551493858114619,470.5,893.0
Q-A,D05,best_price_shift,204,3.0,1.8102919879503183,374.0,545.0
Q-A,D05,book_state_update,4296,4.0,1.4686872020147843,416.0,347.0
Q-A,D05,spread_widening,300,27.0,1.4650008777790542,405.0,762.0
Q-A,D06,best_price_shift,32,3.0,1.466258749985057,452.0,821.0
Q-A,D06,book_state_update,11218,4.0,1.1680409767812259,446.0,372.0
Q-A,D06,spread_widening,750,25.5,1.156230589617361,428.5,880.5
Q-A,D07,best_price_shift,1430,7.0,2.2005035618341164,238.0,358.5
Q-A,D07,book_state_update,3035,7.0,1.674215333122693,273.0,252.0
Q-A,D07,multi_level_sweep,88,9.0,2.6690562372926347,153.5,111.5
Q-A,D07,replenishment,1765,7.0,1.8942096536301616,319.0,445.0
Q-A,D07,spread_widening,882,14.0,1.7898892967995863,55.0,62.0
Q-A,D08,best_price_shift,65,3.0,1.5780579593115043,486.0,770.0
Q-A,D08,book_state_update,4435,4.0,1.2878334574550963,443.0,368.0
Q-A,D08,spread_widening,300,25.5,1.2772697181561345,445.5,843.5
Q-A,D09,best_price_shift,42,3.0,1.6618803419485784,346.5,298.5
Q-A,D09,book_state_update,2208,5.0,1.2928936642481337,421.0,352.0
Q-A,D09,spread_widening,150,28.0,1.2698531989735269,393.0,795.0
Q-A,D10,best_price_shift,154,4.0,1.7798858353832978,419.0,586.5
Q-A,D10,book_state_update,4346,5.0,1.4173490626075413,392.5,327.0
Q-A,D10,spread_widening,300,30.5,1.4012319390082477,375.5,707.0
Q-A,D11,best_price_shift,148,5.0,1.6678878997830129,341.5,313.5
Q-A,D11,book_state_update,2102,4.0,1.3643366907960617,418.0,346.0
Q-A,D11,spread_widening,150,29.5,1.359192041734603,405.5,786.0
Q-A,D12,best_price_shift,281,5.0,1.8083305310678537,345.0,540.0
Q-A,D12,book_state_update,9988,5.0,1.4664531119413413,403.0,335.0
Q-A,D12,multi_level_sweep,12,9.0,2.311815887453189,70.0,41.5
Q-A,D12,spread_widening,1719,14.0,1.4532937605931138,242.0,291.0
Q-A,D13,book_state_update,2159,8.0,0.840525771989717,209.0,197.0
Q-A,D13,multi_level_sweep,20,11.0,1.142831443035517,110.0,60.5
Q-A,D13,spread_widening,221,56.0,0.8371465605034223,144.0,118.0
Q-A,D15,book_state_update,4500,3.5,1.1380254439925392,474.0,397.0
Q-A,D15,spread_widening,300,25.5,1.132339720171362,490.0,940.0
Q-A,D17,book_state_update,4350,3.5,1.1899053469169412,456.0,380.0
Q-A,D17,spread_widening,450,27.0,1.1882477921037193,275.0,280.0
Q-A,D18,best_price_shift,35,3.0,1.6805637211664755,383.0,571.0
Q-A,D18,book_state_update,6715,5.0,1.2638864301707717,424.0,354.0
Q-A,D18,spread_widening,450,28.0,1.2542959219670338,418.5,763.0
Q-A,D19,best_price_shift,38,3.0,1.6535033582175158,442.5,670.0
Q-A,D19,book_state_update,4462,5.0,1.3414155948578705,419.0,349.0
Q-A,D19,spread_widening,300,28.0,1.3260976301732341,413.0,802.0
Q-A,D20,best_price_shift,285,6.0,2.0189491081893847,283.0,433.0
Q-A,D20,book_state_update,1627,6.0,1.5943329953974352,357.0,274.0
Q-A,D20,multi_level_sweep,16,9.0,2.352030090423632,125.0,64.0
Q-A,D20,replenishment,176,6.0,1.8356392071259986,361.5,488.0
Q-A,D20,spread_widening,296,29.5,1.6239809532270981,108.0,100.5
Q-B,D01,best_price_shift,1,5.0,1.3116514300439608,157.0,212.0
Q-B,D01,book_state_update,19499,4.0,1.0468823287981717,475.0,399.0
Q-B,D01,multi_level_sweep,2,8.0,1.3316985759682818,102.0,62.5
Q-B,D01,spread_widening,2098,21.0,1.0403643426488705,290.0,365.0
Q-B,D02,book_state_update,9000,3.0,0.8203640071406038,500.0,420.0
Q-B,D02,spread_widening,600,21.0,0.8159012078085277,521.0,1020.0
Q-B,D03,best_price_shift,63,4.0,1.5353082980595376,464.0,812.0
Q-B,D03,book_state_update,8937,5.0,1.2396492169476336,441.0,370.0
Q-B,D03,spread_widening,600,29.5,1.2241814747437956,442.5,819.0
Q-B,D04,best_price_shift,6,3.5,1.4374341724682846,372.0,648.0
Q-B,D04,book_state_update,23994,4.0,1.1660462413926245,473.5,396.0
Q-B,D04,multi_level_sweep,6,10.0,1.5605652461210608,97.5,62.0
Q-B,D04,spread_widening,2394,21.0,1.159934719585586,291.0,364.0
Q-B,D05,best_price_shift,1040,4.0,1.8384834174414526,449.0,698.5
Q-B,D05,book_state_update,12460,4.0,1.4764773405114808,481.0,630.0
Q-B,D05,multi_level_sweep,6,8.0,1.9934369591656413,82.0,51.0
Q-B,D05,spread_widening,3294,10.0,1.4967967852013442,232.5,245.0
Q-B,D06,best_price_shift,43,3.0,1.465449849526768,811.0,833.0
Q-B,D06,book_state_update,5957,4.0,1.162725724342963,463.0,385.0
Q-B,D06,multi_level_sweep,4,9.0,1.4312563767157425,58.5,39.5
Q-B,D06,spread_widening,1196,11.0,1.1580133486771407,267.0,310.5
Q-B,D07,best_price_shift,595,6.0,2.167693645000438,287.0,417.0
Q-B,D07,book_state_update,864,7.0,1.6729755305115943,270.0,252.5
Q-B,D07,multi_level_sweep,18,9.0,2.8259375641621585,89.5,77.0
Q-B,D07,replenishment,627,7.0,1.8961990926249606,337.0,236.0
Q-B,D07,spread_widening,296,31.5,1.8076686563789204,92.5,87.0
Q-B,D08,best_price_shift,155,4.0,1.615440256230627,446.0,649.0
Q-B,D08,book_state_update,7345,4.0,1.3034987319299896,529.0,703.0
Q-B,D08,multi_level_sweep,6,8.0,1.997813741256484,72.0,47.0
Q-B,D08,spread_widening,2094,10.0,1.3009135669385066,236.5,235.0
Q-B,D09,best_price_shift,40,3.0,1.6274113324031794,370.5,561.0
Q-B,D09,book_state_update,2210,5.0,1.2845584465636515,419.5,351.0
Q-B,D09,spread_widening,150,28.0,1.2745835642788377,418.5,784.0
Q-B,D10,best_price_shift,123,4.0,1.7407572698359548,431.0,567.0
Q-B,D10,book_state_update,2127,5.0,1.4068420211791972,389.0,330.0
Q-B,D10,spread_widening,150,30.5,1.400404580373754,399.5,745.0
Q-B,D11,best_price_shift,56,3.0,1.6791199639642134,476.5,737.5
Q-B,D11,book_state_update,2194,5.0,1.3475107531503738,416.5,349.0
Q-B,D11,spread_widening,150,29.5,1.3349512504023027,402.5,798.0
Q-B,D12,best_price_shift,301,4.0,1.8148778705511621,421.0,680.0
Q-B,D12,book_state_update,10574,5.0,1.4612044931309072,401.0,332.0
Q-B,D12,spread_widening,1125,35.0,1.449075315013075,241.0,199.0
Q-B,D13,book_state_update,2175,8.0,0.8466914768125637,208.0,196.0
Q-B,D13,spread_widening,225,56.0,0.8412300328549954,144.0,117.0
Q-B,D15,book_state_update,6750,3.5,1.1398630992156233,474.0,398.0
Q-B,D15,spread_widening,450,25.5,1.134285777142944,477.0,957.5
Q-B,D17,book_state_update,4350,4.0,1.1895325201677533,457.0,377.0
Q-B,D17,spread_widening,450,31.0,1.1877563907318813,275.0,225.0
Q-B,D18,best_price_shift,1,5.0,1.6057267798761616,1270.0,1628.0
Q-B,D18,book_state_update,6749,3.0,1.2730489924248094,423.0,353.0
Q-B,D18,spread_widening,450,28.0,1.261409797311984,429.5,827.5
Q-B,D19,best_price_shift,100,3.0,1.692652381615955,360.0,312.5
Q-B,D19,book_state_update,4400,5.0,1.3395783588228363,420.0,351.0
Q-B,D19,spread_widening,300,28.0,1.3281900178537134,409.5,787.0
Q-B,D20,best_price_shift,403,6.0,1.9824144362365177,277.0,390.0
Q-B,D20,book_state_update,1483,6.0,1.6006280643819106,293.0,278.0
Q-B,D20,multi_level_sweep,34,9.0,2.5895202770636025,171.0,125.0
Q-B,D20,replenishment,186,6.0,1.8329874342305157,263.0,249.5
Q-B,D20,spread_widening,294,14.0,1.6435199694784672,59.0,67.0
Q-C,D01,best_price_shift,25,3.0,1.3385971410787034,500.0,784.0
Q-C,D01,book_state_update,11225,4.0,1.0487813729997977,471.0,395.0
Q-C,D01,spread_widening,750,24.5,1.0425318582282888,472.5,895.0
Q-C,D02,book_state_update,6750,3.0,0.8193876730510157,500.0,420.0
Q-C,D02,spread_widening,450,21.0,0.8159621031066793,516.5,1010.0
Q-C,D03,best_price_shift,279,4.0,1.5545225138748304,457.0,645.0
Q-C,D03,book_state_update,17721,5.0,1.2352175326325103,442.0,370.0
Q-C,D03,spread_widening,1200,29.5,1.2217456377910318,422.0,798.5
Q-C,D04,best_price_shift,30,3.0,1.458767524898377,434.0,769.5
Q-C,D04,book_state_update,11220,4.0,1.166205755857885,469.0,392.0
Q-C,D04,spread_widening,750,24.5,1.157458179772521,466.0,906.5
Q-C,D05,best_price_shift,337,3.0,1.8296868634894623,369.0,526.0
Q-C,D05,book_state_update,4163,4.0,1.4769990967301294,415.0,345.0
Q-C,D05,spread_widening,300,27.0,1.4688642146934172,403.0,729.0
Q-C,D06,best_price_shift,36,2.0,1.4510756150866138,653.5,838.0
Q-C,D06,book_state_update,15714,4.0,1.1698393862248415,444.0,372.0
Q-C,D06,spread_widening,1050,25.5,1.1569488473142089,441.5,855.5
Q-C,D07,best_price_shift,3180,7.0,2.200359161898596,247.5,379.0
Q-C,D07,book_state_update,5978,7.0,1.6623918565934583,279.5,258.0
Q-C,D07,multi_level_sweep,166,9.0,2.898620225223786,124.5,96.0
Q-C,D07,replenishment,3306,7.0,1.8978688962248076,252.0,239.0
Q-C,D07,spread_widening,1770,14.0,1.789831703794793,55.0,62.0
Q-C,D08,best_price_shift,44,3.0,1.6089668821112832,392.5,610.0
Q-C,D08,book_state_update,2206,4.0,1.2943779949793988,441.0,368.0
Q-C,D08,spread_widening,150,25.5,1.2792085153772499,444.5,809.0
Q-C,D09,best_price_shift,97,3.0,1.6165678947849325,350.0,605.0
Q-C,D09,book_state_update,4403,5.0,1.2874157867247835,420.0,350.0
