candidate_id,feature_family_id,base_strategy_id,side,spread_bucket,imbalance_bucket,replenishment_bucket,spread_transition_type,recent_return_bucket,symbols,trade_dates,inferred_touches,signal_rows,baseline_adverse_selection_rate,replenishment_adverse_selection_rate,spread_adverse_direction_rate,mean_replenishment_ratio,mean_spread_change_bps,mean_abs_recent_return_bps,label_quality_score,adverse_selection_gate,replenishment_gate,spread_confirmation_gate,breadth_gate,p118_pre_replay_candidate,failure_reason
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S02_1_2p5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R04_ge_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R04_ge_10bp,2,1,4020,49100,1.0,1.0,1.0,1.0117897959153108,-0.004784431564488,27.38384444298813,1.5058948979576554,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S02_1_2p5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R03_5_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R03_5_10bp,2,1,4020,8950,1.0,1.0,1.0,1.0117897959153108,-0.0014083597344179,8.145647819566692,1.5058948979576554,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S02_1_2p5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R02_2p5_5bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R02_2p5_5bp,2,1,4020,250,1.0,1.0,1.0,1.0117897959153108,-0.0010717834168661,4.911707903718831,1.5058948979576554,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S02_1_2p5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R04_ge_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R04_ge_10bp,1,1,4020,49100,1.0,1.0,1.0,1.0117897959153108,-0.004784431564488,27.38384444298813,1.5058948979576554,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S02_1_2p5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R03_5_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R03_5_10bp,1,1,4020,8950,1.0,1.0,1.0,1.0117897959153108,-0.0014083597344179,8.145647819566692,1.5058948979576554,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S02_1_2p5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R02_2p5_5bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R02_2p5_5bp,1,1,4020,250,1.0,1.0,1.0,1.0117897959153108,-0.0010717834168661,4.911707903718831,1.5058948979576554,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S03_2p5_5bp__I03_0p60_0p80__R03_rebuilt_1p00_1p50__compression__R03_5_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S03_2p5_5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,compression,R03_5_10bp,1,1,1950,7900,1.0,1.0,1.0,1.0116560970329656,-0.0023237040084164,7.6370621765987154,1.5058280485164828,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S03_2p5_5bp__I03_0p60_0p80__R03_rebuilt_1p00_1p50__compression__R04_ge_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S03_2p5_5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,compression,R04_ge_10bp,1,1,1950,25600,1.0,1.0,1.0,1.0116560970329656,-0.0077925316631019,26.057577870193384,1.5058280485164828,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S03_2p5_5bp__I03_0p60_0p80__R03_rebuilt_1p00_1p50__compression__R02_2p5_5bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S03_2p5_5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,compression,R02_2p5_5bp,1,1,1950,2000,1.0,1.0,1.0,1.0116560970329656,-0.0012339635255748,4.091250971722426,1.5058280485164828,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S03_2p5_5bp__I03_0p60_0p80__R03_rebuilt_1p00_1p50__compression__R03_5_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S03_2p5_5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,compression,R03_5_10bp,1,1,1950,7900,1.0,1.0,1.0,1.0116560970329656,-0.0023237040084164,7.6370621765987154,1.5058280485164828,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
