evidence_file_id,field_name,field_type,required,description
broker_order_fill_events,broker_order_id,string,True,Broker order identifier.
broker_order_fill_events,broker_fill_id,string,False,Broker or exchange fill identifier where available.
broker_order_fill_events,exchange_order_id,string,False,Exchange order identifier where available.
broker_order_fill_events,trade_date,date,True,Trading date in exchange timezone.
broker_order_fill_events,exchange,string,True,Exchange code such as NSE.
broker_order_fill_events,symbol,string,True,Trading symbol.
broker_order_fill_events,side,string,True,BUY or SELL.
broker_order_fill_events,order_type,string,True,"MARKET, LIMIT, SL, etc."
broker_order_fill_events,order_status,string,True,"COMPLETE, CANCELLED, REJECTED, PARTIAL, etc."
broker_order_fill_events,order_timestamp_ist,datetime,True,Broker order timestamp in IST.
broker_order_fill_events,exchange_timestamp_ist,datetime,False,Exchange timestamp in IST if supplied.
broker_order_fill_events,quantity,integer,True,Order quantity.
broker_order_fill_events,filled_quantity,integer,True,Filled quantity.
broker_order_fill_events,average_price,float,True,Broker average execution price.
broker_order_fill_events,limit_price,float,False,Limit price where applicable.
broker_order_fill_events,rejection_reason,string,False,Reason for rejected orders.
broker_contract_note_charges,contract_note_id,string,True,Broker contract-note identifier.
broker_contract_note_charges,broker_order_id,string,True,Broker order identifier linked to order/fill events.
broker_contract_note_charges,trade_date,date,True,Trading date in exchange timezone.
broker_contract_note_charges,symbol,string,True,Trading symbol.
broker_contract_note_charges,buy_turnover_inr,float,True,Contract-note buy turnover.
broker_contract_note_charges,sell_turnover_inr,float,True,Contract-note sell turnover.
broker_contract_note_charges,brokerage_inr,float,True,Brokerage charged.
broker_contract_note_charges,stt_inr,float,True,Securities transaction tax.
broker_contract_note_charges,exchange_transaction_charge_inr,float,True,Exchange transaction charges.
broker_contract_note_charges,sebi_charge_inr,float,True,SEBI turnover charge.
broker_contract_note_charges,stamp_duty_inr,float,True,Stamp duty.
broker_contract_note_charges,gst_inr,float,True,Goods and Services Tax.
broker_contract_note_charges,total_charges_inr,float,True,Total charges from broker note.
broker_contract_note_charges,net_obligation_inr,float,True,Net settlement obligation.
strategy_order_linkage,strategy_id,string,True,S01-S11 strategy identifier.
strategy_order_linkage,internal_order_id,string,True,Internal simulated/live order identifier.
strategy_order_linkage,broker_order_id,string,True,Broker order identifier.
strategy_order_linkage,signal_timestamp_ist,datetime,True,Signal timestamp in IST.
strategy_order_linkage,order_arrival_timestamp_ist,datetime,True,Order arrival timestamp in IST.
strategy_order_linkage,validation_run_id,string,True,Validation run identifier.
broker_reconciliation_tolerances,reconciliation_metric,string,True,Metric being reconciled.
broker_reconciliation_tolerances,absolute_tolerance_inr,float,False,Absolute INR tolerance.
broker_reconciliation_tolerances,relative_tolerance_bps,float,False,Relative bps tolerance.
broker_reconciliation_tolerances,acceptance_policy,string,True,Predeclared pass/fail policy.
