execution_rank,gate_id,strategy_id,hardening_requirement,action_class,dependency_status,required_external_files,contract_template_available,all_required_external_files_available_now,documented_zerodha_formula_ready,broker_contract_note_reconciliation_ready,missing_reconciliation_items,proxy_formula_ready_items,contract_note_ready_items,actual_fill_ready_items,broker_evidence_status,acceptance_requirement_met_after_contract,blocking_gap_after_contract,required_next_evidence
1,G04_risk,S01,broker_exchange_fill_provenance,broker_or_exchange_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.
2,G04_risk,S01,contract_note_and_cost_reconciliation,broker_contract_note_reconciliation,missing_required_evidence,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.
3,G04_risk,S02,broker_exchange_fill_provenance,broker_or_exchange_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.
4,G04_risk,S02,contract_note_and_cost_reconciliation,broker_contract_note_reconciliation,missing_required_evidence,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.
5,G04_risk,S05,broker_exchange_fill_provenance,broker_or_exchange_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.
6,G04_risk,S05,contract_note_and_cost_reconciliation,broker_contract_note_reconciliation,missing_required_evidence,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.
7,G04_risk,S07,broker_exchange_fill_provenance,broker_or_exchange_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.
8,G04_risk,S07,contract_note_and_cost_reconciliation,broker_contract_note_reconciliation,missing_required_evidence,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.
9,G04_risk,S09,broker_exchange_fill_provenance,broker_or_exchange_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.
10,G04_risk,S09,contract_note_and_cost_reconciliation,broker_contract_note_reconciliation,missing_required_evidence,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.
11,G04_risk,S03,broker_exchange_fill_provenance,broker_or_exchange_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.
12,G04_risk,S03,contract_note_and_cost_reconciliation,broker_contract_note_reconciliation,missing_required_evidence,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.
13,G04_risk,S04,broker_exchange_fill_provenance,broker_or_exchange_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.
14,G04_risk,S04,contract_note_and_cost_reconciliation,broker_contract_note_reconciliation,missing_required_evidence,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.
15,G04_risk,S06,broker_exchange_fill_provenance,broker_or_exchange_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.
