candidate_id,split,control_seed,actual_net_pnl_inr,random_side_net_pnl_inr,actual_beats_random
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,1,229962.8071718807,-28148.441495376122,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,1,353034.6899132213,-83040.95756918419,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,2,229962.8071718807,-119974.96304690183,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,2,353034.6899132213,-68452.42466488114,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,3,229962.8071718807,-34868.94297164383,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,3,353034.6899132213,-65012.60504787155,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,4,229962.8071718807,-68928.261807538,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,4,353034.6899132213,44084.15571081473,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,5,229962.8071718807,-81745.69140046637,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,5,353034.6899132213,-195413.36694781904,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,6,229962.8071718807,12867.594847141263,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,6,353034.6899132213,-170998.48528467893,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,7,229962.8071718807,-98013.90900769137,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,7,353034.6899132213,18948.011677955707,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,8,229962.8071718807,-129902.87794298009,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,8,353034.6899132213,-18608.659562832447,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,9,229962.8071718807,-97321.12681023244,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,9,353034.6899132213,7924.735171901513,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,10,229962.8071718807,-38329.716056084115,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,10,353034.6899132213,-25341.12446381496,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,11,229962.8071718807,-85725.86890136934,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,11,353034.6899132213,-40371.02776347308,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,12,229962.8071718807,-116787.93029901534,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,12,353034.6899132213,-122440.34581137802,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,13,229962.8071718807,-47864.376072884275,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,13,353034.6899132213,-90448.35068606773,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,14,229962.8071718807,-73610.59462776272,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,14,353034.6899132213,-46467.93440199313,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,15,229962.8071718807,-67230.22108592915,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,15,353034.6899132213,-69403.39224452243,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,16,229962.8071718807,-67630.43807950013,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,16,353034.6899132213,-56488.096862349026,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,17,229962.8071718807,4241.786898478889,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,17,353034.6899132213,-78691.84355275409,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,18,229962.8071718807,-28795.01456488,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,18,353034.6899132213,-120348.41492613347,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,19,229962.8071718807,-48470.47860979114,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,19,353034.6899132213,-101140.8438338812,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,20,229962.8071718807,-81661.1902101488,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,20,353034.6899132213,-73481.55190122672,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,21,229962.8071718807,-55144.35849937896,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,21,353034.6899132213,-86380.76186548393,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,22,229962.8071718807,-112257.9074725538,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,22,353034.6899132213,-99609.16457708861,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,23,229962.8071718807,-74035.25412462144,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,23,353034.6899132213,-93372.23053007427,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,24,229962.8071718807,-47712.783175900906,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,24,353034.6899132213,-61248.9183697454,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,25,229962.8071718807,-37663.2616285946,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,25,353034.6899132213,-104396.96391488529,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,26,229962.8071718807,-38349.16210251559,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,26,353034.6899132213,-47190.95785228303,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,27,229962.8071718807,-41613.63403176417,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,27,353034.6899132213,-84411.73340153329,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,28,229962.8071718807,-89999.73863254387,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,28,353034.6899132213,-69313.7152848548,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,29,229962.8071718807,-42738.70903588194,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,29,353034.6899132213,-22978.3994905588,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,30,229962.8071718807,-88364.50997377725,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,30,353034.6899132213,-1243.6926026832925,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,31,229962.8071718807,-36169.891665540534,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,31,353034.6899132213,-65632.93396406488,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,32,229962.8071718807,-19023.538392053615,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,32,353034.6899132213,-101352.2475312721,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,33,229962.8071718807,-74940.03434438544,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,33,353034.6899132213,-12458.577405086566,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,34,229962.8071718807,14535.075128966766,True
