candidate_id,split,cost_multiplier,gross_pnl_inr,stressed_cost_pnl_drag_inr,stressed_net_pnl_inr,stress_pass
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,1.25,280315.90395037294,62941.37097311528,217374.53297725768,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,test,1.5,280315.90395037294,75529.64516773834,204786.2587826346,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,1.25,420199.0493741271,83955.44932613234,336243.60004799475,True
P231_MICROPRICE_REVERSAL_H3_Q0_9,train,1.5,420199.0493741271,100746.5391913588,319452.51018276834,True
P231_L5_IMBALANCE_REVERSAL_H3_Q0_9,test,1.25,131819.2138864855,53202.07666514737,78617.13722133813,True
P231_L5_IMBALANCE_REVERSAL_H3_Q0_9,test,1.5,131819.2138864855,63842.49199817685,67976.72188830865,True
P231_L5_IMBALANCE_REVERSAL_H3_Q0_9,train,1.25,109658.65674013735,57595.60732099831,52063.04941913904,True
P231_L5_IMBALANCE_REVERSAL_H3_Q0_9,train,1.5,109658.65674013735,69114.72878519796,40543.92795493938,True
P231_MICROPRICE_REVERSAL_H3_Q0_95,test,1.25,97933.81571637727,17949.438970628573,79984.3767457487,True
P231_MICROPRICE_REVERSAL_H3_Q0_95,test,1.5,97933.81571637727,21539.326764754285,76394.48895162299,True
P231_MICROPRICE_REVERSAL_H3_Q0_95,train,1.25,139136.82638962608,31523.0545821075,107613.77180751858,True
P231_MICROPRICE_REVERSAL_H3_Q0_95,train,1.5,139136.82638962608,37827.66549852899,101309.16089109708,True
