metric,value,description
phase105_profile_id,P104_HDFCBANK_REAL_ANCHOR_CADENCE_VOL_PRICE_SCALE,Source-mid volatility scale profile audited
phase105_anchor_metric_rows,8,Real-vs-calibrated synthetic anchor metrics compared
phase105_calibration_gap_rows,0,Anchor metrics outside gates
phase105_median_gap_ratio,1.0,Synthetic/real median received tick gap ratio
phase105_p90_gap_ratio,0.692,Synthetic/real p90 received tick gap ratio
phase105_one_tick_volatility_ratio,0.9837682828316252,Synthetic/real one-tick mid-return volatility ratio
phase105_hdfcbank_one_symbol_realism_pass,1,1 means HDFCBANK one-symbol realism readout has no metric gaps
phase105_strategy_replay_allowed,0,Strategy replay remains closed until broader-symbol and multiday gates pass
phase104_profile_id,P104_HDFCBANK_REAL_ANCHOR_CADENCE_VOL_PRICE_SCALE,Real-anchor cadence calibration profile materialized
phase104_source_rows_densified,94110,Source compact rows densified
phase104_dense_rows_materialized,752880,Dense rows materialized for audit
phase104_dense_bytes,27508190,Local dense parquet bytes materialized
phase104_dense_elapsed_seconds,7.676106399994751,Dense materialization elapsed seconds
phase103_profile_id,P104_HDFCBANK_REAL_ANCHOR_CADENCE_VOL_PRICE_SCALE,Calibrated synthetic profile audited
phase103_real_symbols_profiled,1,Real WebSocket symbols profiled
phase103_synthetic_symbols_profiled,1,Synthetic dense symbols profiled
phase103_compared_symbols,1,Symbols present in both real and synthetic profiles
phase103_symbol_metric_anchor_rows,8,Symbol/metric calibration anchors compared
phase103_calibration_gap_rows,0,Anchor rows outside ratio gates
phase103_calibration_gap_fraction,0.0,Fraction of compared symbol/metric anchors outside gates
phase103_severe_metric_gap_count,0,Metrics where more than half of symbols fail calibration gates
phase103_calibrated_realism_patch_pass,1,1 means patched calibrated HDFCBANK shard passes one-symbol realism readout
phase103_strategy_replay_allowed,0,Strategy replay remains closed until multiday and broader-symbol realism gates pass
phase103_recommend_next_action,expand_calibrated_realism_rerun_to_32_symbols_or_collect_multiday_real_panel,Recommended next milestone
