metric,value,description
phase294_continuation_search_complete,1,Phase294 full-depth pressure absorption continuation search completed
phase294_selected_route,P294_FULL_DEPTH_PRESSURE_ABSORPTION_CONTINUATION_SEARCH,Selected route
phase294_variant_rows,840,Variants evaluated
phase294_scenario_rows,3360,Cost200 fixed-capital scenarios evaluated
phase294_family_rows,4,Continuation families evaluated
phase294_sparse_above12_scenario_rows,0,Above-12 sparse diagnostic rows
phase294_robust_portfolio_floor_scenario_rows,0,Robust floor rows
phase294_robust_portfolio_above12_scenario_rows,0,Robust above-12 rows
phase294_discovery_survivor_variant_rows,0,Variants with sparse above-12 rows
phase294_robust_survivor_variant_rows,0,Variants with robust above-12 rows
phase294_best_variant_id,P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_NOTWIDE_OPEN_ORIG_H13,Best variant
phase294_best_continuation_family,spread_compressed_absorption_continuation,Best continuation family
phase294_best_side_mode,ORIG,Best side mode
phase294_best_market_bucket,OPEN,Best market bucket
phase294_best_cost200_annualized_pct,7.839348198816357,Best annualized diagnostic
phase294_best_realized_net_pnl_inr,93.32557379543282,Best net P&L
phase294_best_scheduled_event_rows,1,Best scheduled events
phase294_l1_only_variant_rows,0,L1-only variants
phase294_net_edge_live_mask_rows,0,Net edge live masks
phase294_strategy_replay_allowed,0,No replay
phase294_strategy_promotion_allowed,0,No promotion
phase294_paper_or_live_acceptance_allowed,0,No paper/live
phase294_deployable_profitability_claim_allowed,0,No deployable claim
phase294_hard_gate_pass_rows,9,Hard gates passed
phase294_hard_gate_rows,9,Hard gates
phase294_next_best_action,run_phase295_full_depth_pressure_absorption_continuation_interpretation_no_paper_live,Next action
