phase294_variant_id,continuation_family,market_bucket,side_mode,exit_horizon_ticks,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_ANYSPREAD_OPEN_ORIG_H13,spread_compressed_absorption_continuation,OPEN,ORIG,13,4,8,2,0,0,0,0,3.651084562806823,3.785379331107501,7.839348198816357,93.32557379543282
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H13,spread_compressed_absorption_continuation,OPEN,PRESSURE_SIGN_CONT,13,4,8,2,0,0,0,0,3.651084562806823,3.785379331107501,7.839348198816357,93.32557379543282
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_NOTWIDE_OPEN_ORIG_H13,spread_compressed_absorption_continuation,OPEN,ORIG,13,4,8,2,0,0,0,0,3.651084562806823,3.785379331107501,7.839348198816357,93.32557379543282
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_NOTWIDE_OPEN_PRESSURE_SIGN_CONT_H13,spread_compressed_absorption_continuation,OPEN,PRESSURE_SIGN_CONT,13,4,8,2,0,0,0,0,3.651084562806823,3.785379331107501,7.839348198816357,93.32557379543282
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I55_ANYSPREAD_OPEN_ORIG_H13,spread_compressed_absorption_continuation,OPEN,ORIG,13,4,7,2,0,0,0,0,3.6463847777945984,3.7818588939508753,7.834666020214304,93.26983357397982
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I55_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H13,spread_compressed_absorption_continuation,OPEN,PRESSURE_SIGN_CONT,13,4,7,2,0,0,0,0,3.6463847777945984,3.7818588939508753,7.834666020214304,93.26983357397982
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I55_NOTWIDE_OPEN_ORIG_H13,spread_compressed_absorption_continuation,OPEN,ORIG,13,4,7,2,0,0,0,0,3.6463847777945984,3.7818588939508753,7.834666020214304,93.26983357397982
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I55_NOTWIDE_OPEN_PRESSURE_SIGN_CONT_H13,spread_compressed_absorption_continuation,OPEN,PRESSURE_SIGN_CONT,13,4,7,2,0,0,0,0,3.6463847777945984,3.7818588939508753,7.834666020214304,93.26983357397982
P294_P294_WITHDRAWAL_FOLLOWTHROUGH_CONT_P35_S35_I35_NOTWIDE_ALL_ORIG_H13,withdrawal_followthrough_continuation,ALL,ORIG,13,4,299,2,0,0,0,0,2.5209231903222866,3.1312217466269967,7.4830406058634145,237.55684463058458
P294_P294_WITHDRAWAL_FOLLOWTHROUGH_CONT_P35_S35_I35_NOTWIDE_ALL_PRESSURE_SIGN_CONT_H13,withdrawal_followthrough_continuation,ALL,PRESSURE_SIGN_CONT,13,4,299,2,0,0,0,0,2.5209231903222866,3.1312217466269967,7.4830406058634145,237.55684463058458
P294_P294_WITHDRAWAL_FOLLOWTHROUGH_CONT_P35_S35_I35_NOTWIDE_NONOPEN_ORIG_H13,withdrawal_followthrough_continuation,NONOPEN,ORIG,13,4,147,2,0,0,0,0,3.2282192124404263,3.4848697576860665,7.4830406058634145,237.55684463058458
