symbol,months,candidate_generation_allowed_months,opportunity_blocked_months,realism_review_months,allowed_fraction,opportunity_blocked_fraction,realism_review_fraction
ITBEES,12,3,9,2,0.25,0.75,0.16666666666666666
BANKBEES,12,4,8,4,0.3333333333333333,0.6666666666666666,0.3333333333333333
GOLDBEES,12,5,7,6,0.4166666666666667,0.5833333333333334,0.5
JUNIORBEES,12,5,7,4,0.4166666666666667,0.5833333333333334,0.3333333333333333
DRREDDY,12,5,7,2,0.4166666666666667,0.5833333333333334,0.16666666666666666
NIFTYBEES,12,5,7,2,0.4166666666666667,0.5833333333333334,0.16666666666666666
SUNPHARMA,12,6,6,4,0.5,0.5,0.3333333333333333
CIPLA,12,7,5,4,0.5833333333333334,0.4166666666666667,0.3333333333333333
HINDUNILVR,12,7,5,4,0.5833333333333334,0.4166666666666667,0.3333333333333333
NESTLEIND,12,7,5,4,0.5833333333333334,0.4166666666666667,0.3333333333333333
BRITANNIA,12,7,5,3,0.5833333333333334,0.4166666666666667,0.25
ITC,12,7,5,1,0.5833333333333334,0.4166666666666667,0.08333333333333333
ICICIBANK,12,8,4,6,0.6666666666666666,0.3333333333333333,0.5
SBIN,12,8,4,6,0.6666666666666666,0.3333333333333333,0.5
ULTRACEMCO,12,8,4,6,0.6666666666666666,0.3333333333333333,0.5
ADANIPORTS,12,8,4,5,0.6666666666666666,0.3333333333333333,0.4166666666666667
HDFCBANK,12,8,4,5,0.6666666666666666,0.3333333333333333,0.4166666666666667
INFY,12,8,4,5,0.6666666666666666,0.3333333333333333,0.4166666666666667
M&M,12,8,4,5,0.6666666666666666,0.3333333333333333,0.4166666666666667
RELIANCE,12,8,4,5,0.6666666666666666,0.3333333333333333,0.4166666666666667
TCS,12,8,4,5,0.6666666666666666,0.3333333333333333,0.4166666666666667
KOTAKBANK,12,8,4,4,0.6666666666666666,0.3333333333333333,0.3333333333333333
LT,12,8,4,4,0.6666666666666666,0.3333333333333333,0.3333333333333333
MARUTI,12,8,4,4,0.6666666666666666,0.3333333333333333,0.3333333333333333
TECHM,12,8,4,4,0.6666666666666666,0.3333333333333333,0.3333333333333333
WIPRO,12,8,4,4,0.6666666666666666,0.3333333333333333,0.3333333333333333
AXISBANK,12,8,4,3,0.6666666666666666,0.3333333333333333,0.25
ONGC,12,8,4,3,0.6666666666666666,0.3333333333333333,0.25
BAJAJ-AUTO,12,8,4,2,0.6666666666666666,0.3333333333333333,0.16666666666666666
BHARTIARTL,12,8,4,2,0.6666666666666666,0.3333333333333333,0.16666666666666666
HCLTECH,12,8,4,2,0.6666666666666666,0.3333333333333333,0.16666666666666666
BPCL,12,8,4,1,0.6666666666666666,0.3333333333333333,0.08333333333333333
