trade_month,symbol,realism_review_flag,opportunity_abstention_flag,candidate_generation_allowed,candidate_generation_status,strategy_replay_allowed,why
2026-01,ADANIPORTS,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
2026-01,AXISBANK,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
2026-01,BAJAJ-AUTO,1,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design with realism-review warning; replay still closed
2026-01,BANKBEES,1,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design with realism-review warning; replay still closed
2026-01,BHARTIARTL,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
2026-01,BPCL,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
2026-01,BRITANNIA,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
2026-01,CIPLA,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
2026-01,DRREDDY,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
2026-01,GOLDBEES,1,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design with realism-review warning; replay still closed
2026-01,HCLTECH,1,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design with realism-review warning; replay still closed
2026-01,HDFCBANK,1,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design with realism-review warning; replay still closed
2026-01,HINDUNILVR,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
2026-01,ICICIBANK,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
2026-01,INFY,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
2026-01,ITBEES,0,1,0,blocked_by_opportunity_abstention_filter,0,blocked: low-opportunity symbol/month; no candidate generation or replay
2026-01,ITC,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
2026-01,JUNIORBEES,0,1,0,blocked_by_opportunity_abstention_filter,0,blocked: low-opportunity symbol/month; no candidate generation or replay
2026-01,KOTAKBANK,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
2026-01,LT,0,0,1,allowed_for_precommit_design_only,0,allowed for label/precommit design only; replay still closed
