trade_month,symbol_month_rows,candidate_generation_allowed_rows,opportunity_blocked_rows,realism_review_rows,allowed_fraction,opportunity_blocked_fraction,realism_review_fraction
2026-01,32,30,2,8,0.9375,0.0625,0.25
2026-02,32,32,0,10,1.0,0.0,0.3125
2026-03,32,21,11,8,0.65625,0.34375,0.25
2026-04,32,32,0,23,1.0,0.0,0.71875
2026-05,32,29,3,10,0.90625,0.09375,0.3125
2026-06,32,0,32,6,0.0,1.0,0.1875
2026-07,32,28,4,15,0.875,0.125,0.46875
2026-08,32,32,0,9,1.0,0.0,0.28125
2026-09,32,0,32,8,0.0,1.0,0.25
2026-10,32,0,32,9,0.0,1.0,0.28125
2026-11,32,24,8,9,0.75,0.25,0.28125
2026-12,32,0,32,6,0.0,1.0,0.1875
