gate_id,passed,observed_value,required_value,severity
P477_PHASE476_CONTRACT_USED,True,1,1,hard
P477_THESIS_MATCHES_CONTRACT,True,P477_COMBINED_SHOCK_MARKET_CONTEXT_L2_FADE_DIAGNOSTIC,P477_COMBINED_SHOCK_MARKET_CONTEXT_L2_FADE_DIAGNOSTIC,hard
P477_CLOSED_PHASE338_NOT_USED,True,0,0,hard
P477_NOT_PHASE475_GRID_ONLY,True,0,0,hard
P477_FULL_DEPTH_DEEP_FADE_RULE_EXECUTED,True,deep_l25_fade,present,hard
P477_CANDIDATES_PRESENT_ALL_HORIZONS,True,3,3,hard
P477_COST200_INCLUDED,True,2.0,2.0,hard
P477_FIXED_CAPITAL_USED,True,100000.0,100000.0,hard
P477_PRIMARY_POSITIVE_SCENARIO_EXISTS,False,0,>0,hard
P477_PRIMARY_ABOVE_12PCT_SCENARIO_EXISTS,False,0,>0,hard
P477_BEST_PRIMARY_TRADE_COUNT_GE_10,True,10,>=10,hard
P477_BEST_PRIMARY_BEATS_BEST_CONTROL,False,primary=-45.37334984148784;control=-45.37334984148784,primary>control,hard
P477_ACCEPTANCE_EVENT_FLOOR_CHECKED,True,0,checked,hard
P477_NO_PAPER_LIVE_OR_CLAIM,True,paper=0;claim=0,all_zero,hard
