capacity_policy_id,policy_role,acceptance_role,scenario_id,scenario_role,scheduled_event_rows,capacity_selected_trade_rows,diagnostic_trade_dates,symbols,positive_trade_rows,positive_symbols,positive_symbol_date_cells,net_pnl_inr,annualized_return_pct,above12,event_floor_met,breadth_met,capital_feasible,beats_side_flip_control,acceptance_candidate
P481_BASELINE_MAX3_CONCURRENT,baseline,primary,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,34,28,14,12,12,3,7,2536.4548787290096,18.26247512684887,1,0,1,1,1,0
P481_BASELINE_MAX3_CONCURRENT,baseline,primary,P362_D120_I2p5_D0p25_R0p0_CONTINUATION,impulse_continuation,34,28,14,12,4,1,4,-13432.560303806642,-96.71443418740783,0,0,0,1,0,0
P481_MAX5_CONCURRENT,looser_capacity,sensitivity,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,34,32,14,12,14,3,7,4231.577167842218,30.46735560846397,1,1,1,1,1,1
P481_MAX5_CONCURRENT,looser_capacity,sensitivity,P362_D120_I2p5_D0p25_R0p0_CONTINUATION,impulse_continuation,34,32,14,12,5,2,5,-16742.489555693053,-120.54592480098998,0,1,1,1,0,0
P481_ONE_PER_SYMBOL_DATE,breadth_first,sensitivity,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,34,23,14,14,8,4,8,-1308.0777034281984,-9.41815946468303,0,0,1,1,1,0
P481_ONE_PER_SYMBOL_DATE,breadth_first,sensitivity,P362_D120_I2p5_D0p25_R0p0_CONTINUATION,impulse_continuation,34,23,14,14,5,2,5,-7621.908842213316,-54.877743663935874,0,0,1,1,0,0
P481_TWO_PER_TRADE_DATE,date_balanced,sensitivity,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,34,23,14,12,8,3,5,438.5757685950014,3.15774553388401,0,0,1,1,1,0
P481_TWO_PER_TRADE_DATE,date_balanced,sensitivity,P362_D120_I2p5_D0p25_R0p0_CONTINUATION,impulse_continuation,34,23,14,12,4,1,4,-9399.760770984223,-67.67827755108641,0,0,0,1,0,0
P481_ALL_READY_DIAGNOSTIC,upper_bound_diagnostic,diagnostic_only,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,34,34,14,14,15,4,8,5271.307709570216,37.95341550890555,1,1,1,0,1,0
P481_ALL_READY_DIAGNOSTIC,upper_bound_diagnostic,diagnostic_only,P362_D120_I2p5_D0p25_R0p0_CONTINUATION,impulse_continuation,34,34,14,14,5,2,5,-18543.045980806655,-133.50993106180792,0,1,1,0,0,0
