metric,value,description
phase459_delayed_cross_asset_interpretation_complete,1,Phase459 interpretation completed
phase459_thesis_id,P459_DELAYED_CROSS_ASSET_DISPLACEMENT_INTERPRETATION,Interpretation thesis
phase459_selected_verdict,P459_DELAYED_CROSS_ASSET_DISPLACEMENT_REJECTED_ZERO_GROSS_EDGE,Selected verdict
phase459_same_route_rescue_allowed,0,No same-route rescue
phase459_strategy_promotion_allowed,0,No promotion
phase459_paper_or_live_acceptance_allowed,0,No paper/live
phase459_deployable_profitability_claim_allowed,0,No deployable claim
phase459_hard_gate_pass_rows,8,Passed hard gates
phase459_hard_gate_rows,8,Hard gates
phase459_next_best_action,precommit_actual_move_candidate_label_source_or_pause_synthetic_fixed_window_routes,Recommended next action
