scope,window_name,horizon_ms,symbols_evaluated,dense_regular_panel_symbols,event_driven_symbols,median_coverage_fraction,min_coverage_fraction,median_forward_fill_fraction,max_forward_fill_fraction,readiness_status,usable_for_dense_regular_panel,usable_for_event_driven_features,caveat,median_event_rate_per_second,median_p95_gap_ms
full_session,full_session,100,32,0,,0.06521769885646575,0.0326304096802377,0.9347823011435341,0.9673695903197622,event_driven_or_sparse_only,False,False,Do not treat this horizon as a complete dense panel across all symbols; use event-time logic or explicit forward-fill/staleness controls.,,
full_session,full_session,250,32,0,,0.16068978386625826,0.0807639536798199,0.8393102161337417,0.91923604632018,event_driven_or_sparse_only,False,False,Do not treat this horizon as a complete dense panel across all symbols; use event-time logic or explicit forward-fill/staleness controls.,,
full_session,full_session,500,32,0,,0.2965074294121753,0.1570258819397185,0.7034925705878247,0.8429741180602814,event_driven_or_sparse_only,False,False,Do not treat this horizon as a complete dense panel across all symbols; use event-time logic or explicit forward-fill/staleness controls.,,
full_session,full_session,1000,32,0,,0.5009220231822971,0.2974491811915529,0.49907797681770283,0.702550818808447,event_driven_or_sparse_only,False,True,Do not treat this horizon as a complete dense panel across all symbols; use event-time logic or explicit forward-fill/staleness controls.,,
full_session,full_session,5000,32,30,,0.9435908691834942,0.8856453028972783,0.0564091308165057,0.1143546971027217,event_driven_or_sparse_only,False,True,Do not treat this horizon as a complete dense panel across all symbols; use event-time logic or explicit forward-fill/staleness controls.,,
full_session,full_session,15000,32,32,,0.9888084265964452,0.9875082182774492,0.0111915734035549,0.0124917817225509,dense_regular_panel_supported,True,True,All symbols pass the 90% dense regular-panel gate.,,
full_session,full_session,60000,32,32,,0.9947368421052633,0.9921259842519684,0.0052631578947368,0.0078740157480314,dense_regular_panel_supported,True,True,All symbols pass the 90% dense regular-panel gate.,,
open_window,open_0915_0920,100,32,0,,0.05566666666666665,0.0183333333333333,0.9443333333333334,0.9816666666666668,unsupported_sparse_subsecond,False,False,Sub-second horizons are sparse in the current retail received-feed sample; do not use as dense panels.,0.6799999999999999,6571.42499999999
open_window,open_0915_0920,250,32,0,,0.1370833333333333,0.0458333333333333,0.8629166666666667,0.9541666666666668,unsupported_sparse_subsecond,False,False,Sub-second horizons are sparse in the current retail received-feed sample; do not use as dense panels.,0.6799999999999999,6571.42499999999
open_window,open_0915_0920,500,32,0,,0.2408333333333333,0.0866666666666666,0.7591666666666667,0.9133333333333332,unsupported_sparse_subsecond,False,False,Sub-second horizons are sparse in the current retail received-feed sample; do not use as dense panels.,0.6799999999999999,6571.42499999999
open_window,open_0915_0920,1000,32,0,12.0,0.41,0.1666666666666666,0.59,0.8333333333333334,event_driven_1s_supported_for_active_symbols,False,True,12/32 symbols pass the event-driven 1-second gate; dense 1-second panels still require explicit forward-fill/staleness controls.,0.6799999999999999,6571.42499999999
open_window,open_0915_0920,5000,32,13,,0.8583333333333334,0.7166666666666667,0.14166666666666666,0.2833333333333333,sparse_or_forward_fill_only,False,False,"Use only with explicit coverage, staleness and forward-fill labels.",0.6799999999999999,6571.42499999999
open_window,open_0915_0920,15000,32,32,,1.0,1.0,0.0,0.0,dense_regular_panel_supported,True,False,All symbols pass the 90% dense regular-panel gate in this window.,0.6799999999999999,6571.42499999999
open_window,open_0915_0920,60000,32,32,,1.0,1.0,0.0,0.0,dense_regular_panel_supported,True,False,All symbols pass the 90% dense regular-panel gate in this window.,0.6799999999999999,6571.42499999999
