phase360_work_order_id,family_id,primary_scenario_id,source_id,symbol,announcement_time_ist,announcement_date,market_session,diagnostic_trade_date,diagnostic_start_rule,description,no_lookahead_rule_applied,full_depth_levels_1_to_5_required,levels_2_to_5_materiality_required,cost_profile,paper_live_or_profit_claim_allowed
P373_2026-07-08_CIPLA_106690396,phase380_expanded_real_l2_catalyst_retest,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,NSE_CORPORATE_ANNOUNCEMENTS,CIPLA,08-Jul-2026 13:37:12,2026-07-08,regular_session,2026-07-08,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
P373_2026-07-08_LT_106690276,phase380_expanded_real_l2_catalyst_retest,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,NSE_CORPORATE_ANNOUNCEMENTS,LT,08-Jul-2026 12:29:03,2026-07-08,regular_session,2026-07-08,first_real_tick_after_announcement,Press Release,1,1,1,zerodha_2x_all_in_cost_proxy,0
P373_2026-07-08_SBIN_106690529,phase380_expanded_real_l2_catalyst_retest,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,NSE_CORPORATE_ANNOUNCEMENTS,SBIN,08-Jul-2026 15:25:29,2026-07-08,regular_session,2026-07-08,first_real_tick_after_announcement,Credit Rating,1,1,1,zerodha_2x_all_in_cost_proxy,0
P373_2026-07-09_BHARTIARTL_106691845,phase380_expanded_real_l2_catalyst_retest,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,NSE_CORPORATE_ANNOUNCEMENTS,BHARTIARTL,09-Jul-2026 13:38:41,2026-07-09,regular_session,2026-07-09,first_real_tick_after_announcement,Copy of Newspaper Publication,1,1,1,zerodha_2x_all_in_cost_proxy,0
P373_2026-07-09_DRREDDY_106691390,phase380_expanded_real_l2_catalyst_retest,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,NSE_CORPORATE_ANNOUNCEMENTS,DRREDDY,09-Jul-2026 09:18:50,2026-07-09,regular_session,2026-07-09,first_real_tick_after_announcement,General Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
P373_2026-07-09_DRREDDY_106691463,phase380_expanded_real_l2_catalyst_retest,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,NSE_CORPORATE_ANNOUNCEMENTS,DRREDDY,09-Jul-2026 09:38:43,2026-07-09,regular_session,2026-07-09,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
P373_2026-07-09_RELIANCE_106691045,phase380_expanded_real_l2_catalyst_retest,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,NSE_CORPORATE_ANNOUNCEMENTS,RELIANCE,08-Jul-2026 19:08:15,2026-07-08,post_close,2026-07-09,market_open_next_available_unseen_real_l2_day,Other Restructuring,1,1,1,zerodha_2x_all_in_cost_proxy,0
P373_2026-07-09_SBIN_106691111,phase380_expanded_real_l2_catalyst_retest,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,NSE_CORPORATE_ANNOUNCEMENTS,SBIN,08-Jul-2026 20:27:40,2026-07-08,post_close,2026-07-09,market_open_next_available_unseen_real_l2_day,General Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
P373_2026-07-09_SBIN_106691289,phase380_expanded_real_l2_catalyst_retest,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,NSE_CORPORATE_ANNOUNCEMENTS,SBIN,08-Jul-2026 23:59:50,2026-07-08,post_close,2026-07-09,market_open_next_available_unseen_real_l2_day,General Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
P373_2026-07-10_ADANIPORTS_106692702,phase380_expanded_real_l2_catalyst_retest,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,NSE_CORPORATE_ANNOUNCEMENTS,ADANIPORTS,09-Jul-2026 21:51:40,2026-07-09,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
