metric,value,description
phase276_interpretation_complete,1,Phase276 multiday synthetic follow-through interpretation completed
phase276_selected_next_route,P276_COST_ROBUST_FULL_DEPTH_REDESIGN_SEARCH,Selected next route
phase276_phase275_scenario_rows,4800,Phase275 scenarios interpreted
phase276_phase275_synthetic_date_rows,8,Synthetic dates per Phase275 scenario
phase276_phase275_cost100_above12_scenario_rows,2,Phase275 cost100 above-12 rows
phase276_phase275_cost200_above12_scenario_rows,0,Phase275 cost200 above-12 rows
phase276_phase275_best_synthetic_multiday_annualized_pct,15.091000980326113,Best Phase275 synthetic multiday annualized diagnostic
phase276_ranked_profile_rows,5,Ranked interpreted profile rows
phase276_normal_cost_sparse_positive_profile_rows,2,Normal-cost sparse-positive profile rows
phase276_cost200_failed_profile_rows,3,Cost200 failed profile rows
phase276_best_redesign_anchor_profile,TOP2_PRIORITY_SUBSET:cost200,Best redesign anchor profile
phase276_best_redesign_anchor_max_annualized_pct,9.882085380326114,Best redesign anchor max synthetic annualized diagnostic
phase276_phase275_as_is_promotion_allowed,0,Phase275 pocket cannot be promoted as-is
phase276_portfolio_claim_allowed,0,Robust real portfolio claim remains closed
phase276_strategy_replay_allowed,0,No strategy replay unlocked
phase276_strategy_promotion_allowed,0,No strategy promotion unlocked
phase276_paper_or_live_acceptance_allowed,0,No paper/live acceptance
phase276_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase276_hard_gate_pass_rows,7,Hard gates passed
phase276_hard_gate_rows,7,Hard gates evaluated
phase276_next_best_action,run_phase277_cost_robust_full_depth_redesign_search_no_paper_live,Recommended next milestone
