contract_id,contract_value,description
P329_INPUT_JOIN,outputs/phase327/phase327_joined_expanded_event_top5_depth.parquet,Use the repaired and Phase328-audited expanded joined parquet.
P329_INPUT_QUALITY,outputs/phase328/phase328_acceptance_summary.csv,Require Phase328 quality audit before feature materialization.
P329_MIN_JOIN_ROWS,141708530,Preserve Phase328 audited joined-row count unless Phase327 is rerun.
P329_EVENT_SYMBOL_SCOPE,50_events_x_32_symbols,Feature matrix should produce one compact row per event and symbol.
P329_EXPECTED_FEATURE_ROWS,1600,One compact feature row per event-symbol pair.
P329_WINDOW,relative_second=-900..1800,Use only the audited event-relative window.
P329_FULL_DEPTH_REQUIRED,zerodha_visible_depth_levels_1_to_5,Retain full Zerodha top-five market-by-price depth.
P329_DEPTH_BEYOND_L1_REQUIRED,visible_depth_levels_2_to_5_material,Feature matrix must include material depth-beyond-L1 features.
P329_NO_L1_ONLY_VARIANTS,l1_only_variant_rows=0,No downstream strategy family may use only top-of-book fields.
P329_TARGET_SEPARATION,target_columns_not_live_signal_features,"Post-event returns and pressure shifts must be targets/diagnostics, not live signal inputs."
P329_NO_NET_EDGE_LIVE_MASK,net_edge_live_mask_rows=0,No future outcome mask may be used to select live rows.
P329_NO_STRATEGY_SEARCH,strategy_search_allowed_now=0,"Precommit only; no P&L, replay or optimization."
P329_BOUNDARIES,replay=0;promotion=0;paper=0;claim=0,No acceptance boundary changes.
P329_NEXT,run_phase330_event_catalyst_expanded_feature_materialization_no_strategy_search,Materialize compact expanded feature matrix next.
