phase347_grid_id,scenario_id,family_id,entry_timing_policy,horizon_seconds,depth_threshold_quantile,annualized_return_pct,net_pnl_inr,trade_rows,additional_trade_rows_needed,control_pass,min_trade_rows_required,fixed_capital_required,full_top_five_depth_required,levels_2_to_5_materiality_required,l1_only_allowed,official_catalyst_required,paper_live_or_profit_claim_allowed
P347_GRID_000,P345_0065_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H1800_Q0p75,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,1800,0.75,57.21242682246277,1135.1671988583882,2,28,1,30,1,1,1,0,1,0
P347_GRID_001,P345_0062_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H900_Q0p75,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,900,0.75,39.22097289981637,778.1939067423883,2,28,1,30,1,1,1,0,1,0
P347_GRID_002,P345_0012_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H900_Q0p0,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,900,0.0,38.21269206475231,2274.5650038543045,19,11,1,30,1,1,1,0,1,0
P347_GRID_003,P345_0007_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p5,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,1800,0.5,35.18403226964201,1745.2396959147825,11,19,1,30,1,1,1,0,1,0
P347_GRID_004,P345_0026_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H1800_Q0p75,P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,1800,0.75,35.06161947289579,347.8335265168233,2,28,1,30,1,1,1,0,1,0
P347_GRID_005,P345_0004_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H900_Q0p5,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,900,0.5,31.505107517953,1562.7533491048116,11,19,1,30,1,1,1,0,1,0
P347_GRID_006,P345_0015_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H1800_Q0p0,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,1800,0.0,30.13098471867795,1793.510995159402,19,11,1,30,1,1,1,0,1,0
P347_GRID_007,P345_0006_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p0,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,1800,0.0,29.0403347047938,1728.5913514758213,19,11,1,30,1,1,1,0,1,0
P347_GRID_008,P345_0008_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p75,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,1800,0.75,12.667864869474526,377.0197877819799,6,24,1,30,1,1,1,0,1,0
P347_GRID_009,P345_0003_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H900_Q0p0,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,900,0.0,12.47240627739104,742.4051355589904,19,11,1,30,1,1,1,0,1,0
