forbidden_output,emitted_in_phase220,allowed_in_phase220,rationale
strategy_replay,0,0,"Phase220 interprets validation metrics only and emits no replay, test, promotion, P&L, prediction export, or profitability artifact."
test_replay_execution,0,0,"Phase220 interprets validation metrics only and emits no replay, test, promotion, P&L, prediction export, or profitability artifact."
test_result,0,0,"Phase220 interprets validation metrics only and emits no replay, test, promotion, P&L, prediction export, or profitability artifact."
promotion,0,0,"Phase220 interprets validation metrics only and emits no replay, test, promotion, P&L, prediction export, or profitability artifact."
paper_live_acceptance,0,0,"Phase220 interprets validation metrics only and emits no replay, test, promotion, P&L, prediction export, or profitability artifact."
order_arrival,0,0,"Phase220 interprets validation metrics only and emits no replay, test, promotion, P&L, prediction export, or profitability artifact."
fill_model,0,0,"Phase220 interprets validation metrics only and emits no replay, test, promotion, P&L, prediction export, or profitability artifact."
pnl_replay,0,0,"Phase220 interprets validation metrics only and emits no replay, test, promotion, P&L, prediction export, or profitability artifact."
profitability_claim,0,0,"Phase220 interprets validation metrics only and emits no replay, test, promotion, P&L, prediction export, or profitability artifact."
threshold_widening,0,0,"Phase220 interprets validation metrics only and emits no replay, test, promotion, P&L, prediction export, or profitability artifact."
row_level_prediction_export,0,0,"Phase220 interprets validation metrics only and emits no replay, test, promotion, P&L, prediction export, or profitability artifact."
