candidate_id,family_id,uses_full_top_five_depth,uses_depth_beyond_l1,uses_l1_only,horizon,imbalance_quantile,imbalance_min,shock_quantile,shock_min,spread_regime,symbols,trade_dates,cost100_event_rows,cost100_net_pnl_inr,cost100_gross_pnl_inr,cost100_cost_inr,cost100_win_rate,cost100_profit_factor,cost100_avg_net_per_event,cost100_max_drawdown_inr,cost100_cost_hurdle_hit_rate,cost100_annualized_return_pct,cost150_event_rows,cost150_net_pnl_inr,cost150_gross_pnl_inr,cost150_cost_inr,cost150_win_rate,cost150_profit_factor,cost150_avg_net_per_event,cost150_max_drawdown_inr,cost150_cost_hurdle_hit_rate,cost150_annualized_return_pct,cost200_event_rows,cost200_net_pnl_inr,cost200_gross_pnl_inr,cost200_cost_inr,cost200_win_rate,cost200_profit_factor,cost200_avg_net_per_event,cost200_max_drawdown_inr,cost200_cost_hurdle_hit_rate,cost200_annualized_return_pct,side_flip_net_pnl_inr,side_flip_degrades,random_side_net_pnl_inr,random_side_beat,shuffle_label_net_pnl_inr,shuffle_label_margin_inr,shuffle_label_beat,exploratory_candidate,annualized_profitable_research_lead,cost200_annualized_profitable_research_lead,acceptance_grade_candidate,has_events
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,1,1,0,10,0.9,0.4628532906704733,0.75,7530.25,high,4,1,9,782.0356498346316,1526.1664498346315,744.1308,0.8888888888888888,3.1975853117308097,86.89284998162573,0.0,0.8888888888888888,197.07298375832715,9,409.97024983463166,1526.1664498346315,1116.1962,0.8888888888888888,2.0321456428323947,45.55224998162574,0.0,0.8888888888888888,103.31250295832719,9,37.90484983463176,1526.1664498346315,1488.2616,0.6666666666666666,1.0846992657709977,4.211649981625751,-4.490114719833059,0.6666666666666666,9.552022158327203,-2270.2972498346317,1,-1190.4419731202838,1,782.0356498346316,0.0,0,1,1,0,0,1
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,1,1,0,10,0.9,0.4628532906704733,0.9,16804.0,high,2,1,6,334.0556974295089,830.1428974295087,496.0872,0.8333333333333334,1.9387243332529858,55.675949571584816,0.0,0.8333333333333334,84.18203575223625,6,86.0120974295089,830.1428974295087,744.1308,0.8333333333333334,1.21654500937215,14.335349571584816,0.0,0.8333333333333334,21.67504855223624,6,-162.03150257049106,830.1428974295087,992.1744,0.5,0.6379368508418878,-27.005250428415177,-8.98022943966609,0.5,-40.83193864776375,-1326.230097429509,1,-1051.1135169879608,1,334.0556974295088,5.684341886080802e-14,1,1,1,0,0,1
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,1,1,0,10,0.9,0.4628532906704733,0.75,7530.25,compression,7,1,11,570.2732203654692,1479.766420365469,909.4932,0.7272727272727273,1.8448528687896228,51.84302003322448,-484.71627457577847,0.7272727272727273,143.70885153209824,11,115.52662036546911,1479.766420365469,1364.2398,0.6363636363636364,1.1383301972089945,10.502420033224466,-567.3974745757785,0.6363636363636364,29.112708332098215,11,-339.2199796345306,1479.766420365469,1818.9864,0.45454545454545453,0.6639702060374382,-30.83817996677551,-650.0786745757785,0.45454545454545453,-85.4834348679017,-2389.259620365469,1,-120.68908597913082,1,570.2732203654693,-1.1368683772161603e-13,0,1,1,0,0,1
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,1,1,0,10,0.9,0.4628532906704733,0.6,4528.0,high,6,1,11,388.0079129601309,1297.501112960131,909.4932,0.7272727272727273,1.517420410376197,35.27344663273917,-340.5194838283822,0.7272727272727273,97.777994065953,11,-66.73868703986903,1297.501112960131,1364.2398,0.7272727272727273,0.9236321586747533,-6.067153367260821,-381.8600838283822,0.7272727272727273,-16.818149134046998,11,-521.4852870398689,1297.501112960131,1818.9864,0.5454545454545454,0.48209494117762847,-47.40775336726081,-431.0983326057778,0.5454545454545454,-131.414292334047,-2206.9943129601306,1,-1127.1390362457832,1,388.0079129601309,0.0,0,1,1,0,0,1
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,1,1,0,10,0.9,0.4628532906704733,0.9,16804.0,compression,5,1,8,129.46924457433988,790.9188445743398,661.4496,0.625,1.1918071176979987,16.183655571792485,-484.71627457577847,0.625,32.62624963273365,8,-201.2555554256603,790.9188445743398,992.1744,0.5,0.7590189985358683,-25.156944428207538,-567.3974745757785,0.5,-50.71639996726639,8,-531.98035542566,790.9188445743398,1322.8992,0.25,0.47302264029846064,-66.4975444282075,-650.0786745757785,0.25,-134.05904956726633,-1452.3684445743397,1,-561.4930617702603,1,129.46924457433985,2.842170943040401e-14,1,1,1,0,0,1
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,1,1,0,6,0.9,0.4628532906704733,0.75,7530.25,low,5,1,8,112.92923507616166,774.3788350761615,661.4496,0.5,1.3445758035316302,14.116154384520208,-254.56802973453443,0.5,28.45816723919274,8,-217.79556492383844,774.3788350761615,992.1744,0.375,0.5752381969746255,-27.224445615479805,-337.2492297345345,0.375,-54.88448236080728,8,-548.5203649238384,774.3788350761615,1322.8992,0.375,0.23758431914684586,-68.5650456154798,-437.84166356600673,0.375,-138.2271319608073,-1435.8284350761614,1,-636.850077805243,1,112.92923507616165,1.4210854715202004e-14,1,1,1,0,0,1
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,1,1,0,6,0.9,0.4628532906704733,0.6,4528.0,low,5,1,10,176.7164279557467,1003.5284279557466,826.812,0.5,1.4543741136456467,17.67164279557467,-254.56802973453443,0.5,44.532539844848166,10,-236.68957204425337,1003.5284279557466,1240.218,0.4,0.6153120429143688,-23.668957204425336,-337.2492297345345,0.4,-59.645772155151846,10,-650.0955720442535,1003.5284279557466,1653.624,0.4,0.24698225793289547,-65.00955720442535,-581.711526252579,0.4,-163.8240841551519,-1830.3404279557465,1,-1031.362070684828,1,176.71642795574667,2.842170943040401e-14,1,1,1,0,0,1
P268_P268_ASK_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPMID,P268_ASK_ABSORPTION_BREADTH_REPAIR,1,1,0,10,0.9,0.4628532906704733,0.5,2937.0,mid,7,1,15,557.0556740016758,1797.273674001676,1240.218,0.4,2.0577846428110687,37.137044933445054,-373.791306349239,0.4,140.3780298484223,15,-63.05332599832407,1797.273674001676,1860.327,0.4,0.929838644271389,-4.203555066554938,-704.5161063492391,0.4,-15.889438151577668,15,-683.1623259983239,1797.273674001676,2480.436,0.26666666666666666,0.4703279585409603,-45.54415506655493,-1035.240906349239,0.26666666666666666,-172.15690615157763,-3037.491674001675,1,117.89613934417977,1,557.0556740016759,-1.1368683772161603e-13,0,1,1,0,0,1
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,1,1,0,10,0.9,0.4628532906704733,0.6,4528.0,low,5,1,10,101.40795005046851,928.2199500504685,826.812,0.7,1.1882075644710386,10.14079500504685,-319.13574287163254,0.7,25.55480341271807,10,-311.9980499495316,928.2199500504685,1240.218,0.5,0.5691273835862589,-31.199804994953162,-416.6025411347383,0.5,-78.62350858728196,10,-725.4040499495314,928.2199500504685,1653.624,0.4,0.2531239169865222,-72.54040499495315,-664.6461411347382,0.4,-182.80182058728195,-1755.0319500504681,1,-808.5412772306022,1,101.4079500504685,1.4210854715202004e-14,1,1,1,0,0,1
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,1,1,0,10,0.9,0.4628532906704733,0.5,2937.0,high,7,1,12,247.49777646181445,1239.6721764618144,992.1744,0.6666666666666666,1.277962708463611,20.624814705151206,-355.8613381970156,0.6666666666666666,62.36943966837725,12,-248.58942353818537,1239.6721764618144,1488.2616,0.6666666666666666,0.7645401946670963,-20.715785294848782,-397.20193819701547,0.6666666666666666,-62.64453473162271,12,-744.6766235381854,1239.6721764618144,1984.3488,0.5,0.3946231557359251,-62.05638529484878,-521.4852870398689,0.5,-187.6585091316227,-2231.8465764618145,1,-1267.6491727440998,1,247.49777646181448,-2.842170943040401e-14,0,1,1,0,0,1
