candidate_id,family_id,split,symbol,trades,months,net_pnl_inr,gross_pnl_inr,cost_pnl_drag_inr,precision_cost_clear
P92_SHOCK_EXHAUSTION_REVERSAL_E0_95_M0_95,P92_SHOCK_EXHAUSTION_REVERSAL,test,GOLDBEES,35,5,-46599.88515999823,-42795.156957253705,3804.728202744527,0.2857142857142857
P92_SHOCK_EXHAUSTION_REVERSAL_E0_95_M0_95,P92_SHOCK_EXHAUSTION_REVERSAL,train,GOLDBEES,41,4,-9897.963231144156,-5448.808574112707,4449.154657031451,0.4878048780487805
P92_SHOCK_EXHAUSTION_REVERSAL_E0_95_M0_975,P92_SHOCK_EXHAUSTION_REVERSAL,test,GOLDBEES,21,4,-21218.004983393177,-18933.311798595845,2284.693184797333,0.38095238095238093
P92_SHOCK_EXHAUSTION_REVERSAL_E0_95_M0_975,P92_SHOCK_EXHAUSTION_REVERSAL,train,GOLDBEES,17,4,-3688.014459120338,-1842.0256401839652,1845.9888189363744,0.47058823529411764
P92_SHOCK_EXHAUSTION_REVERSAL_E0_975_M0_95,P92_SHOCK_EXHAUSTION_REVERSAL,test,GOLDBEES,24,5,-19911.036031606473,-17299.879764616424,2611.15626699005,0.4166666666666667
P92_SHOCK_EXHAUSTION_REVERSAL_E0_975_M0_95,P92_SHOCK_EXHAUSTION_REVERSAL,train,GOLDBEES,32,4,596.5679689707965,4070.523901231303,3473.9559322605087,0.53125
P92_SHOCK_EXHAUSTION_REVERSAL_E0_975_M0_975,P92_SHOCK_EXHAUSTION_REVERSAL,test,GOLDBEES,21,4,-21218.004983393177,-18933.311798595845,2284.693184797333,0.38095238095238093
P92_SHOCK_EXHAUSTION_REVERSAL_E0_975_M0_975,P92_SHOCK_EXHAUSTION_REVERSAL,train,GOLDBEES,17,4,-3688.014459120338,-1842.0256401839652,1845.9888189363744,0.47058823529411764
P92_SHOCK_CONTINUATION_E0_95_M0_95,P92_SHOCK_CONTINUATION,test,GOLDBEES,35,5,38990.42875450917,42795.156957253705,3804.728202744527,0.7142857142857143
P92_SHOCK_CONTINUATION_E0_95_M0_95,P92_SHOCK_CONTINUATION,train,GOLDBEES,41,4,999.6539170812578,5448.808574112707,4449.154657031451,0.4878048780487805
P92_SHOCK_CONTINUATION_E0_95_M0_975,P92_SHOCK_CONTINUATION,test,GOLDBEES,21,4,16648.61861379851,18933.311798595845,2284.693184797333,0.6190476190476191
P92_SHOCK_CONTINUATION_E0_95_M0_975,P92_SHOCK_CONTINUATION,train,GOLDBEES,17,4,-3.9631787524083393,1842.0256401839652,1845.9888189363744,0.5294117647058824
P92_SHOCK_CONTINUATION_E0_975_M0_95,P92_SHOCK_CONTINUATION,test,GOLDBEES,24,5,14688.723497626372,17299.879764616424,2611.15626699005,0.5833333333333334
P92_SHOCK_CONTINUATION_E0_975_M0_95,P92_SHOCK_CONTINUATION,train,GOLDBEES,32,4,-7544.47983349181,-4070.523901231303,3473.9559322605087,0.4375
P92_SHOCK_CONTINUATION_E0_975_M0_975,P92_SHOCK_CONTINUATION,test,GOLDBEES,21,4,16648.61861379851,18933.311798595845,2284.693184797333,0.6190476190476191
P92_SHOCK_CONTINUATION_E0_975_M0_975,P92_SHOCK_CONTINUATION,train,GOLDBEES,17,4,-3.9631787524083393,1842.0256401839652,1845.9888189363744,0.5294117647058824
