panel,scenario_id,family_id,completed_round_trips,trade_dates,symbols,positive_date_fraction,gross_pnl_inr,cost200_inr,net_pnl_inr,annualized_return_pct,acceptance_survivor
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_replenishment_after_exhaustion_C5,official_catalyst_continuation,46,11,20,0.36363636363636365,9388.069999999952,7583.5026324598,1804.5673675401536,4.134099787455624,0
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H1200_replenishment_after_exhaustion_C5,official_catalyst_continuation,46,11,20,0.36363636363636365,9388.069999999952,7583.5026324598,1804.5673675401536,4.134099787455624,0
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H2400_replenishment_after_exhaustion_C5,official_catalyst_continuation,46,11,20,0.36363636363636365,9388.069999999952,7583.5026324598,1804.5673675401536,4.134099787455624,0
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C5,official_catalyst_continuation,53,12,22,0.5,10330.469999999916,8739.568381354999,1590.9016186449135,3.3408933991543184,0
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H2400_exhaustion_C5,official_catalyst_continuation,53,12,22,0.5,10330.469999999916,8739.568381354999,1590.9016186449135,3.3408933991543184,0
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H1200_exhaustion_C5,official_catalyst_continuation,53,12,22,0.5,10330.469999999916,8739.568381354999,1590.9016186449135,3.3408933991543184,0
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H2400_replenishment_after_exhaustion_C3,official_catalyst_continuation,31,11,17,0.45454545454545453,5977.469999999957,5114.095020129,863.3749798709556,1.9779135902498257,0
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_replenishment_after_exhaustion_C3,official_catalyst_continuation,31,11,17,0.45454545454545453,5977.469999999957,5114.095020129,863.3749798709556,1.9779135902498257,0
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H1200_replenishment_after_exhaustion_C3,official_catalyst_continuation,31,11,17,0.45454545454545453,5977.469999999957,5114.095020129,863.3749798709556,1.9779135902498257,0
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,33,12,19,0.3333333333333333,4573.36999999995,5443.4176652126,-870.04766521265,-1.827100096946565,0
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H1200_exhaustion_C3,official_catalyst_continuation,33,12,19,0.3333333333333333,4573.36999999995,5443.4176652126,-870.04766521265,-1.827100096946565,0
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H2400_exhaustion_C3,official_catalyst_continuation,33,12,19,0.3333333333333333,4573.36999999995,5443.4176652126,-870.04766521265,-1.827100096946565,0
