event_id,event_time_ist,event_type,symbol,trade_month,dense_file_path,dense_rows,pre_event_seconds,post_event_seconds,event_bucket_seconds,source_url_or_file
P306_EVT_0001,2026-08-05 10:00:00+05:30,rbi_policy,ADANIPORTS,2026-08,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=ADANIPORTS\part-00000.parquet,15549968,900,1800,1,https://www.youtube.com/watch?v=XIdD58WOX30
P306_EVT_0001,2026-08-05 10:00:00+05:30,rbi_policy,AXISBANK,2026-08,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=AXISBANK\part-00000.parquet,15555918,900,1800,1,https://www.youtube.com/watch?v=XIdD58WOX30
P306_EVT_0001,2026-08-05 10:00:00+05:30,rbi_policy,BAJAJ-AUTO,2026-08,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BAJAJ-AUTO\part-00000.parquet,15542034,900,1800,1,https://www.youtube.com/watch?v=XIdD58WOX30
P306_EVT_0001,2026-08-05 10:00:00+05:30,rbi_policy,BANKBEES,2026-08,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BANKBEES\part-00000.parquet,15557902,900,1800,1,https://www.youtube.com/watch?v=XIdD58WOX30
P306_EVT_0001,2026-08-05 10:00:00+05:30,rbi_policy,BHARTIARTL,2026-08,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BHARTIARTL\part-00000.parquet,15575752,900,1800,1,https://www.youtube.com/watch?v=XIdD58WOX30
P306_EVT_0001,2026-08-05 10:00:00+05:30,rbi_policy,BPCL,2026-08,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BPCL\part-00000.parquet,15512283,900,1800,1,https://www.youtube.com/watch?v=XIdD58WOX30
P306_EVT_0001,2026-08-05 10:00:00+05:30,rbi_policy,BRITANNIA,2026-08,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BRITANNIA\part-00000.parquet,15561869,900,1800,1,https://www.youtube.com/watch?v=XIdD58WOX30
P306_EVT_0001,2026-08-05 10:00:00+05:30,rbi_policy,CIPLA,2026-08,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=CIPLA\part-00000.parquet,15549968,900,1800,1,https://www.youtube.com/watch?v=XIdD58WOX30
P306_EVT_0001,2026-08-05 10:00:00+05:30,rbi_policy,DRREDDY,2026-08,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=DRREDDY\part-00000.parquet,15563852,900,1800,1,https://www.youtube.com/watch?v=XIdD58WOX30
P306_EVT_0001,2026-08-05 10:00:00+05:30,rbi_policy,GOLDBEES,2026-08,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=GOLDBEES\part-00000.parquet,15551951,900,1800,1,https://www.youtube.com/watch?v=XIdD58WOX30
