dataset,layer,column,arrow_type,nullable,recommended_type_note
stage_a1_compact_real_ticks,real_received_ticks,source_file,large_string,True,
stage_a1_compact_real_ticks,real_received_ticks,source_file_ordinal,int32,True,
stage_a1_compact_real_ticks,real_received_ticks,row_in_source_file,int32,True,
stage_a1_compact_real_ticks,real_received_ticks,collector_received_utc,large_string,True,
stage_a1_compact_real_ticks,real_received_ticks,collector_received_utc_ms,int64,True,integer sequence/timestamp type is appropriate
stage_a1_compact_real_ticks,real_received_ticks,collector_received_monotonic_ns,int64,True,
stage_a1_compact_real_ticks,real_received_ticks,exchange_timestamp,large_string,True,
stage_a1_compact_real_ticks,real_received_ticks,last_trade_time,large_string,True,
stage_a1_compact_real_ticks,real_received_ticks,trade_date,large_string,True,
stage_a1_compact_real_ticks,real_received_ticks,exchange,large_string,True,
stage_a1_compact_real_ticks,real_received_ticks,tradingsymbol,large_string,True,
stage_a1_compact_real_ticks,real_received_ticks,requested_symbol,large_string,True,
stage_a1_compact_real_ticks,real_received_ticks,instrument_token,int64,True,
stage_a1_compact_real_ticks,real_received_ticks,last_price,double,True,candidate for fixed-point integer ticks where exact tick-grid replay is required
stage_a1_compact_real_ticks,real_received_ticks,last_traded_quantity,int64,True,
stage_a1_compact_real_ticks,real_received_ticks,volume_traded,double,True,integer quantity/order type preferred
stage_a1_compact_real_ticks,real_received_ticks,average_traded_price,double,True,candidate for fixed-point integer ticks where exact tick-grid replay is required
stage_a1_compact_real_ticks,real_received_ticks,total_buy_quantity,int64,True,
stage_a1_compact_real_ticks,real_received_ticks,total_sell_quantity,int64,True,
stage_a1_compact_real_ticks,real_received_ticks,oi,int64,True,
stage_a1_compact_real_ticks,real_received_ticks,oi_day_high,int64,True,
stage_a1_compact_real_ticks,real_received_ticks,oi_day_low,int64,True,
stage_a1_compact_real_ticks,real_received_ticks,ohlc_open,double,True,
stage_a1_compact_real_ticks,real_received_ticks,ohlc_high,double,True,
stage_a1_compact_real_ticks,real_received_ticks,ohlc_low,double,True,
stage_a1_compact_real_ticks,real_received_ticks,ohlc_close,double,True,
stage_a1_compact_real_ticks,real_received_ticks,change,double,True,
stage_a1_compact_real_ticks,real_received_ticks,buy_1_price,double,True,candidate for fixed-point integer ticks where exact tick-grid replay is required
stage_a1_compact_real_ticks,real_received_ticks,buy_1_quantity,int64,True,
stage_a1_compact_real_ticks,real_received_ticks,buy_1_orders,int64,True,integer quantity/order type preferred
stage_a1_compact_real_ticks,real_received_ticks,buy_2_price,double,True,candidate for fixed-point integer ticks where exact tick-grid replay is required
stage_a1_compact_real_ticks,real_received_ticks,buy_2_quantity,int64,True,
stage_a1_compact_real_ticks,real_received_ticks,buy_2_orders,int64,True,integer quantity/order type preferred
stage_a1_compact_real_ticks,real_received_ticks,buy_3_price,double,True,candidate for fixed-point integer ticks where exact tick-grid replay is required
stage_a1_compact_real_ticks,real_received_ticks,buy_3_quantity,int64,True,
stage_a1_compact_real_ticks,real_received_ticks,buy_3_orders,int64,True,integer quantity/order type preferred
stage_a1_compact_real_ticks,real_received_ticks,buy_4_price,double,True,candidate for fixed-point integer ticks where exact tick-grid replay is required
stage_a1_compact_real_ticks,real_received_ticks,buy_4_quantity,int64,True,
stage_a1_compact_real_ticks,real_received_ticks,buy_4_orders,int64,True,integer quantity/order type preferred
stage_a1_compact_real_ticks,real_received_ticks,buy_5_price,double,True,candidate for fixed-point integer ticks where exact tick-grid replay is required
stage_a1_compact_real_ticks,real_received_ticks,buy_5_quantity,int64,True,
