quarter_profile,regime_code,regime_family,days,market_shock_days,avg_event_rate_multiplier,avg_vol_multiplier,avg_spread_multiplier,avg_depth_multiplier,profile_day_share,weighted_event_rate_contribution
Q-A,D01,Normal balanced,12,0,1.0,1.0,1.0,1.0,0.19047619047619047,0.19047619047619047
Q-A,D02,Low-volatility sideways,7,0,0.8,0.65,0.85,1.05,0.1111111111111111,0.08888888888888889
Q-A,D03,High-volatility sideways,5,0,1.15,1.45,1.2,0.95,0.07936507936507936,0.09126984126984125
Q-A,D04,Gradual bullish trend,7,0,1.1,1.1,1.0,1.0,0.1111111111111111,0.12222222222222223
Q-A,D05,Strong rally,2,0,1.35,1.65,1.1,0.9,0.031746031746031744,0.04285714285714286
Q-A,D06,Gradual bearish trend,5,0,1.1,1.15,1.05,0.95,0.07936507936507936,0.08730158730158731
Q-A,D07,Sell-off/panic,3,3,1.55,2.2,1.75,0.65,0.047619047619047616,0.07380952380952381
Q-A,D08,Gap-up continuation,2,0,1.2,1.35,1.05,0.95,0.031746031746031744,0.03809523809523809
Q-A,D09,Gap-up fade,1,0,1.2,1.45,1.15,0.9,0.015873015873015872,0.019047619047619046
Q-A,D10,Gap-down continuation,2,0,1.3,1.55,1.25,0.85,0.031746031746031744,0.04126984126984127
Q-A,D11,Gap-down recovery,1,0,1.25,1.5,1.2,0.9,0.015873015873015872,0.01984126984126984
Q-A,D12,Event day,5,2,1.35,1.6,1.25,0.85,0.07936507936507936,0.10714285714285715
Q-A,D13,Liquidity-stressed,1,1,0.8,1.35,2.0,0.5,0.015873015873015872,0.012698412698412698
Q-A,D15,Rotation day,2,0,1.1,1.15,1.05,1.0,0.031746031746031744,0.03492063492063492
Q-A,D17,Stock-specific dispersion,2,0,1.15,1.25,1.1,0.95,0.031746031746031744,0.0365079365079365
Q-A,D18,False-breakout day,3,0,1.2,1.3999999999999997,1.15,0.9,0.047619047619047616,0.057142857142857134
Q-A,D19,Trend reversal day,2,0,1.25,1.5,1.15,0.9,0.031746031746031744,0.03968253968253968
Q-A,D20,Shock-and-normalize,1,1,1.45,2.0,1.6,0.7,0.015873015873015872,0.023015873015873014
Q-B,D01,Normal balanced,9,1,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285
Q-B,D02,Low-volatility sideways,4,0,0.8,0.65,0.85,1.05,0.06349206349206349,0.050793650793650794
Q-B,D03,High-volatility sideways,4,0,1.15,1.45,1.2,0.95,0.06349206349206349,0.073015873015873
Q-B,D04,Gradual bullish trend,11,1,1.1,1.1,1.0,1.0,0.1746031746031746,0.19206349206349208
Q-B,D05,Strong rally,7,3,1.35,1.65,1.1,0.9,0.1111111111111111,0.15
Q-B,D06,Gradual bearish trend,3,1,1.1,1.15,1.05,0.9499999999999998,0.047619047619047616,0.05238095238095238
Q-B,D07,Sell-off/panic,1,1,1.55,2.2,1.75,0.65,0.015873015873015872,0.024603174603174603
Q-B,D08,Gap-up continuation,4,2,1.2,1.35,1.05,0.95,0.06349206349206349,0.07619047619047618
Q-B,D09,Gap-up fade,1,0,1.2,1.45,1.15,0.9,0.015873015873015872,0.019047619047619046
Q-B,D10,Gap-down continuation,1,0,1.3,1.55,1.25,0.85,0.015873015873015872,0.020634920634920634
Q-B,D11,Gap-down recovery,1,0,1.25,1.5,1.2,0.9,0.015873015873015872,0.01984126984126984
Q-B,D12,Event day,5,0,1.35,1.6,1.25,0.85,0.07936507936507936,0.10714285714285715
Q-B,D13,Liquidity-stressed,1,0,0.8,1.35,2.0,0.5,0.015873015873015872,0.012698412698412698
Q-B,D15,Rotation day,3,0,1.1,1.15,1.05,1.0,0.047619047619047616,0.05238095238095238
Q-B,D17,Stock-specific dispersion,2,0,1.15,1.25,1.1,0.95,0.031746031746031744,0.0365079365079365
Q-B,D18,False-breakout day,3,0,1.2,1.3999999999999997,1.15,0.9,0.047619047619047616,0.057142857142857134
Q-B,D19,Trend reversal day,2,0,1.25,1.5,1.15,0.9,0.031746031746031744,0.03968253968253968
Q-B,D20,Shock-and-normalize,1,1,1.45,2.0,1.6,0.7,0.015873015873015872,0.023015873015873014
Q-C,D01,Normal balanced,5,0,1.0,1.0,1.0,1.0,0.07936507936507936,0.07936507936507936
Q-C,D02,Low-volatility sideways,3,0,0.8000000000000002,0.65,0.85,1.05,0.047619047619047616,0.0380952380952381
Q-C,D03,High-volatility sideways,8,0,1.15,1.45,1.2,0.95,0.12698412698412698,0.146031746031746
Q-C,D04,Gradual bullish trend,5,0,1.1,1.1,1.0,1.0,0.07936507936507936,0.08730158730158731
Q-C,D05,Strong rally,2,0,1.35,1.65,1.1,0.9,0.031746031746031744,0.04285714285714286
Q-C,D06,Gradual bearish trend,7,0,1.1,1.15,1.05,0.95,0.1111111111111111,0.12222222222222223
Q-C,D07,Sell-off/panic,6,6,1.55,2.2,1.75,0.65,0.09523809523809523,0.14761904761904762
Q-C,D08,Gap-up continuation,1,0,1.2,1.35,1.05,0.95,0.015873015873015872,0.019047619047619046
Q-C,D09,Gap-up fade,2,0,1.2,1.45,1.15,0.9,0.031746031746031744,0.03809523809523809
Q-C,D10,Gap-down continuation,3,0,1.3,1.55,1.25,0.85,0.047619047619047616,0.06190476190476191
Q-C,D11,Gap-down recovery,1,0,1.25,1.5,1.2,0.9,0.015873015873015872,0.01984126984126984
Q-C,D12,Event day,5,0,1.35,1.6,1.25,0.85,0.07936507936507936,0.10714285714285715
Q-C,D13,Liquidity-stressed,2,0,0.8,1.35,2.0,0.5,0.031746031746031744,0.025396825396825397
Q-C,D15,Rotation day,3,0,1.1,1.15,1.05,1.0,0.047619047619047616,0.05238095238095238
Q-C,D17,Stock-specific dispersion,3,0,1.15,1.25,1.1,0.9499999999999998,0.047619047619047616,0.054761904761904755
Q-C,D18,False-breakout day,3,0,1.2,1.3999999999999997,1.15,0.9,0.047619047619047616,0.057142857142857134
Q-C,D19,Trend reversal day,2,0,1.25,1.5,1.15,0.9,0.031746031746031744,0.03968253968253968
Q-C,D20,Shock-and-normalize,2,2,1.45,2.0,1.6,0.7,0.031746031746031744,0.04603174603174603
