phase296_variant_id,feed_profile,strategy_family,intensity_threshold_quantile,beyond_l1_materiality_quantile,spread_regime,daily_event_limit,exit_horizon_ticks,selected_event_rows,symbols,trade_dates,uses_top5,uses_levels_2_to_5,uses_l1_l5_spread_proxy,raw_l1_l5_book_state_persisted,l1_only_variant,uses_net_edge_as_live_mask,annualized_denominator
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,0.7,0.7,NOT_WIDE,1,1,175,6,175,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,0.7,0.7,NOT_WIDE,1,3,163,6,163,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,0.7,0.7,NOT_WIDE,1,6,155,6,155,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,0.7,0.7,NOT_WIDE,3,1,511,10,176,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,0.7,0.7,NOT_WIDE,3,3,491,10,176,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,0.7,0.7,NOT_WIDE,3,6,459,10,176,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,0.85,0.7,NOT_WIDE,1,1,115,8,115,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,0.85,0.7,NOT_WIDE,1,3,109,8,109,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,0.85,0.7,NOT_WIDE,1,6,100,7,100,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,0.85,0.7,NOT_WIDE,3,1,333,13,116,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,0.85,0.7,NOT_WIDE,3,3,321,13,115,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,0.85,0.7,NOT_WIDE,3,6,294,12,113,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.7,0.7,NOT_WIDE,1,1,176,4,176,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.7,0.7,NOT_WIDE,1,3,165,4,165,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.7,0.7,NOT_WIDE,1,6,152,4,152,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.7,0.7,NOT_WIDE,3,1,515,8,176,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.7,0.7,NOT_WIDE,3,3,493,8,176,1,1,1,0,0,0,fixed_initial_capital
