strategy_id,execution_profile,fill_model,queue_position_bucket,trade_date,orders,mean_fill_ratio,submitted_notional_inr,filled_notional_inr,unfilled_notional_inr,filled_net_pnl_inr,filled_cost_inr,risk_adjusted_net_pnl_inr,max_intraday_drawdown_inr,max_abs_position_units,position_limit_breach_rows,daily_loss_limit_breach_rows,daily_halt_rows
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-14,2069,1.0,206900000.0,206900000.0,0.0,-131660.62314995792,14011.643615348266,-75478.46250074962,-159679.40128819493,522.0,63,1745,1759
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-15,2546,0.9602120974076983,254600000.0,244470000.0,10130000.0,-2011971.699019697,28539.360850839323,-77123.99814315735,-2013902.9346718024,521.75,166,2470,2476
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-16,3178,0.950629326620516,317800000.0,302110000.0,15690000.0,-3444165.291221447,46107.82842922569,-76495.23627284892,-3446096.448146051,55.25,0,3096,3097
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-17,2232,1.0,223200000.0,223200000.0,0.0,-752806.4397479804,14526.213338572185,-75832.17187907161,-755329.4360258608,91.0,0,1990,1990
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-20,1612,0.9563275434243176,161200000.0,154160000.0,7040000.0,-7353266.213132397,23723.637680080436,-75907.10810072604,-7354740.190602063,835.3,644,1586,1586
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-21,4251,1.0,425100000.0,425100000.0,0.0,-1678094.2225810057,33365.73615286041,-75963.95064343052,-1676025.7185094836,578.0,429,4143,4143
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-22,504,1.0,50400000.0,50400000.0,0.0,-531686.7458917658,3384.675557596025,-75067.4665468992,-533443.0401037413,145.0,0,405,405
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-23,1943,0.9678332475553268,194300000.0,188050000.0,6250000.0,-1402915.8633897929,19706.592456968716,-78453.38835441404,-1413392.4087719508,305.0,0,1785,1787
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-24,3480,1.0,348000000.0,348000000.0,0.0,-4902889.0173205985,26975.24117385418,-76733.92506223683,-4902157.796403249,287.0,0,3401,3404
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-27,3032,1.0,303200000.0,303200000.0,0.0,-1414545.684766154,22788.598723267627,-76473.56257269217,-1414167.307727013,720.0,921,2939,2944
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-28,3251,1.0,325100000.0,325100000.0,0.0,-6790513.639904471,26729.00533851197,-78418.77221515504,-6795173.712541566,619.0,648,3211,3213
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-29,3343,1.0,334300000.0,334300000.0,0.0,-4727720.782537325,25049.72920714357,-77581.87688354835,-4737923.308405601,1813.0,2233,3258,3258
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-30,3594,0.9777545909849749,359400000.0,351405000.0,7995000.0,-3870444.4729399066,39127.93701124333,-77490.69585455148,-3870127.55036737,700.15,1151,3539,3539
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-07-31,2980,0.9989765100671141,298000000.0,297695000.0,305000.0,-2223451.6870343257,25553.571444760953,-77331.24609151843,-2224144.6480694865,501.95,7,2848,2849
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,2026-08-03,1925,1.0,192500000.0,192500000.0,0.0,-675519.6745975884,15621.21319872377,-76421.57570436365,-684277.715857558,36.0,0,1732,1746
