order_id,symbol,position,cash,mark_mid,mark_to_market_pnl
0,HDFCBANK,-10,8274.759158312469,828.0999999992464,-6.240841679995356
1,HDFCBANK,-20,16436.562545503042,816.7999999992567,100.5625455179088
2,HDFCBANK,-30,24745.80820030848,831.6499999992432,-203.6917996688171
3,HDFCBANK,-40,32851.6335062351,811.2999999992617,399.63350626463216
4,HDFCBANK,-50,40978.4505926357,813.3999999992598,308.45059267271427
5,HDFCBANK,-60,49163.744781785244,819.1499999992545,14.744781829969725
6,HDFCBANK,-70,57196.09885605294,803.9499999992684,919.5988561041522
7,HDFCBANK,-80,65335.41104987852,814.6499999992586,163.41104993783665
8,HDFCBANK,-90,73266.80465615231,793.8499999992775,1820.3046562173258
9,HDFCBANK,-100,81709.49805825662,844.999999999231,-2790.5019416664873
10,HDFCBANK,-110,90070.72335995002,836.8499999992384,-1982.7766399662069
11,HDFCBANK,-120,98406.45864249642,834.2999999992408,-1709.5413574124686
12,HDFCBANK,-130,106663.7246504139,826.4499999992479,-774.7753494883218
13,HDFCBANK,-140,114880.50651027443,822.3999999992516,-255.49348962079966
14,HDFCBANK,-150,122742.42731926528,786.8999999992839,4707.427319372699
15,HDFCBANK,-160,130832.75869198491,809.7499999992631,1272.7586921028123
16,HDFCBANK,-170,138964.0740170585,813.7499999992594,626.5740171844081
17,HDFCBANK,-180,147187.85313707704,823.0999999992509,-970.1468627881259
18,HDFCBANK,-190,155106.75163592582,792.5999999992787,4512.751636062865
19,HDFCBANK,-200,163542.44777787215,844.2999999992317,-5317.552221974183
20,HDFCBANK,-210,171978.14391981848,844.2999999992317,-5324.856080020167
21,HDFCBANK,-220,180407.3426059038,843.6499999992323,-5195.6573939272785
22,HDFCBANK,-230,188534.1596923044,813.2999999992599,1475.159692474641
23,HDFCBANK,-240,196990.34781042772,846.3499999992298,-6133.652189387445
24,HDFCBANK,-250,205172.14336949826,818.7999999992549,472.1433696845488
25,HDFCBANK,-260,213357.9373629448,819.1999999992545,365.9373631386261
26,HDFCBANK,-270,221390.2914372125,803.9499999992684,4323.791437410051
