strategy_id,execution_profile,fill_model,queue_position_bucket,risk_limit_profile,profile_role,trade_dates,orders,daily_loss_limit_inr,drawdown_limit_inr,tail_trade_loss_limit_inr,max_abs_position_limit_units,breach_days,daily_loss_breach_days,drawdown_breach_days,position_limit_breach_days,tail_trade_loss_breach,breach_day_fraction,worst_daily_risk_adjusted_net_pnl_inr,tail_loss_1pct_filled_pnl_inr,max_intraday_drawdown_inr,max_abs_position_units,daily_loss_excess_ratio,drawdown_excess_ratio,position_excess_ratio,tail_loss_excess_ratio,risk_limit_severity_score,risk_limit_status,risk_pass_candidate_under_limit_profile,risk_evidence_scope,not_acceptance_grade
S03,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,tight_capital_preservation,stricter_than_current_proxy,60,283411,-50000.0,-75000.0,-25000.0,250.0,46,46,45,31,False,0.7666666666666667,-82169.98908390802,-8987.968860580317,-25883773.33226755,3554.02,0.6433997816781603,344.1169777635673,13.21608,0.0,8959.997705297803,high_proxy_breach_under_limit_profile,False,phase12_full_run_fill_adjusted_proxy_risk_limit_sensitivity,True
S03,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,current_proxy_limits,current_phase12_proxy_guardrail,60,283411,-75000.0,-100000.0,-35000.0,500.0,45,45,44,22,False,0.75,-82169.98908390802,-8987.968860580317,-25883773.33226755,3554.02,0.09559985445210684,257.8377333226755,6.10804,0.0,6645.49412942819,high_proxy_breach_under_limit_profile,False,phase12_full_run_fill_adjusted_proxy_risk_limit_sensitivity,True
S03,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,tight_capital_preservation,stricter_than_current_proxy,60,283411,-50000.0,-75000.0,-25000.0,250.0,45,45,44,27,False,0.75,-80597.43625860073,-5927.151556934391,-15470465.719989896,2098.58,0.6119487251720146,205.27287626653194,7.3943200000000004,0.0,5370.007024792599,high_proxy_breach_under_limit_profile,False,phase12_full_run_fill_adjusted_proxy_risk_limit_sensitivity,True
S03,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,current_proxy_limits,current_phase12_proxy_guardrail,60,283411,-75000.0,-100000.0,-35000.0,500.0,44,44,43,17,False,0.7333333333333333,-80597.43625860073,-5927.151556934391,-15470465.719989896,2098.58,0.07463248344800988,153.70465719989895,3.1971600000000002,0.0,3981.758775417007,high_proxy_breach_under_limit_profile,False,phase12_full_run_fill_adjusted_proxy_risk_limit_sensitivity,True
S05,stressed_retail,optimistic_marketable,front_or_marketable,tight_capital_preservation,stricter_than_current_proxy,63,432377,-50000.0,-75000.0,-25000.0,250.0,63,56,63,63,False,1.0,-81087.06173306958,-6771.860532484232,-8471257.71815683,6992.15,0.6217412346613918,111.95010290875773,26.9686,0.0,3453.6681035854776,high_proxy_breach_under_limit_profile,False,phase12_full_run_fill_adjusted_proxy_risk_limit_sensitivity,True
S03,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,expanded_research_limits,looser_research_sensitivity,60,283411,-150000.0,-200000.0,-75000.0,1000.0,41,0,41,11,False,0.6833333333333333,-82169.98908390802,-8987.968860580317,-25883773.33226755,3554.02,0.0,128.41886666133774,2.55402,0.0,3329.885399866777,high_proxy_breach_under_limit_profile,False,phase12_full_run_fill_adjusted_proxy_risk_limit_sensitivity,True
S05,stressed_retail,neutral_partial,middle_queue_proxy,tight_capital_preservation,stricter_than_current_proxy,63,432377,-50000.0,-75000.0,-25000.0,250.0,63,54,61,63,False,1.0,-78967.32308207417,-4939.908940671084,-7256915.624508995,4658.75,0.5793464616414834,95.75887499345326,17.635,0.0,2861.1555363773687,high_proxy_breach_under_limit_profile,False,phase12_full_run_fill_adjusted_proxy_risk_limit_sensitivity,True
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,tight_capital_preservation,stricter_than_current_proxy,63,166760,-50000.0,-75000.0,-25000.0,250.0,63,63,63,40,False,1.0,-79837.07014425717,-8147.206959706952,-7356962.482045282,1813.0,0.5967414028851434,97.09283309393709,6.252,0.0,2667.2793624205556,high_proxy_breach_under_limit_profile,False,phase12_full_run_fill_adjusted_proxy_risk_limit_sensitivity,True
S05,stressed_retail,optimistic_marketable,front_or_marketable,current_proxy_limits,current_phase12_proxy_guardrail,63,432377,-75000.0,-100000.0,-35000.0,500.0,63,55,63,63,False,1.0,-81087.06173306958,-6771.860532484232,-8471257.71815683,6992.15,0.08116082310759443,83.71257718156829,12.9843,0.0,2454.5294501168974,high_proxy_breach_under_limit_profile,False,phase12_full_run_fill_adjusted_proxy_risk_limit_sensitivity,True
S03,stressed_retail,optimistic_marketable,front_or_marketable,tight_capital_preservation,stricter_than_current_proxy,60,270999,-50000.0,-75000.0,-25000.0,250.0,42,31,33,29,False,0.7,-77931.31617752751,-6159.564357137921,-6022102.454187624,3341.98,0.5586263235505502,79.29469938916833,12.36792,0.0,2313.691542817972,high_proxy_breach_under_limit_profile,False,phase12_full_run_fill_adjusted_proxy_risk_limit_sensitivity,True
