strategy_id,execution_profile,trades,trade_dates,total_net_pnl_inr,mean_net_return,worst_daily_net_pnl_inr,tail_loss_1pct_trade_pnl_inr,max_intraday_drawdown_inr,max_abs_signal_position_units,daily_loss_warn_days,drawdown_warn_days,position_warn_days,risk_evidence_scope,risk_limits,name,role,support_level,caveat
S01,zero_latency_spread_only_control,166760,63,-132137788.88770655,-0.00792382998846885,-7736452.644800619,-8314.009661835744,-7738004.200031847,1813.0,63,63,20,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S01,retail_marketable_default,160471,63,103521696.182433,0.006451115540031094,-294195.7929851124,-6718.930354959797,-363951.05280678486,1660.0,2,3,17,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S01,stressed_retail,158070,63,-17915905.55342681,-0.0011334159267050556,-4386085.096251661,-6355.895532774589,-4384607.267448382,1578.0,39,41,18,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S02,zero_latency_spread_only_control,907352,63,-27137981.7728006,-0.00029908989865896126,-1735602.1500945173,-6949.471362781351,-1779749.2112364133,399.0,55,61,0,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Pure multi-level OFI directional model,priority,runnable_proxy,Current proxy can compare static imbalance and mlofi_qty at 5-minute event spacing only.
S02,retail_marketable_default,879151,63,-100494154.06084359,-0.0011430818376006351,-2428202.610722644,-7016.363116084796,-2458879.8242653953,397.0,63,63,0,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Pure multi-level OFI directional model,priority,runnable_proxy,Current proxy can compare static imbalance and mlofi_qty at 5-minute event spacing only.
S02,stressed_retail,870977,63,-125251995.80989856,-0.0014380631843309121,-3024694.0233351598,-6833.906904011278,-3024579.2408068264,447.0,63,63,0,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Pure multi-level OFI directional model,priority,runnable_proxy,Current proxy can compare static imbalance and mlofi_qty at 5-minute event spacing only.
S03,zero_latency_spread_only_control,283411,60,-188812383.53309545,-0.006662140267424182,-27519043.611610647,-9467.711897440358,-27520196.1278376,3788.0,44,44,22,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Liquidity-vacuum breakout,priority,partial_missing_required_features,Only a weak proxy exists because Phase 9 Tier C does not yet carry explicit withdrawal/replenishment rates.
S03,retail_marketable_default,273427,60,137303839.19960722,0.005021590376941825,-395510.66694113845,-7999.178486593635,-408842.18986751954,3590.0,6,7,22,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Liquidity-vacuum breakout,priority,partial_missing_required_features,Only a weak proxy exists because Phase 9 Tier C does not yet carry explicit withdrawal/replenishment rates.
S03,stressed_retail,270999,60,-20884797.779648844,-0.000770659588398808,-6021878.357138793,-6299.446739229395,-6024778.720697464,3491.0,27,31,22,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Liquidity-vacuum breakout,priority,partial_missing_required_features,Only a weak proxy exists because Phase 9 Tier C does not yet carry explicit withdrawal/replenishment rates.
S04,zero_latency_spread_only_control,429202,60,-39127040.0938523,-0.0009116229675968968,-4321035.545527617,-8640.49637547611,-4337857.578695285,1045.0,42,44,5,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Trade-flow plus depth confirmation,priority,partial_missing_required_features,Event intensity is not a substitute for signed aggressive trade imbalance.
S04,retail_marketable_default,414066,60,-16589586.222557195,-0.0004006507711948625,-4024825.7885527536,-8776.853227654992,-4094258.2283815313,970.0,26,37,6,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Trade-flow plus depth confirmation,priority,partial_missing_required_features,Event intensity is not a substitute for signed aggressive trade imbalance.
S04,stressed_retail,410666,60,-56896258.1107897,-0.0013854630797482555,-3864319.580131821,-6609.0174904656615,-3906276.721371725,996.0,41,40,6,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Trade-flow plus depth confirmation,priority,partial_missing_required_features,Event intensity is not a substitute for signed aggressive trade imbalance.
S05,zero_latency_spread_only_control,449765,63,52400771.70120952,0.0011650700188144817,-2319533.256379092,-6403.694730466386,-2328851.353324083,7580.0,14,37,63,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Microprice entry/exit filter,filter,runnable_proxy,Standalone microprice results are diagnostic only; plan says not to promote it as a standalone annual-return strategy.
S05,retail_marketable_default,436284,63,-98227857.25007941,-0.002251465954517686,-4823675.740327635,-7045.101224028026,-4896499.906646719,7316.0,58,63,63,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Microprice entry/exit filter,filter,runnable_proxy,Standalone microprice results are diagnostic only; plan says not to promote it as a standalone annual-return strategy.
S05,stressed_retail,432377,63,-64653783.15999946,-0.0014953104156788972,-8048006.689370717,-6847.868750684748,-8068175.717522447,7240.0,54,63,63,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Microprice entry/exit filter,filter,runnable_proxy,Standalone microprice results are diagnostic only; plan says not to promote it as a standalone annual-return strategy.
S06,zero_latency_spread_only_control,34373,54,637734.1566244762,0.00018553345841924637,-282527.55198654486,-8358.802137715475,-443045.7197729541,210.0,11,15,0,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Absorption and exhaustion reversal,priority,partial_missing_required_features,Can only label absorption-like proxies; top-five market-by-price cannot prove iceberg/participant identity.
S06,retail_marketable_default,33129,54,-5840098.322686734,-0.0017628356795214872,-941442.7037981022,-8520.486656010993,-992878.6601940625,187.0,21,22,0,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Absorption and exhaustion reversal,priority,partial_missing_required_features,Can only label absorption-like proxies; top-five market-by-price cannot prove iceberg/participant identity.
S06,stressed_retail,32935,54,-3522254.7229207787,-0.00106945642110848,-521308.9182181518,-6296.74665138363,-525306.7128582642,193.0,18,17,0,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Absorption and exhaustion reversal,priority,partial_missing_required_features,Can only label absorption-like proxies; top-five market-by-price cannot prove iceberg/participant identity.
S07,zero_latency_spread_only_control,237064,59,-20709405.248414103,-0.0008735786643444012,-3819341.7037909576,-6286.308322631944,-3825879.803782612,1483.0,44,51,44,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Mean reversion after imbalance,priority,runnable_proxy,Proxy uses imbalance/intensity and regime_code; explicit replenishment is still missing.
S07,retail_marketable_default,229792,59,-24500019.194784462,-0.0010661824256190148,-1632714.0226110977,-6787.474369591317,-1817239.7738762172,1436.0,44,54,44,full_execution_summary_proxy_no_fills,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Mean reversion after imbalance,priority,runnable_proxy,Proxy uses imbalance/intensity and regime_code; explicit replenishment is still missing.
