cost_component,formula_or_source,basis_points,applies_to,note,evidence_status,source_url
profile_fee_bps,execution_profile.fees_bps,0.0,all_profiles,Internal residual profile fee hook; current profiles set this to zero because verified Zerodha charge rows are modeled separately.,internal_model,
impact_bps,execution_profile.impact_bps,,all_profiles,Internal market-impact proxy; not broker/exchange charge.,internal_model,
half_spread,spread_ticks * tick_size / 2,,all_profiles,Marketable execution spread-crossing proxy.,internal_model,
fixed_slippage_ticks,execution_profile.fixed_slippage_ticks * tick_size / mid_price,,all_profiles,Internal slippage stress parameter.,internal_model,
partial_fill_opportunity_cost,phase12_order_lifecycle_proxy,,sampled_lifecycle_profiles,"Partial fills and queue-position buckets are modeled in outputs/phase12_order_lifecycle, not as a scalar charge in the base execution summary.",implemented_proxy,
statutory_and_brokerage_charges,verified_zerodha_equity_intraday_nse_order_formula_v2,10.60688,retail_and_stressed_profiles,Order-formula evidence is emitted in charge_component_catalog.csv and representative_charge_scenarios.csv; normalized return simulation still uses this comparable bps proxy.,verified_source_order_formula_and_normalized_proxy,https://zerodha.com/charges/
zerodha_equity_intraday_brokerage,"0.03% or Rs. 20 per executed order, lower; modeled as 0.03% per buy/sell order before cap",6.0,retail_and_stressed_profiles,Round-trip bps approximation; ₹20/order cap requires rupee order notional and is not applied in the normalized return proxy.,verified_source_normalized_proxy,https://zerodha.com/charges/
zerodha_equity_intraday_stt,0.025% on sell side,2.5,retail_and_stressed_profiles,Equity intraday STT applied on sell side.,verified_source_normalized_proxy,https://zerodha.com/charges/
zerodha_equity_intraday_nse_transaction_charges,NSE 0.00307% per side,0.614,retail_and_stressed_profiles,Round-trip NSE transaction-charge approximation.,verified_source_normalized_proxy,https://zerodha.com/charges/
zerodha_equity_intraday_sebi_charges,Rs. 10/crore per side,0.002,retail_and_stressed_profiles,Round-trip SEBI charge approximation.,verified_source_normalized_proxy,https://zerodha.com/charges/
zerodha_equity_intraday_stamp_duty,0.003% buy side,0.3,retail_and_stressed_profiles,Stamp duty applied on buy side.,verified_source_normalized_proxy,https://zerodha.com/charges/
zerodha_equity_intraday_gst,18% on brokerage + SEBI charges + transaction charges,1.19088,retail_and_stressed_profiles,"GST calculated from modeled brokerage, SEBI and transaction-charge bps.",verified_source_normalized_proxy,https://zerodha.com/charges/
statutory_and_brokerage_charges,verified_zerodha_equity_intraday_nse_round_trip_bps_v1,10.60688,retail_and_stressed_profiles,Total normalized round-trip charge estimate from Zerodha-published equity intraday rows; not acceptance-grade because order-notional cap and contract-note rounding are not modeled.,verified_source_normalized_proxy,https://zerodha.com/charges/
