strategy_id,execution_profile,latency_events,trades,symbols,feed_profiles,mean_gross_return,mean_cost_return,mean_net_return,win_rate_net,total_net_pnl_units,market_shock_trade_fraction,symbol_shock_trade_fraction,status,name,role,support_level,caveat
S01,zero_latency_spread_only_control,0,166760,30,5,-0.00783377405849061,9.005592997824139e-05,-0.007923829988468852,0.355624850083953,-1321.3778888770657,0.17053250179899257,0.04358958982969537,simulated_marketable_proxy_not_acceptance,Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S01,retail_marketable_default,2,160471,30,5,0.0074760393289249535,0.0012589524953542826,0.00621708683357067,0.6033301967333662,997.6621412699191,0.14520380629521845,0.03911610197481165,simulated_marketable_proxy_not_acceptance,Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S01,stressed_retail,4,158070,30,5,0.00010374308093200791,0.0014710223538451418,-0.0013672792729131343,0.4599607768710065,-216.12583466937912,0.1301954830138546,0.0398304548617701,simulated_marketable_proxy_not_acceptance,Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S02,zero_latency_spread_only_control,0,907352,27,5,-9.215628481930451e-05,0.0002069336138396569,-0.0002990898986589613,0.49228193688888106,-271.3798177280059,0.15026913480104745,0.03851427009583932,simulated_marketable_proxy_not_acceptance,Pure multi-level OFI directional model,priority,runnable_proxy,Current proxy can compare static imbalance and mlofi_qty at 5-minute event spacing only.
S02,retail_marketable_default,2,879151,27,5,4.0197659804172366e-05,0.0014171281252437237,-0.0013769304654395514,0.46924589746243817,-1210.529795621647,0.13705495415463329,0.03900012625817408,simulated_marketable_proxy_not_acceptance,Pure multi-level OFI directional model,priority,runnable_proxy,Current proxy can compare static imbalance and mlofi_qty at 5-minute event spacing only.
S02,stressed_retail,4,870977,27,5,-2.821462299485985e-06,0.0016690706777801319,-0.0016718921400796184,0.46086521228459537,-1456.1796004901257,0.13440768240722775,0.0404407923515776,simulated_marketable_proxy_not_acceptance,Pure multi-level OFI directional model,priority,runnable_proxy,Current proxy can compare static imbalance and mlofi_qty at 5-minute event spacing only.
S03,zero_latency_spread_only_control,0,283411,21,5,-0.006590933413903851,7.120685352033226e-05,-0.006662140267424181,0.406025171923461,-1888.1238353309545,0.4610653785491742,0.16339521048935998,simulated_marketable_proxy_not_acceptance,Liquidity-vacuum breakout,priority,partial_missing_required_features,Only a weak proxy exists because Phase 9 Tier C does not yet carry explicit withdrawal/replenishment rates.
S03,retail_marketable_default,2,273427,21,5,0.005983647048799682,0.0011966749565645836,0.004786972092235099,0.5695011831311465,1308.8874182635666,0.2599706685879595,0.08198897694814337,simulated_marketable_proxy_not_acceptance,Liquidity-vacuum breakout,priority,partial_missing_required_features,Only a weak proxy exists because Phase 9 Tier C does not yet carry explicit withdrawal/replenishment rates.
S03,stressed_retail,4,270999,21,5,0.00036925055325128404,0.0013735733418310655,-0.0010043227885797813,0.4758541544433743,-272.17047138233215,0.227927040321182,0.07733607873091783,simulated_marketable_proxy_not_acceptance,Liquidity-vacuum breakout,priority,partial_missing_required_features,Only a weak proxy exists because Phase 9 Tier C does not yet carry explicit withdrawal/replenishment rates.
S04,zero_latency_spread_only_control,0,429202,32,5,-0.0007110547643801337,0.00020056820321676257,-0.0009116229675968964,0.48324798113708695,-391.27040093852315,0.46297547541716955,0.18114547462500175,simulated_marketable_proxy_not_acceptance,Trade-flow plus depth confirmation,priority,partial_missing_required_features,Event intensity is not a substitute for signed aggressive trade imbalance.
S04,retail_marketable_default,2,414066,32,5,0.000698138428743548,0.0013333302269908365,-0.0006351917982472885,0.49203991634183925,-263.01132713306174,0.25965908816468874,0.08525210956707385,simulated_marketable_proxy_not_acceptance,Trade-flow plus depth confirmation,priority,partial_missing_required_features,Event intensity is not a substitute for signed aggressive trade imbalance.
S04,stressed_retail,4,410666,32,5,-7.55036729836591e-05,0.0015435988576927952,-0.0016191025306764543,0.46343013543853157,-664.9103598627768,0.22809290274821875,0.08148227513356353,simulated_marketable_proxy_not_acceptance,Trade-flow plus depth confirmation,priority,partial_missing_required_features,Event intensity is not a substitute for signed aggressive trade imbalance.
S05,zero_latency_spread_only_control,0,449765,16,5,0.001499244543732291,0.00033417452491780954,0.0011650700188144817,0.5035785354574055,524.0077170120953,0.19037942036396785,0.09624359387680233,simulated_marketable_proxy_not_acceptance,Microprice entry/exit filter,filter,runnable_proxy,Standalone microprice results are diagnostic only; plan says not to promote it as a standalone annual-return strategy.
S05,retail_marketable_default,2,436284,16,5,-0.0009529261294794149,0.0015325688003791631,-0.0024854949298585773,0.43993591330417803,-1084.3816699784195,0.1558892831275041,0.06729790686800341,simulated_marketable_proxy_not_acceptance,Microprice entry/exit filter,filter,runnable_proxy,Standalone microprice results are diagnostic only; plan says not to promote it as a standalone annual-return strategy.
S05,stressed_retail,4,432377,16,5,6.938646685336927e-05,0.0017985382079221198,-0.0017291517410687506,0.4491612643595751,-747.6454423480832,0.1459143293930991,0.06397888879380725,simulated_marketable_proxy_not_acceptance,Microprice entry/exit filter,filter,runnable_proxy,Standalone microprice results are diagnostic only; plan says not to promote it as a standalone annual-return strategy.
S06,zero_latency_spread_only_control,0,34373,32,5,0.0003935459142181492,0.00020801245579890273,0.00018553345841924632,0.49538882262240713,6.377341566244754,0.4114857591714427,0.16507142233729963,simulated_marketable_proxy_not_acceptance,Absorption and exhaustion reversal,priority,partial_missing_required_features,Can only label absorption-like proxies; top-five market-by-price cannot prove iceberg/participant identity.
S06,retail_marketable_default,2,33129,32,5,-0.0006542820780013692,0.0013429547603910814,-0.0019972368383924504,0.47146005010715686,-66.16645921910349,0.2336925352410275,0.08140903739925745,simulated_marketable_proxy_not_acceptance,Absorption and exhaustion reversal,priority,partial_missing_required_features,Can only label absorption-like proxies; top-five market-by-price cannot prove iceberg/participant identity.
