strategy_id,execution_profile,fill_model,queue_position_bucket,orders,trade_dates,mean_fill_ratio,submitted_notional_inr,filled_notional_inr,unfilled_notional_inr,filled_net_pnl_inr,filled_cost_inr,risk_adjusted_net_pnl_inr,worst_daily_filled_net_pnl_inr,worst_daily_risk_adjusted_net_pnl_inr,tail_loss_1pct_filled_pnl_inr,max_intraday_drawdown_inr,max_abs_position_units,position_limit_breach_rows,daily_loss_limit_breach_rows,daily_halt_rows,risk_evidence_scope,not_acceptance_grade,risk_limits,name,role,support_level,caveat
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,166760,63,0.9911681458383305,16676000000.0,16528720000.0,147280000.0,-130417364.25463933,1480627.9026863738,-4827825.991978167,-7353266.213132397,-79837.07014425717,-8147.206959706952,-7356962.482045282,1813.0,20801,158825,159044,full_run_fill_adjusted_proxy_all_simulated_trades,True,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S01,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,166760,63,0.7235044375149916,16676000000.0,12065160000.0,4610840000.0,-93942067.76657824,1062895.159345526,-4785056.535199841,-5506500.535866025,-79039.08927158795,-5749.40683879972,-5517721.861533961,1359.75,11006,155806,156066,full_run_fill_adjusted_proxy_all_simulated_trades,True,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S01,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,166760,63,0.40584072919165276,16676000000.0,6767800000.0,9908200000.0,-50859881.83413188,570073.7815888207,-4749277.210633269,-3303900.321519615,-78412.28114796088,-3173.585520173721,-3310633.1169203767,815.85,1240,143536,144061,full_run_fill_adjusted_proxy_all_simulated_trades,True,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S01,retail_marketable_default,optimistic_marketable,front_or_marketable,160471,63,0.9914778371169869,16047100000.0,15910344000.0,136756000.0,102922887.7575757,16297092.557636345,103082019.75898911,-271886.3581921081,-76395.41589344162,-6648.714637233697,-313392.869061891,1660.0,18511,1969,3554,full_run_fill_adjusted_proxy_all_simulated_trades,True,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S01,retail_marketable_default,neutral_partial,middle_queue_proxy,160471,63,0.7238180730474665,16047100000.0,11615181000.0,4431919000.0,75799978.87000057,11874397.25545808,75874164.00203939,-149667.5833406705,-75482.45130186102,-4825.387088241834,-181225.6414538959,1245.0,9576,1156,1156,full_run_fill_adjusted_proxy_all_simulated_trades,True,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S01,retail_marketable_default,pessimistic_partial,back_queue_proxy,160471,63,0.40585058982619926,16047100000.0,6512725000.0,9534375000.0,43478551.17717756,6623845.367269872,43478551.17717756,-10713.540330401736,-10713.540330401736,-2740.8925357348658,-34952.68319012191,747.0,999,0,0,full_run_fill_adjusted_proxy_all_simulated_trades,True,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S01,stressed_retail,optimistic_marketable,front_or_marketable,158070,63,0.9923146074523944,15807000000.0,15685517000.0,121483000.0,-17604521.609170258,19396379.567244243,9651903.502901178,-4384935.429997104,-79882.11173517011,-6295.444545242256,-4383531.492633989,1578.0,18122,75302,79915,full_run_fill_adjusted_proxy_all_simulated_trades,True,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S01,stressed_retail,neutral_partial,middle_queue_proxy,158070,63,0.7262910735749986,15807000000.0,11480483000.0,4326517000.0,-12471617.279123502,14175304.84229816,6893909.548272318,-3286184.4736584635,-78550.3240997377,-4541.440236519823,-3285297.776376496,1183.5,9469,69770,71717,full_run_fill_adjusted_proxy_all_simulated_trades,True,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S01,stressed_retail,pessimistic_partial,back_queue_proxy,158070,63,0.40994116530650987,15807000000.0,6479940000.0,9327060000.0,-6427337.644816929,7969768.5538827805,3270992.4241179596,-1968164.0876239333,-76825.01073515097,-2632.9709451993886,-1967868.5218632775,710.1,1027,58907,59325,full_run_fill_adjusted_proxy_all_simulated_trades,True,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Momentum/breakout filtered by MLOFI,priority,runnable_proxy,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S02,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,907352,63,0.9901035320360788,90735200000.0,89837242000.0,897958000.0,-26417760.330549818,18337278.758097105,-3715420.5352932615,-1641322.0552445753,-78299.47437626007,-6844.937404185436,-1683630.1094399157,393.92,0,591694,701205,full_run_fill_adjusted_proxy_all_simulated_trades,True,"{""daily_loss_warn_inr"": -75000.0, ""drawdown_warn_inr"": -100000.0, ""max_abs_signal_position_units"": 500.0, ""tail_loss_quantile"": 0.01}",Pure multi-level OFI directional model,priority,runnable_proxy,Current proxy can compare static imbalance and mlofi_qty at 5-minute event spacing only.
