candidate_id,family_id,direction_rule,intensity_quantile,event_intensity_threshold,abs_bar_return_quantile,abs_bar_return_threshold_bps,requires_shock_bar,train_trades,train_symbols,train_net_pnl_inr,train_gross_pnl_inr,train_cost_pnl_drag_inr,train_precision_cost_clear,train_positive_months,train_months,train_cost_drag_to_abs_gross_ratio,train_max_month_contribution_abs,test_trades,test_symbols,test_net_pnl_inr,test_gross_pnl_inr,test_cost_pnl_drag_inr,test_precision_cost_clear,test_positive_months,test_months,test_cost_drag_to_abs_gross_ratio,test_max_month_contribution_abs,train_pass,test_pass,phase87_candidate_pass
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_975,P86_SHOCK_INTENSITY_REVERSAL,side = -sign(bar_return),0.99,197.3,0.975,213.41842443330265,True,264,31,-297783.9093195802,-254918.04957485496,42865.859744725225,0.2840909090909091,2,5,0.16815545159009213,0.6646197855265864,130,25,61590.7593547854,82158.63469419781,20567.875339412407,0.7,4,5,0.25034344127026914,1.0295881906290902,False,False,False
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_95_M0_975,P86_INTENSITY_MOMENTUM_CONTINUATION,side = sign(bar_return),0.95,182.6,0.975,213.41842443330265,False,8,2,-3049.284486363328,-1900.5871541101337,1148.697332253194,0.0,0,1,0.604390769330976,0.9999999999999999,69,14,46969.28353073316,57012.53834042363,10043.254809690452,0.7246376811594203,1,2,0.17615870301585007,1.0912915001876276,False,False,False
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_99,P86_SHOCK_INTENSITY_REVERSAL,side = -sign(bar_return),0.99,197.3,0.99,276.16159960665465,True,161,26,-199791.57525035107,-173540.53952534476,26251.035725006303,0.2608695652173913,1,5,0.1512674548368133,0.49575382771305215,93,24,41664.004103807194,56397.27850212502,14733.274398317826,0.6881720430107527,3,5,0.2612408752624949,1.3467038966536162,False,False,False
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_95_M0_99,P86_INTENSITY_MOMENTUM_CONTINUATION,side = sign(bar_return),0.95,182.6,0.99,276.16159960665465,False,0,0,0.0,0.0,0.0,0.0,0,0,,,39,13,41130.172123509,46785.545887968,5655.373764459,0.9230769230769231,2,2,0.12087865294980799,0.9888344317667959,False,False,False
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_975_M0_99,P86_INTENSITY_MOMENTUM_CONTINUATION,side = sign(bar_return),0.975,190.1,0.99,276.16159960665465,False,0,0,0.0,0.0,0.0,0.0,0,0,,,33,13,35181.51676386202,39958.895185215726,4777.378421353708,0.9090909090909091,1,1,0.11955732007128356,1.0,False,False,False
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_975_M0_975,P86_INTENSITY_MOMENTUM_CONTINUATION,side = sign(bar_return),0.975,190.1,0.975,213.41842443330265,False,0,0,0.0,0.0,0.0,0.0,0,0,,,39,13,34576.44034801373,40212.684371114476,5636.244023100751,0.8205128205128205,1,2,0.14016085002147657,1.0548097584750489,False,False,False
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_99_M0_975,P86_INTENSITY_MOMENTUM_CONTINUATION,side = sign(bar_return),0.99,197.3,0.975,213.41842443330265,False,0,0,0.0,0.0,0.0,0.0,0,0,,,17,7,17378.75032125921,19941.649794330828,2562.8994730716204,0.8235294117647058,1,1,0.12851993187646,1.0,False,False,False
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_99_M0_99,P86_INTENSITY_MOMENTUM_CONTINUATION,side = sign(bar_return),0.99,197.3,0.99,276.16159960665465,False,0,0,0.0,0.0,0.0,0.0,0,0,,,15,6,16088.700392705929,18350.298556584286,2261.598163878357,0.8,1,1,0.1232458511181482,1.0000000000000002,False,False,False
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_975,P86_SHOCK_INTENSITY_REVERSAL,side = -sign(bar_return),0.975,190.1,0.975,213.41842443330265,True,609,32,-460541.4580520841,-360249.3359805215,100292.12207156244,0.3563218390804598,2,5,0.2783964106376179,0.6241816081821248,394,31,11487.822713846064,73971.24830770915,62483.425593863096,0.5583756345177665,3,5,0.8446988123539777,12.80474893445015,False,False,False
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_99,P86_SHOCK_INTENSITY_REVERSAL,side = -sign(bar_return),0.975,190.1,0.99,276.16159960665465,True,394,31,-327602.8107629485,-262757.9401675129,64844.870595435605,0.350253807106599,1,5,0.2467855797396487,0.668048328451928,291,30,-5772.704075169328,40524.617873275376,46297.3219484447,0.5326460481099656,2,5,1.14244931545613,23.282813800846515,False,False,False
