candidate_id,family_id,direction_rule,intensity_quantile,event_intensity_threshold,abs_bar_return_quantile,abs_bar_return_threshold_bps,requires_shock_bar
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_99_M0_99,P86_INTENSITY_MOMENTUM_CONTINUATION,side = sign(bar_return),0.99,197.3,0.99,276.16159960665465,False
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_99_M0_975,P86_INTENSITY_MOMENTUM_CONTINUATION,side = sign(bar_return),0.99,197.3,0.975,213.41842443330265,False
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_975_M0_99,P86_INTENSITY_MOMENTUM_CONTINUATION,side = sign(bar_return),0.975,190.1,0.99,276.16159960665465,False
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_975_M0_975,P86_INTENSITY_MOMENTUM_CONTINUATION,side = sign(bar_return),0.975,190.1,0.975,213.41842443330265,False
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_95_M0_99,P86_INTENSITY_MOMENTUM_CONTINUATION,side = sign(bar_return),0.95,182.6,0.99,276.16159960665465,False
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_95_M0_975,P86_INTENSITY_MOMENTUM_CONTINUATION,side = sign(bar_return),0.95,182.6,0.975,213.41842443330265,False
P86_INTENSITY_MEAN_REVERSION_I0_99_M0_99,P86_INTENSITY_MEAN_REVERSION,side = -sign(bar_return),0.99,197.3,0.99,276.16159960665465,False
P86_INTENSITY_MEAN_REVERSION_I0_99_M0_975,P86_INTENSITY_MEAN_REVERSION,side = -sign(bar_return),0.99,197.3,0.975,213.41842443330265,False
P86_INTENSITY_MEAN_REVERSION_I0_975_M0_99,P86_INTENSITY_MEAN_REVERSION,side = -sign(bar_return),0.975,190.1,0.99,276.16159960665465,False
P86_INTENSITY_MEAN_REVERSION_I0_975_M0_975,P86_INTENSITY_MEAN_REVERSION,side = -sign(bar_return),0.975,190.1,0.975,213.41842443330265,False
P86_INTENSITY_MEAN_REVERSION_I0_95_M0_99,P86_INTENSITY_MEAN_REVERSION,side = -sign(bar_return),0.95,182.6,0.99,276.16159960665465,False
P86_INTENSITY_MEAN_REVERSION_I0_95_M0_975,P86_INTENSITY_MEAN_REVERSION,side = -sign(bar_return),0.95,182.6,0.975,213.41842443330265,False
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_99,P86_SHOCK_INTENSITY_REVERSAL,side = -sign(bar_return),0.99,197.3,0.99,276.16159960665465,True
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_975,P86_SHOCK_INTENSITY_REVERSAL,side = -sign(bar_return),0.99,197.3,0.975,213.41842443330265,True
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_99,P86_SHOCK_INTENSITY_REVERSAL,side = -sign(bar_return),0.975,190.1,0.99,276.16159960665465,True
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_975,P86_SHOCK_INTENSITY_REVERSAL,side = -sign(bar_return),0.975,190.1,0.975,213.41842443330265,True
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_99,P86_SHOCK_INTENSITY_REVERSAL,side = -sign(bar_return),0.95,182.6,0.99,276.16159960665465,True
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_975,P86_SHOCK_INTENSITY_REVERSAL,side = -sign(bar_return),0.95,182.6,0.975,213.41842443330265,True
