trade_month,bar_rows,trade_dates,feed_profiles,regime_codes,symbols,coverage_bucket_rows,coverage_pass_fraction,median_symbols_present,market_shock_buckets,symbol_shock_symbol_bars
2026-01,12671,11,5,11,32,396,1.0,32.0,72,792
2026-02,13822,12,5,12,32,432,1.0,32.0,108,1332
2026-03,13824,12,5,12,32,432,1.0,32.0,72,648
2026-04,12671,11,5,11,32,396,1.0,32.0,72,864
2026-05,13854,12,5,12,32,433,1.0,32.0,109,361
2026-06,14976,13,5,13,32,468,1.0,32.0,180,1584
2026-07,13824,12,5,12,32,432,1.0,32.0,36,648
2026-08,14976,13,5,13,32,468,1.0,32.0,72,1404
2026-09,12671,11,5,11,32,396,1.0,32.0,108,1260
2026-10,12671,11,5,11,32,396,1.0,32.0,0,252
2026-11,16126,14,5,14,32,504,1.0,32.0,108,1404
2026-12,8064,7,5,7,32,252,1.0,32.0,72,576
