variant_id,parent_strategy_id,threshold_quantile,spread_limit_quantile,spread_tick_limit,liquidity_filter,min_liquidity_score,variant_scope
S01_q50_sp050_liqall,S01,0.5,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S01_q50_sp050_liqmed,S01,0.5,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S01_q50_sp080_liqall,S01,0.5,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S01_q50_sp080_liqmed,S01,0.5,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S01_q50_sp100_liqall,S01,0.5,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S01_q50_sp100_liqmed,S01,0.5,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S01_q70_sp050_liqall,S01,0.7,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S01_q70_sp050_liqmed,S01,0.7,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S01_q70_sp080_liqall,S01,0.7,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S01_q70_sp080_liqmed,S01,0.7,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S01_q70_sp100_liqall,S01,0.7,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S01_q70_sp100_liqmed,S01,0.7,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S01_q85_sp050_liqall,S01,0.85,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S01_q85_sp050_liqmed,S01,0.85,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S01_q85_sp080_liqall,S01,0.85,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S01_q85_sp080_liqmed,S01,0.85,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S01_q85_sp100_liqall,S01,0.85,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S01_q85_sp100_liqmed,S01,0.85,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S01_q95_sp050_liqall,S01,0.95,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S01_q95_sp050_liqmed,S01,0.95,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S01_q95_sp080_liqall,S01,0.95,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S01_q95_sp080_liqmed,S01,0.95,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S01_q95_sp100_liqall,S01,0.95,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S01_q95_sp100_liqmed,S01,0.95,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S02_q50_sp050_liqall,S02,0.5,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S02_q50_sp050_liqmed,S02,0.5,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S02_q50_sp080_liqall,S02,0.5,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S02_q50_sp080_liqmed,S02,0.5,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S02_q50_sp100_liqall,S02,0.5,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S02_q50_sp100_liqmed,S02,0.5,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S02_q70_sp050_liqall,S02,0.7,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S02_q70_sp050_liqmed,S02,0.7,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S02_q70_sp080_liqall,S02,0.7,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S02_q70_sp080_liqmed,S02,0.7,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S02_q70_sp100_liqall,S02,0.7,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S02_q70_sp100_liqmed,S02,0.7,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S02_q85_sp050_liqall,S02,0.85,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S02_q85_sp050_liqmed,S02,0.85,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S02_q85_sp080_liqall,S02,0.85,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S02_q85_sp080_liqmed,S02,0.85,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S02_q85_sp100_liqall,S02,0.85,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S02_q85_sp100_liqmed,S02,0.85,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S02_q95_sp050_liqall,S02,0.95,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S02_q95_sp050_liqmed,S02,0.95,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S02_q95_sp080_liqall,S02,0.95,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S02_q95_sp080_liqmed,S02,0.95,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S02_q95_sp100_liqall,S02,0.95,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S02_q95_sp100_liqmed,S02,0.95,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S05_q50_sp050_liqall,S05,0.5,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S05_q50_sp050_liqmed,S05,0.5,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S05_q50_sp080_liqall,S05,0.5,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S05_q50_sp080_liqmed,S05,0.5,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S05_q50_sp100_liqall,S05,0.5,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S05_q50_sp100_liqmed,S05,0.5,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S05_q70_sp050_liqall,S05,0.7,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S05_q70_sp050_liqmed,S05,0.7,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S05_q70_sp080_liqall,S05,0.7,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S05_q70_sp080_liqmed,S05,0.7,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S05_q70_sp100_liqall,S05,0.7,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S05_q70_sp100_liqmed,S05,0.7,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S05_q85_sp050_liqall,S05,0.85,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S05_q85_sp050_liqmed,S05,0.85,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S05_q85_sp080_liqall,S05,0.85,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S05_q85_sp080_liqmed,S05,0.85,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S05_q85_sp100_liqall,S05,0.85,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S05_q85_sp100_liqmed,S05,0.85,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S05_q95_sp050_liqall,S05,0.95,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S05_q95_sp050_liqmed,S05,0.95,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S05_q95_sp080_liqall,S05,0.95,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S05_q95_sp080_liqmed,S05,0.95,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S05_q95_sp100_liqall,S05,0.95,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S05_q95_sp100_liqmed,S05,0.95,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S07_q50_sp050_liqall,S07,0.5,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S07_q50_sp050_liqmed,S07,0.5,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S07_q50_sp080_liqall,S07,0.5,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S07_q50_sp080_liqmed,S07,0.5,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S07_q50_sp100_liqall,S07,0.5,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S07_q50_sp100_liqmed,S07,0.5,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S07_q70_sp050_liqall,S07,0.7,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S07_q70_sp050_liqmed,S07,0.7,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S07_q70_sp080_liqall,S07,0.7,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S07_q70_sp080_liqmed,S07,0.7,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S07_q70_sp100_liqall,S07,0.7,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S07_q70_sp100_liqmed,S07,0.7,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S07_q85_sp050_liqall,S07,0.85,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S07_q85_sp050_liqmed,S07,0.85,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S07_q85_sp080_liqall,S07,0.85,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S07_q85_sp080_liqmed,S07,0.85,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S07_q85_sp100_liqall,S07,0.85,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S07_q85_sp100_liqmed,S07,0.85,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S07_q95_sp050_liqall,S07,0.95,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S07_q95_sp050_liqmed,S07,0.95,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S07_q95_sp080_liqall,S07,0.95,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S07_q95_sp080_liqmed,S07,0.95,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S07_q95_sp100_liqall,S07,0.95,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S07_q95_sp100_liqmed,S07,0.95,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S09_q50_sp050_liqall,S09,0.5,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S09_q50_sp050_liqmed,S09,0.5,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S09_q50_sp080_liqall,S09,0.5,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S09_q50_sp080_liqmed,S09,0.5,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S09_q50_sp100_liqall,S09,0.5,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S09_q50_sp100_liqmed,S09,0.5,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S09_q70_sp050_liqall,S09,0.7,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S09_q70_sp050_liqmed,S09,0.7,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S09_q70_sp080_liqall,S09,0.7,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S09_q70_sp080_liqmed,S09,0.7,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S09_q70_sp100_liqall,S09,0.7,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S09_q70_sp100_liqmed,S09,0.7,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S09_q85_sp050_liqall,S09,0.85,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S09_q85_sp050_liqmed,S09,0.85,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S09_q85_sp080_liqall,S09,0.85,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S09_q85_sp080_liqmed,S09,0.85,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S09_q85_sp100_liqall,S09,0.85,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S09_q85_sp100_liqmed,S09,0.85,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S09_q95_sp050_liqall,S09,0.95,0.5,4.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S09_q95_sp050_liqmed,S09,0.95,0.5,4.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S09_q95_sp080_liqall,S09,0.95,0.8,10.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S09_q95_sp080_liqmed,S09,0.95,0.8,10.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
S09_q95_sp100_liqall,S09,0.95,1.0,35.0,none,0.0,phase26_parameter_salvage_scan_not_acceptance
S09_q95_sp100_liqmed,S09,0.95,1.0,35.0,above_median,0.2596850965053283,phase26_parameter_salvage_scan_not_acceptance
