model_id,model_type,execution_profile,trade_dates,worst_daily_net_pnl_inr,tail_loss_1pct_trade_pnl_inr,max_intraday_drawdown_inr,daily_loss_breach_days,drawdown_breach_days,risk_status
S01_q50_sp050_liqall,strategy_variant,retail_marketable_default,7,-27461.619161135113,-659.7421379392483,-28163.73204630927,0,0,risk_not_breached_proxy
S01_q50_sp050_liqall,strategy_variant,stressed_retail,7,-31282.701799181632,-567.10654171064,-31221.078741458594,0,0,risk_not_breached_proxy
S01_q50_sp050_liqall,strategy_variant,zero_latency_spread_only_control,7,-13516.169962849463,-786.6288855550231,-17022.85943285207,0,0,risk_not_breached_proxy
S01_q50_sp050_liqmed,strategy_variant,retail_marketable_default,7,-27461.619161135113,-659.7421379392483,-28163.73204630927,0,0,risk_not_breached_proxy
S01_q50_sp050_liqmed,strategy_variant,stressed_retail,7,-31282.701799181632,-567.10654171064,-31221.078741458594,0,0,risk_not_breached_proxy
S01_q50_sp050_liqmed,strategy_variant,zero_latency_spread_only_control,7,-13516.169962849463,-764.5217363811556,-17022.85943285207,0,0,risk_not_breached_proxy
S01_q50_sp080_liqall,strategy_variant,retail_marketable_default,8,-34450.18975703174,-951.6384666618793,-35250.425731725954,0,0,risk_not_breached_proxy
S01_q50_sp080_liqall,strategy_variant,stressed_retail,8,-46372.87878827722,-700.5863105213355,-46011.1433075935,0,0,risk_not_breached_proxy
S01_q50_sp080_liqall,strategy_variant,zero_latency_spread_only_control,8,-49590.217613608154,-963.782366080399,-50656.578227970116,0,0,risk_not_breached_proxy
S01_q50_sp080_liqmed,strategy_variant,retail_marketable_default,8,-27461.619161135113,-699.4793604717373,-28163.73204630927,0,0,risk_not_breached_proxy
S01_q50_sp080_liqmed,strategy_variant,stressed_retail,8,-31282.701799181632,-621.3977098730841,-31221.078741458594,0,0,risk_not_breached_proxy
S01_q50_sp080_liqmed,strategy_variant,zero_latency_spread_only_control,8,-15626.998896717489,-848.347168232311,-17022.85943285207,0,0,risk_not_breached_proxy
S01_q50_sp100_liqall,strategy_variant,retail_marketable_default,8,-60555.172279478684,-949.9667516533854,-61431.23401044568,0,0,risk_not_breached_proxy
S01_q50_sp100_liqall,strategy_variant,stressed_retail,8,-69817.92260105892,-700.4820344265755,-69456.1871203752,0,0,risk_not_breached_proxy
S01_q50_sp100_liqall,strategy_variant,zero_latency_spread_only_control,8,-67514.04510490868,-956.6305131692707,-68137.05431727642,0,0,risk_not_breached_proxy
S01_q50_sp100_liqmed,strategy_variant,retail_marketable_default,8,-27461.619161135113,-699.4793604717373,-28163.73204630927,0,0,risk_not_breached_proxy
S01_q50_sp100_liqmed,strategy_variant,stressed_retail,8,-31282.701799181632,-621.3977098730841,-31221.078741458594,0,0,risk_not_breached_proxy
S01_q50_sp100_liqmed,strategy_variant,zero_latency_spread_only_control,8,-15626.998896717489,-848.347168232311,-17022.85943285207,0,0,risk_not_breached_proxy
S01_q70_sp050_liqall,strategy_variant,retail_marketable_default,7,-18382.008882161255,-597.07824672835,-19110.69015662469,0,0,risk_not_breached_proxy
S01_q70_sp050_liqall,strategy_variant,stressed_retail,7,-21972.27793430663,-567.10654171064,-21910.65487658359,0,0,risk_not_breached_proxy
S01_q70_sp050_liqall,strategy_variant,zero_latency_spread_only_control,7,-7924.9919037117315,-895.8117348360158,-11197.891655295332,0,0,risk_not_breached_proxy
S01_q70_sp050_liqmed,strategy_variant,retail_marketable_default,7,-18382.008882161255,-616.4461833676,-19110.69015662469,0,0,risk_not_breached_proxy
