model_id,model_type,execution_profile,trades,symbols,scenario_days,mean_gross_return,mean_cost_return,mean_zerodha_charge_return,mean_net_return,win_rate_net,total_net_pnl_inr,market_shock_trade_fraction,disconnect_trade_fraction,acceptance_ready,replay_status,parent_strategy_id
S07_q70_sp080_liqmed,strategy_variant,zero_latency_spread_only_control,498,1,6,0.00020184582641382572,5.554582785554796e-05,0.0,0.00014629999855827775,0.4819277108433735,7285.7399282022325,0.010040160642570281,0.0,False,event_order_replay_not_acceptance,S07
S07_q70_sp100_liqmed,strategy_variant,zero_latency_spread_only_control,498,1,6,0.00020184582641382572,5.554582785554796e-05,0.0,0.00014629999855827775,0.4819277108433735,7285.7399282022325,0.010040160642570281,0.0,False,event_order_replay_not_acceptance,S07
S07_q70_sp050_liqmed,strategy_variant,zero_latency_spread_only_control,493,1,5,0.0001933957079196288,5.500420071204957e-05,0.0,0.00013839150720757924,0.4847870182555781,6822.701305333656,0.0,0.0,False,event_order_replay_not_acceptance,S07
S07_q70_sp050_liqall,strategy_variant,zero_latency_spread_only_control,898,1,5,0.0001796317156150438,5.49863533033742e-05,0.0,0.00012464536231166957,0.5100222717149221,11193.153535587928,0.0,0.0,False,event_order_replay_not_acceptance,S07
S07_q50_sp050_liqall,strategy_variant,zero_latency_spread_only_control,2682,2,5,0.00013843137787834773,4.997809338945222e-05,0.0,8.845328448889551e-05,0.517524235645041,23723.170899921774,0.0,0.0,False,event_order_replay_not_acceptance,S07
S09_q50_sp080_liqmed,strategy_variant,zero_latency_spread_only_control,1810,2,8,0.00013846313071642403,5.507250073041702e-05,0.0,8.3390629986007e-05,0.5259668508287293,15093.704027467267,0.008287292817679558,0.0,False,event_order_replay_not_acceptance,S09
S09_q50_sp100_liqmed,strategy_variant,zero_latency_spread_only_control,1810,2,8,0.00013846313071642403,5.507250073041702e-05,0.0,8.3390629986007e-05,0.5259668508287293,15093.704027467267,0.008287292817679558,0.0,False,event_order_replay_not_acceptance,S09
S09_q50_sp050_liqmed,strategy_variant,zero_latency_spread_only_control,1795,1,7,0.00013029562270827305,5.4665780206346075e-05,0.0,7.562984250192698e-05,0.5270194986072423,13575.556729095893,0.0,0.0,False,event_order_replay_not_acceptance,S09
S07_q50_sp080_liqall,strategy_variant,zero_latency_spread_only_control,3243,3,6,0.00012356833775853152,5.9107865776856825e-05,0.0,6.446047198167468e-05,0.5174221399938329,20904.5310636571,0.17298797409805736,0.0,False,event_order_replay_not_acceptance,S07
S07_q50_sp050_liqmed,strategy_variant,zero_latency_spread_only_control,1923,2,5,0.00010797944466975056,4.8019158140802e-05,0.0,5.9960286528948546e-05,0.5018200728029121,11530.363099516806,0.0,0.0,False,event_order_replay_not_acceptance,S07
S07_q50_sp080_liqmed,strategy_variant,zero_latency_spread_only_control,1943,2,6,0.00010296895123665769,4.856154562832729e-05,0.0,5.4407405608330386e-05,0.5038600102933608,10571.358909698594,0.010293360782295419,0.0,False,event_order_replay_not_acceptance,S07
S07_q50_sp100_liqmed,strategy_variant,zero_latency_spread_only_control,1943,2,6,0.00010296895123665769,4.856154562832729e-05,0.0,5.4407405608330386e-05,0.5038600102933608,10571.358909698594,0.010293360782295419,0.0,False,event_order_replay_not_acceptance,S07
S07_q70_sp080_liqall,strategy_variant,zero_latency_spread_only_control,1057,1,6,0.00010124157208835346,6.333038173380118e-05,0.0,3.791119035455229e-05,0.5137180700094608,4007.212820476176,0.15042573320719016,0.0,False,event_order_replay_not_acceptance,S07
S05_q70_sp080_liqall,strategy_variant,zero_latency_spread_only_control,1464,4,8,0.00011348891515851705,8.070799730184327e-05,0.0,3.2780917856673805e-05,0.4959016393442623,4799.126374217039,0.9221311475409836,0.0,False,event_order_replay_not_acceptance,S05
