gate_id,passed,observed_value,required_value,severity
P315_PHASE314_PRECOMMIT_COMPLETE,True,1,1,hard
P315_DENSE_FILE_INVENTORY_PRESENT,True,384,>0,hard
P315_MIN_SYNTHETIC_EVENT_ROWS,True,10,>=10,hard
P315_DISTINCT_EVENT_DATES,True,10,>=10,hard
P315_SYMBOL_COVERAGE_TARGET_MET,True,32,>=32,hard
P315_EVENT_SYMBOL_WORK_ORDER_COMPLETE,True,events=10;rows=320,all_events_x_32_symbols,hard
P315_FULL_DEPTH_POLICY_PRESERVED,True,1,1,hard
P315_DEPTH_BEYOND_L1_POLICY_PRESERVED,True,1,1,hard
P315_SYNTHETIC_EVENTS_SEPARATED_FROM_REAL_DROPZONE,True,event_sources/event_catalysts/generated,generated_not_dropzone,hard
P315_BOUNDARIES_CLOSED,True,replay=0;promotion=0;paper=0;claim=0,all_zero,hard
