contract_id,contract_value,description
thesis_id,P434_SUPERVISED_FULL_DEPTH_EVENT_RANKER_SOURCE_PRECOMMIT,Phase434 selected source precommit.
selected_source,supervised_full_depth_event_ranker,Materially new non-threshold source for Phase435.
source_row_hash,a1feccfc33856342e93122e87a0148bdafb9e1809e4f29b17bfea16f60452eaa,Hash of selected source row.
model_family,train_only_regularized_event_ranker_logistic_or_tree_baseline,Phase435 may compare simple rankers but must choose from train-only scoring.
primary_features,L1_mid_spread_volume_plus_L2_to_L5_depth_shape_imbalance_slope_pressure_replenishment,Full top-five book state remains core.
label_design,forward_3_ticks_cost_aware_net_bps_and_tradeability_label,Label must subtract pinned Zerodha cost model before ranking.
capital_policy,fixed_initial_capital_1000000_inr_order_notional_100000_inr_cost200,"Annualized return denominator is fixed capital, not unlimited capital."
selection_policy,train_only_top_k_event_budget_per_symbol_date_then_validation_execution,No validation/test threshold tuning.
controls_required,l1_only_feature_ablation_side_flip_time_shuffle_real_anchor_cross_check,Controls must be emitted by Phase435.
acceptance_floor,annualized_return_pct_ge_12_cost200_and_event_floor_ge_30_and_positive_date_fraction_ge_0p60,Profitability threshold remains the user's >12% annualized bar with breadth.
forbidden,same_threshold_family_tuning;market_maker_rescue_without_external_execution_source;promotion;paper_live;deployable_profitability_claim,Closed boundaries.
execution_results_generated_now,0,Phase434 freezes the source only.
