symbol,real_5m_bars,real_ticks_in_5m_bars,spread_ticks_median,spread_ticks_q95,nonzero_price_change_fraction,l5_imbalance_median
ADANIPORTS,77,13885,4.0000000000045475,7.000000000005912,0.974025974025974,0.15851272015655576
AXISBANK,77,18308,2.0000000000022737,3.0000000000022737,0.961038961038961,-0.05241581259150805
BAJAJ-AUTO,77,25140,6.0,8.0,0.987012987012987,0.003436426116838488
BANKBEES,76,18915,20.000000000019895,28.00000000002558,0.9736842105263158,0.16761160421396876
BHARTIARTL,77,19559,3.0000000000022737,6.0000000000045475,0.987012987012987,-0.005625665196898282
BPCL,77,10683,1.0000000000011369,3.0000000000022737,0.8831168831168831,-0.05256061120075436
BRITANNIA,77,8525,4.0,5.0,0.948051948051948,0.005714285714285714
CIPLA,77,11663,4.0000000000045475,6.000000000006821,0.961038961038961,0.4130879345603272
DRREDDY,77,12256,4.000000000002274,5.0000000000045475,0.974025974025974,0.10696874103814166
GOLDBEES,76,12980,1.000000000001421,2.0000000000017764,0.9078947368421053,-0.15762921245949152
HCLTECH,77,29265,3.0000000000045475,4.20000000000455,0.974025974025974,-0.18416030534351144
HDFCBANK,77,35958,2.0000000000022737,3.0000000000022737,0.974025974025974,-0.4401810735072214
HINDUNILVR,77,12172,4.0000000000045475,7.000000000005457,0.948051948051948,0.051737451737451735
ICICIBANK,77,26473,2.0000000000022737,3.2000000000040956,0.948051948051948,-0.25283630470016205
INFY,77,34510,2.0000000000022737,3.0000000000022737,0.987012987012987,-0.11011750025995633
ITBEES,76,11479,1.0000000000003553,2.0000000000003553,0.9210526315789473,0.5760547906797436
ITC,77,12378,1.0000000000011369,2.0000000000022737,0.8701298701298701,0.3296114457020276
JUNIORBEES,76,17440,28.00000000002842,43.875000000045475,0.9868421052631579,-0.6682861415856863
KOTAKBANK,77,14090,2.0000000000022737,3.0000000000022737,0.961038961038961,-0.08308935452082954
LT,77,19465,5.0000000000045475,9.200000000009098,0.987012987012987,0.014634146341463415
M&M,77,25698,3.0000000000045475,7.0000000000045475,0.974025974025974,-0.15485858070827788
MARUTI,77,27644,4.0,5.0,0.961038961038961,-0.04909560723514212
NESTLEIND,77,12917,4.000000000002274,6.0000000000045475,0.961038961038961,0.2702777042260587
NIFTYBEES,76,22412,4.000000000005684,8.000000000005684,0.9210526315789473,0.38671009068914985
ONGC,77,17304,4.000000000002842,7.000000000006253,0.974025974025974,0.034089958665498674
RELIANCE,77,26055,2.0000000000022737,3.0000000000022737,0.948051948051948,0.2649173572824296
SBIN,77,24727,2.0000000000022737,3.0000000000022737,0.987012987012987,0.047067942448377226
SUNPHARMA,77,14609,3.0000000000045475,6.200000000006824,0.948051948051948,-0.16025641025641027
TCS,77,36466,4.0000000000045475,5.0000000000045475,0.974025974025974,-0.03887501287465238
TECHM,77,19123,5.0000000000045475,6.000000000004775,0.974025974025974,-0.06644578972085871
ULTRACEMCO,77,8385,3.0,5.0,0.948051948051948,0.2598324958123953
WIPRO,77,20333,4.000000000002842,5.000000000005684,0.961038961038961,-0.05933375705686619
