level,check_name,value,threshold_warn,threshold_fail,status,evidence,validation_table,metric,symbols_compared,median_relative_or_absolute_error,real_5m_bar_symbols,groups,median_value,rows,spearman_corr,symbols,intervention,calendar_field,min_value,max_value,has_variation,expected_result
L1_structural,phase6_crossed_l1_rows,0.0,1.0,1.0,pass,Phase 6/DuckDB validation has 0 crossed L1 rows.,level1_structural,,,,,,,,,,,,,,,
L1_structural,phase9_negative_spread_rows,0.0,1.0,1.0,pass,Tier C spread_ticks should be non-negative.,level1_structural,,,,,,,,,,,,,,,
L1_structural,phase9_nonpositive_mid_price_rows,0.0,1.0,1.0,pass,Tier C mid_price should be positive.,level1_structural,,,,,,,,,,,,,,,
L1_structural,phase9_future_label_null_fraction,0.013385103229952887,0.02,0.05,pass,Expected terminal rows per symbol/profile/day have null forward labels.,level1_structural,,,,,,,,,,,,,,,
L1_structural,phase6_summary_groups,170.0,1.0,0.0,pass,Phase 6 L2 book summary groups exist.,level1_structural,,,,,,,,,,,,,,,
L2_marginal,,,,,pass,Real one-day symbol calibration versus current Phase 9 synthetic feature aggregates.,level2_marginal,spread_ticks_median,32.0,1.1368683772148678e-12,32.0,,,,,,,,,,,
L2_marginal,,,,,pass,Real one-day symbol calibration versus current Phase 9 synthetic feature aggregates.,level2_marginal,spread_ticks_q95,32.0,1.0737090229252167e-12,32.0,,,,,,,,,,,
L2_marginal,,,,,pass,Horizon-matched 5-minute real-derived bars versus current Phase 9 5-minute synthetic feature aggregates.,level2_marginal,nonzero_price_change_fraction,32.0,0.010953956711197105,32.0,,,,,,,,,,,
L2_marginal,,,,,pass,Real one-day symbol calibration versus current Phase 9 synthetic feature aggregates.,level2_marginal,l5_imbalance_median,32.0,0.48633189256104936,32.0,,,,,,,,,,,
L3_temporal,,,,,pass,Autocorrelation measured over synthetic profile/day/symbol feature sequences.,level3_temporal,return_autocorr_lag1,,,,10080.0,-0.00036482204040824294,,,,,,,,,
L3_temporal,,,,,pass,Autocorrelation measured over synthetic profile/day/symbol feature sequences.,level3_temporal,abs_return_autocorr_lag1,,,,10080.0,-0.04219803283128257,,,,,,,,,
L3_temporal,,,,,pass,Autocorrelation measured over synthetic profile/day/symbol feature sequences.,level3_temporal,mlofi_autocorr_lag1,,,,10080.0,0.0037449214749374687,,,,,,,,,
L3_temporal,,,,,pass,Autocorrelation measured over synthetic profile/day/symbol feature sequences.,level3_temporal,spread_autocorr_lag1,,,,6765.0,-0.4983193229757477,,,,,,,,,
L4_cross_sectional,,0.9140890224826543,,,pass,Pairwise symbol correlation across synthetic daily returns.,level4_cross_sectional,pairwise_daily_return_correlation_median,,,,,,,,,,,,,,
L4_cross_sectional,,0.9684557856553077,,,pass,Upper-tail synthetic cross-sectional correlation.,level4_cross_sectional,pairwise_daily_return_correlation_q95,,,,,,,,,,,,,,
L5_conditional,,,,,pass,"Synthetic conditional relationship diagnostic; sign is descriptive, not acceptance.",level5_conditional,future_return_vs_mlofi,,,,,,2228988.0,-0.027152867847825685,,,,,,,
L5_conditional,,,,,pass,"Synthetic conditional relationship diagnostic; sign is descriptive, not acceptance.",level5_conditional,spread_vs_local_volatility,,,,,,2198748.0,0.18022614926640323,,,,,,,
L5_conditional,,,,,pass,"Synthetic conditional relationship diagnostic; sign is descriptive, not acceptance.",level5_conditional,event_intensity_vs_local_volatility,,,,,,2198748.0,0.6252725983451691,,,,,,,
L5_conditional,,,,,pass,"Synthetic conditional relationship diagnostic; sign is descriptive, not acceptance.",level5_conditional,future_abs_return_vs_spread,,,,,,2228988.0,0.11265701283289571,,,,,,,
L6_strategy_neutral_realism,,1.6422071180478104,,,pass,Simple real-vs-synthetic symbol aggregate separability proxy; not a trained discriminator.,level6_discriminator_proxy,simple_symbol_feature_separability_score,,,,,,,,32.0,,,,,,
L7_counterfactual,,,,,pass,,level7_counterfactual,,,,,,1.35,,,,increase_volatility,vol_multiplier,0.65,2.2,True,higher values should correspond to wider return distribution
L7_counterfactual,,,,,pass,,level7_counterfactual,,,,,,0.95,,,,reduce_liquidity,depth_multiplier,0.5,1.05,True,lower values should correspond to lower depth
L7_counterfactual,,,,,pass,,level7_counterfactual,,,,,,1.1,,,,widen_spreads,spread_multiplier,0.85,2.0,True,higher values should correspond to wider spreads
L7_counterfactual,,,,,pass,,level7_counterfactual,,,,,,1.15,,,,increase_activity,event_rate_multiplier,0.8,1.55,True,higher values should correspond to more activity
