strategy_id,realism_requirement,required_threshold,observed_value,current_evidence_status,proxy_evidence_available,acceptance_requirement_met,blocking_gap,evidence_source,required_next_evidence,acceptance_eligible_now
S01,artifact_exploitation_rejection,strategy does not exploit generator artifacts or synthetic-only templates,not available in current Phase 14 evidence,missing_artifact_exploitation_rejection,False,False,No negative-control or artifact-exploitation rerun exists for realism acceptance.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run artifact/control templates and reject strategies whose edge disappears or depends on generator-specific artifacts.,False
S01,feed_imperfection_coverage,holdout evidence includes disconnect and stressed-retail feed profiles,feed_profiles=disconnect_scenario;good_retail;ideal_research;normal_retail;stressed_retail,feed_imperfection_proxy_available_not_acceptance,True,False,"Feed imperfections exist as generated profiles, not acceptance-grade strategy reruns.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Rerun strategies on disconnect/stressed feed profiles with full lifecycle execution and verify performance does not depend on ideal feed assumptions.,False
S01,holdout_generator_coverage,structurally ready holdout-generator profiles exist for development and holdout quarters,15/15 holdout proxy rows; structural_ready=15; quarters=Q-A;Q-B;Q-C,holdout_generator_proxy_available_not_acceptance,True,False,"Holdout-generator coverage exists as structural proxy evidence, but strategies have not been rerun as acceptance tests.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run every candidate strategy on predeclared holdout-generator profiles and compare against development/calibration results.,False
S01,holdout_strategy_rerun,strategy rerun on holdout-generator configurations with no development leakage,not available in current Phase 14 evidence,missing_holdout_strategy_rerun,False,False,"Current Phase 14 holdout rows are generator/profile diagnostics, not strategy P&L or signal reruns.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run Phase 11/12/13 strategy evaluation on Q-B/Q-C holdout profiles and preserve leakage checks.,False
S01,pessimistic_execution_realism,holdout strategy rerun uses stressed retail latency/slippage/fill assumptions,not available in current Phase 14 evidence,missing_pessimistic_execution_holdout_rerun,False,False,Strategies have not been rerun on holdout generator outputs with pessimistic execution controls.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,"Evaluate holdout-generator strategy results with stressed retail, partial-fill and risk-control assumptions.",False
S01,real_multi_day_realism_validation,realism and strategy behavior validated on multiple real market days,not available in current one-day/proxy evidence,missing_multi_day_real_realism_validation,False,False,Real calibration uses a one-day sample and no multi-day strategy validation.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,"Collect and validate multiple real market days, then compare strategy behavior against synthetic and holdout-generator results.",False
S01,strategy_support_ready,strategy is runnable in the current feature and execution product,support_level=runnable_proxy,runnable_proxy_not_acceptance,True,False,Partial or unsupported strategies cannot pass realism until required features/modules exist.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Implement missing strategy features/modules or mark the strategy as research-only before realism acceptance.,False
S01,synthetic_quality_gate_clear,no failing or warning quality checks before strategy realism acceptance,pass=24; warn=0; fail=0; triage_rows=0,quality_proxy_clear_not_acceptance,True,False,"Quality checks are current synthetic diagnostics over one-day calibration and generated scenarios, not strategy rerun evidence.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Keep quality gates green after any generator changes and rerun strategy realism checks on the accepted generator version.,False
S02,artifact_exploitation_rejection,strategy does not exploit generator artifacts or synthetic-only templates,not available in current Phase 14 evidence,missing_artifact_exploitation_rejection,False,False,No negative-control or artifact-exploitation rerun exists for realism acceptance.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run artifact/control templates and reject strategies whose edge disappears or depends on generator-specific artifacts.,False
S02,feed_imperfection_coverage,holdout evidence includes disconnect and stressed-retail feed profiles,feed_profiles=disconnect_scenario;good_retail;ideal_research;normal_retail;stressed_retail,feed_imperfection_proxy_available_not_acceptance,True,False,"Feed imperfections exist as generated profiles, not acceptance-grade strategy reruns.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Rerun strategies on disconnect/stressed feed profiles with full lifecycle execution and verify performance does not depend on ideal feed assumptions.,False
S02,holdout_generator_coverage,structurally ready holdout-generator profiles exist for development and holdout quarters,15/15 holdout proxy rows; structural_ready=15; quarters=Q-A;Q-B;Q-C,holdout_generator_proxy_available_not_acceptance,True,False,"Holdout-generator coverage exists as structural proxy evidence, but strategies have not been rerun as acceptance tests.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run every candidate strategy on predeclared holdout-generator profiles and compare against development/calibration results.,False
S02,holdout_strategy_rerun,strategy rerun on holdout-generator configurations with no development leakage,not available in current Phase 14 evidence,missing_holdout_strategy_rerun,False,False,"Current Phase 14 holdout rows are generator/profile diagnostics, not strategy P&L or signal reruns.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run Phase 11/12/13 strategy evaluation on Q-B/Q-C holdout profiles and preserve leakage checks.,False
S02,pessimistic_execution_realism,holdout strategy rerun uses stressed retail latency/slippage/fill assumptions,not available in current Phase 14 evidence,missing_pessimistic_execution_holdout_rerun,False,False,Strategies have not been rerun on holdout generator outputs with pessimistic execution controls.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,"Evaluate holdout-generator strategy results with stressed retail, partial-fill and risk-control assumptions.",False
S02,real_multi_day_realism_validation,realism and strategy behavior validated on multiple real market days,not available in current one-day/proxy evidence,missing_multi_day_real_realism_validation,False,False,Real calibration uses a one-day sample and no multi-day strategy validation.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,"Collect and validate multiple real market days, then compare strategy behavior against synthetic and holdout-generator results.",False
S02,strategy_support_ready,strategy is runnable in the current feature and execution product,support_level=runnable_proxy,runnable_proxy_not_acceptance,True,False,Partial or unsupported strategies cannot pass realism until required features/modules exist.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Implement missing strategy features/modules or mark the strategy as research-only before realism acceptance.,False
S02,synthetic_quality_gate_clear,no failing or warning quality checks before strategy realism acceptance,pass=24; warn=0; fail=0; triage_rows=0,quality_proxy_clear_not_acceptance,True,False,"Quality checks are current synthetic diagnostics over one-day calibration and generated scenarios, not strategy rerun evidence.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Keep quality gates green after any generator changes and rerun strategy realism checks on the accepted generator version.,False
S03,artifact_exploitation_rejection,strategy does not exploit generator artifacts or synthetic-only templates,not available in current Phase 14 evidence,missing_artifact_exploitation_rejection,False,False,No negative-control or artifact-exploitation rerun exists for realism acceptance.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run artifact/control templates and reject strategies whose edge disappears or depends on generator-specific artifacts.,False
S03,feed_imperfection_coverage,holdout evidence includes disconnect and stressed-retail feed profiles,feed_profiles=disconnect_scenario;good_retail;ideal_research;normal_retail;stressed_retail,feed_imperfection_proxy_available_not_acceptance,True,False,"Feed imperfections exist as generated profiles, not acceptance-grade strategy reruns.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Rerun strategies on disconnect/stressed feed profiles with full lifecycle execution and verify performance does not depend on ideal feed assumptions.,False
S03,holdout_generator_coverage,structurally ready holdout-generator profiles exist for development and holdout quarters,15/15 holdout proxy rows; structural_ready=15; quarters=Q-A;Q-B;Q-C,holdout_generator_proxy_available_not_acceptance,True,False,"Holdout-generator coverage exists as structural proxy evidence, but strategies have not been rerun as acceptance tests.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run every candidate strategy on predeclared holdout-generator profiles and compare against development/calibration results.,False
S03,holdout_strategy_rerun,strategy rerun on holdout-generator configurations with no development leakage,not available in current Phase 14 evidence,missing_holdout_strategy_rerun,False,False,"Current Phase 14 holdout rows are generator/profile diagnostics, not strategy P&L or signal reruns.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run Phase 11/12/13 strategy evaluation on Q-B/Q-C holdout profiles and preserve leakage checks.,False
S03,pessimistic_execution_realism,holdout strategy rerun uses stressed retail latency/slippage/fill assumptions,not available in current Phase 14 evidence,missing_pessimistic_execution_holdout_rerun,False,False,Strategies have not been rerun on holdout generator outputs with pessimistic execution controls.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,"Evaluate holdout-generator strategy results with stressed retail, partial-fill and risk-control assumptions.",False
S03,real_multi_day_realism_validation,realism and strategy behavior validated on multiple real market days,not available in current one-day/proxy evidence,missing_multi_day_real_realism_validation,False,False,Real calibration uses a one-day sample and no multi-day strategy validation.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,"Collect and validate multiple real market days, then compare strategy behavior against synthetic and holdout-generator results.",False
S03,strategy_support_ready,strategy is runnable in the current feature and execution product,support_level=partial_missing_required_features,partial_or_unsupported_strategy,False,False,Partial or unsupported strategies cannot pass realism until required features/modules exist.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Implement missing strategy features/modules or mark the strategy as research-only before realism acceptance.,False
S03,synthetic_quality_gate_clear,no failing or warning quality checks before strategy realism acceptance,pass=24; warn=0; fail=0; triage_rows=0,quality_proxy_clear_not_acceptance,True,False,"Quality checks are current synthetic diagnostics over one-day calibration and generated scenarios, not strategy rerun evidence.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Keep quality gates green after any generator changes and rerun strategy realism checks on the accepted generator version.,False
S04,artifact_exploitation_rejection,strategy does not exploit generator artifacts or synthetic-only templates,not available in current Phase 14 evidence,missing_artifact_exploitation_rejection,False,False,No negative-control or artifact-exploitation rerun exists for realism acceptance.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run artifact/control templates and reject strategies whose edge disappears or depends on generator-specific artifacts.,False
S04,feed_imperfection_coverage,holdout evidence includes disconnect and stressed-retail feed profiles,feed_profiles=disconnect_scenario;good_retail;ideal_research;normal_retail;stressed_retail,feed_imperfection_proxy_available_not_acceptance,True,False,"Feed imperfections exist as generated profiles, not acceptance-grade strategy reruns.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Rerun strategies on disconnect/stressed feed profiles with full lifecycle execution and verify performance does not depend on ideal feed assumptions.,False
S04,holdout_generator_coverage,structurally ready holdout-generator profiles exist for development and holdout quarters,15/15 holdout proxy rows; structural_ready=15; quarters=Q-A;Q-B;Q-C,holdout_generator_proxy_available_not_acceptance,True,False,"Holdout-generator coverage exists as structural proxy evidence, but strategies have not been rerun as acceptance tests.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run every candidate strategy on predeclared holdout-generator profiles and compare against development/calibration results.,False
S04,holdout_strategy_rerun,strategy rerun on holdout-generator configurations with no development leakage,not available in current Phase 14 evidence,missing_holdout_strategy_rerun,False,False,"Current Phase 14 holdout rows are generator/profile diagnostics, not strategy P&L or signal reruns.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run Phase 11/12/13 strategy evaluation on Q-B/Q-C holdout profiles and preserve leakage checks.,False
S04,pessimistic_execution_realism,holdout strategy rerun uses stressed retail latency/slippage/fill assumptions,not available in current Phase 14 evidence,missing_pessimistic_execution_holdout_rerun,False,False,Strategies have not been rerun on holdout generator outputs with pessimistic execution controls.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,"Evaluate holdout-generator strategy results with stressed retail, partial-fill and risk-control assumptions.",False
S04,real_multi_day_realism_validation,realism and strategy behavior validated on multiple real market days,not available in current one-day/proxy evidence,missing_multi_day_real_realism_validation,False,False,Real calibration uses a one-day sample and no multi-day strategy validation.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,"Collect and validate multiple real market days, then compare strategy behavior against synthetic and holdout-generator results.",False
S04,strategy_support_ready,strategy is runnable in the current feature and execution product,support_level=partial_missing_required_features,partial_or_unsupported_strategy,False,False,Partial or unsupported strategies cannot pass realism until required features/modules exist.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Implement missing strategy features/modules or mark the strategy as research-only before realism acceptance.,False
S04,synthetic_quality_gate_clear,no failing or warning quality checks before strategy realism acceptance,pass=24; warn=0; fail=0; triage_rows=0,quality_proxy_clear_not_acceptance,True,False,"Quality checks are current synthetic diagnostics over one-day calibration and generated scenarios, not strategy rerun evidence.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Keep quality gates green after any generator changes and rerun strategy realism checks on the accepted generator version.,False
S05,artifact_exploitation_rejection,strategy does not exploit generator artifacts or synthetic-only templates,not available in current Phase 14 evidence,missing_artifact_exploitation_rejection,False,False,No negative-control or artifact-exploitation rerun exists for realism acceptance.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run artifact/control templates and reject strategies whose edge disappears or depends on generator-specific artifacts.,False
S05,feed_imperfection_coverage,holdout evidence includes disconnect and stressed-retail feed profiles,feed_profiles=disconnect_scenario;good_retail;ideal_research;normal_retail;stressed_retail,feed_imperfection_proxy_available_not_acceptance,True,False,"Feed imperfections exist as generated profiles, not acceptance-grade strategy reruns.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Rerun strategies on disconnect/stressed feed profiles with full lifecycle execution and verify performance does not depend on ideal feed assumptions.,False
S05,holdout_generator_coverage,structurally ready holdout-generator profiles exist for development and holdout quarters,15/15 holdout proxy rows; structural_ready=15; quarters=Q-A;Q-B;Q-C,holdout_generator_proxy_available_not_acceptance,True,False,"Holdout-generator coverage exists as structural proxy evidence, but strategies have not been rerun as acceptance tests.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,Run every candidate strategy on predeclared holdout-generator profiles and compare against development/calibration results.,False
