phase283_variant_id,ensemble_family,bucket_id,vote_threshold,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr,median_above12
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V1_P282_DEPTH_STABLE_BUCKET,adverse_avoid_net_label_ensemble,P282_DEPTH_STABLE_BUCKET,1,6,199,3,0,0,0,5.641237869913325,7.554332024414504,11.28247573982665,358.17383301036983,0
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V2_ALL_EVENTS,adverse_avoid_net_label_ensemble,ALL_EVENTS,2,6,121,3,0,0,0,5.641237869913325,7.7784000535764655,11.28247573982665,358.17383301036983,0
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V2_P282_DEPTH_STABLE_BUCKET,adverse_avoid_net_label_ensemble,P282_DEPTH_STABLE_BUCKET,2,6,63,3,0,0,0,5.641237869913325,7.554332024414504,11.28247573982665,358.17383301036983,0
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V2_P282_SPREAD_COMPRESSED_BUCKET,adverse_avoid_net_label_ensemble,P282_SPREAD_COMPRESSED_BUCKET,2,6,121,3,0,0,0,5.641237869913325,7.7784000535764655,11.28247573982665,358.17383301036983,0
P283_P282_FAMILY_VOTE_ENSEMBLE_V2_ALL_EVENTS,family_vote_ensemble,ALL_EVENTS,2,6,317,3,0,0,0,5.641237869913325,7.72063152420943,11.28247573982665,358.17383301036983,0
P283_P282_FAMILY_VOTE_ENSEMBLE_V2_P282_DEPTH_STABLE_BUCKET,family_vote_ensemble,P282_DEPTH_STABLE_BUCKET,2,6,143,3,0,0,0,5.641237869913325,7.554332024414504,11.28247573982665,358.17383301036983,0
P283_P282_FAMILY_VOTE_ENSEMBLE_V2_P282_SPREAD_COMPRESSED_BUCKET,family_vote_ensemble,P282_SPREAD_COMPRESSED_BUCKET,2,6,304,3,0,0,0,5.641237869913325,7.72063152420943,11.28247573982665,358.17383301036983,0
P283_P282_FAMILY_VOTE_ENSEMBLE_V3_ALL_EVENTS,family_vote_ensemble,ALL_EVENTS,3,6,121,3,0,0,0,5.641237869913325,7.7784000535764655,11.28247573982665,358.17383301036983,0
P283_P282_FAMILY_VOTE_ENSEMBLE_V3_P282_DEPTH_STABLE_BUCKET,family_vote_ensemble,P282_DEPTH_STABLE_BUCKET,3,6,63,3,0,0,0,5.641237869913325,7.554332024414504,11.28247573982665,358.17383301036983,0
P283_P282_FAMILY_VOTE_ENSEMBLE_V3_P282_SPREAD_COMPRESSED_BUCKET,family_vote_ensemble,P282_SPREAD_COMPRESSED_BUCKET,3,6,121,3,0,0,0,5.641237869913325,7.7784000535764655,11.28247573982665,358.17383301036983,0
P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V2_ALL_EVENTS,spread_replenish_adverse_ensemble,ALL_EVENTS,2,6,154,3,0,0,0,5.641237869913325,7.7784000535764655,11.28247573982665,358.17383301036983,0
P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V2_P282_DEPTH_STABLE_BUCKET,spread_replenish_adverse_ensemble,P282_DEPTH_STABLE_BUCKET,2,6,77,3,0,0,0,5.641237869913325,7.554332024414504,11.28247573982665,358.17383301036983,0
P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V2_P282_SPREAD_COMPRESSED_BUCKET,spread_replenish_adverse_ensemble,P282_SPREAD_COMPRESSED_BUCKET,2,6,141,3,0,0,0,5.641237869913325,7.7784000535764655,11.28247573982665,358.17383301036983,0
P283_P282_TIME_GATED_REPLENISH_ENSEMBLE_V2_ALL_EVENTS,time_gated_replenish_ensemble,ALL_EVENTS,2,6,125,3,0,0,0,5.641237869913325,7.7784000535764655,11.28247573982665,358.17383301036983,0
P283_P282_TIME_GATED_REPLENISH_ENSEMBLE_V2_P282_DEPTH_STABLE_BUCKET,time_gated_replenish_ensemble,P282_DEPTH_STABLE_BUCKET,2,6,65,3,0,0,0,5.641237869913325,7.554332024414504,11.28247573982665,358.17383301036983,0
P283_P282_TIME_GATED_REPLENISH_ENSEMBLE_V2_P282_SPREAD_COMPRESSED_BUCKET,time_gated_replenish_ensemble,P282_SPREAD_COMPRESSED_BUCKET,2,6,125,3,0,0,0,5.641237869913325,7.7784000535764655,11.28247573982665,358.17383301036983,0
P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_DEPTH_STABLE_BUCKET,spread_replenish_adverse_ensemble,P282_DEPTH_STABLE_BUCKET,1,6,219,4,0,0,0,4.595532761163209,7.406855269129125,9.191065522326419,291.77985785163236,0
P283_P282_TIME_GATED_REPLENISH_ENSEMBLE_V1_P282_DEPTH_STABLE_BUCKET,time_gated_replenish_ensemble,P282_DEPTH_STABLE_BUCKET,1,6,165,4,0,0,0,4.595532761163209,7.406855269129125,9.191065522326419,291.77985785163236,0
P283_P282_TIME_GATED_REPLENISH_ENSEMBLE_V1_P282_SPREAD_COMPRESSED_BUCKET,time_gated_replenish_ensemble,P282_SPREAD_COMPRESSED_BUCKET,1,6,429,4,0,0,0,4.3485503462836945,4.4431572890399345,9.075528463592347,288.1120147172174,0
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V1_ALL_EVENTS,adverse_avoid_net_label_ensemble,ALL_EVENTS,1,6,449,4,0,0,0,2.1193839292566254,5.901319614427377,7.563871370341504,240.12290064576206,0
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V1_P282_SPREAD_COMPRESSED_BUCKET,adverse_avoid_net_label_ensemble,P282_SPREAD_COMPRESSED_BUCKET,1,6,435,4,0,0,0,2.1193839292566254,5.901319614427377,7.563871370341504,240.12290064576206,0
P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_SPREAD_COMPRESSED_BUCKET,spread_replenish_adverse_ensemble,P282_SPREAD_COMPRESSED_BUCKET,1,6,445,4,0,0,0,1.2705099203628936,4.726383815501002,6.911747790276217,219.4205647706736,0
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V2_P282_TIME_LATER_BUCKET,adverse_avoid_net_label_ensemble,P282_TIME_LATER_BUCKET,2,6,102,2,0,0,0,1.0530581975926951,3.951092054613336,5.796067714041282,184.00214965210418,0
P283_P282_FAMILY_VOTE_ENSEMBLE_V3_P282_TIME_LATER_BUCKET,family_vote_ensemble,P282_TIME_LATER_BUCKET,3,6,102,2,0,0,0,1.0530581975926951,3.951092054613336,5.796067714041282,184.00214965210418,0
P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V2_P282_TIME_LATER_BUCKET,spread_replenish_adverse_ensemble,P282_TIME_LATER_BUCKET,2,6,102,2,0,0,0,1.0530581975926951,3.951092054613336,5.796067714041282,184.00214965210418,0
P283_P282_TIME_GATED_REPLENISH_ENSEMBLE_V2_P282_TIME_LATER_BUCKET,time_gated_replenish_ensemble,P282_TIME_LATER_BUCKET,2,6,106,2,0,0,0,1.0530581975926951,3.951092054613336,5.796067714041282,184.00214965210418,0
P283_P282_FAMILY_VOTE_ENSEMBLE_V2_P282_TIME_LATER_BUCKET,family_vote_ensemble,P282_TIME_LATER_BUCKET,2,6,178,2,0,0,0,1.0530581975926951,3.922207789929818,5.738299184674245,182.1682280848967,0
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V1_P282_TIME_LATER_BUCKET,adverse_avoid_net_label_ensemble,P282_TIME_LATER_BUCKET,1,6,299,2,0,0,0,1.4205386272446408,2.4735968248373355,2.8410772544892815,90.19292871394545,0
P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_LATER_BUCKET,spread_replenish_adverse_ensemble,P282_TIME_LATER_BUCKET,1,6,320,2,0,0,0,1.4205386272446408,2.4735968248373355,2.8410772544892815,90.19292871394545,0
P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,spread_replenish_adverse_ensemble,ALL_EVENTS,1,6,533,4,0,0,0,1.2705099203628936,2.6710468020969627,2.8010737634681377,88.92297661803613,0
P283_P282_TIME_GATED_REPLENISH_ENSEMBLE_V1_P282_TIME_LATER_BUCKET,time_gated_replenish_ensemble,P282_TIME_LATER_BUCKET,1,6,312,2,0,0,0,1.0530581975926951,1.8605328573918056,2.1061163951853903,66.86083794239333,0
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V2_P282_TIME_OPEN_BUCKET,adverse_avoid_net_label_ensemble,P282_TIME_OPEN_BUCKET,2,6,19,2,0,0,0,0.8982283534647382,1.8531164885822937,1.909776270235111,60.62781810270194,0
P283_P282_FAMILY_VOTE_ENSEMBLE_V3_P282_TIME_OPEN_BUCKET,family_vote_ensemble,P282_TIME_OPEN_BUCKET,3,6,19,2,0,0,0,0.8982283534647382,1.8531164885822937,1.909776270235111,60.62781810270194,0
P283_P282_TIME_GATED_REPLENISH_ENSEMBLE_V2_P282_TIME_OPEN_BUCKET,time_gated_replenish_ensemble,P282_TIME_OPEN_BUCKET,2,6,19,2,0,0,0,0.8982283534647382,1.8531164885822937,1.909776270235111,60.62781810270194,0
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET,adverse_avoid_net_label_ensemble,P282_TIME_OPEN_BUCKET,1,6,150,2,0,0,0,0.8982283534647382,0.9557766636184606,1.7964567069294763,57.030371648554805,0
P283_P282_FAMILY_VOTE_ENSEMBLE_V2_P282_TIME_OPEN_BUCKET,family_vote_ensemble,P282_TIME_OPEN_BUCKET,2,6,139,2,0,0,0,0.6993766825650733,0.7988025180149058,1.7964567069294763,57.030371648554805,0
P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V2_P282_TIME_OPEN_BUCKET,spread_replenish_adverse_ensemble,P282_TIME_OPEN_BUCKET,2,6,52,2,0,0,0,0.6993766825650733,0.7988025180149058,1.7964567069294763,57.030371648554805,0
P283_P282_TIME_GATED_REPLENISH_ENSEMBLE_V1_ALL_EVENTS,time_gated_replenish_ensemble,ALL_EVENTS,1,6,516,4,0,0,0,0.4707840190012547,0.5653909617574944,1.3199958090274682,41.90462885801486,0
P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET,spread_replenish_adverse_ensemble,P282_TIME_OPEN_BUCKET,1,6,213,2,0,0,0,-0.29495351057075314,0.30163742144699257,0.7507515981793617,23.83338406918608,0
P283_P282_TIME_GATED_REPLENISH_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET,time_gated_replenish_ensemble,P282_TIME_OPEN_BUCKET,1,6,204,2,0,0,0,-0.29495351057075314,0.30163742144699257,0.7507515981793617,23.83338406918608,0
