synthetic_year_day,daily_net_pnl_inr,daily_trades,running_net_pnl_inr,running_peak_inr,drawdown_inr,strategy_id,execution_profile
1,-68988.57668391535,888,-68988.57668391535,-68988.57668391535,0.0,S01,zero_latency_spread_only_control
2,-150466.393371237,778,-219454.97005515237,-68988.57668391535,-150466.39337123703,S01,zero_latency_spread_only_control
3,-9196.869202688806,35,-228651.83925784117,-68988.57668391535,-159663.26257392584,S01,zero_latency_spread_only_control
4,-65422.1587314317,521,-294073.9979892729,-68988.57668391535,-225085.42130535754,S01,zero_latency_spread_only_control
5,-381923.2970296488,1449,-675997.2950189216,-68988.57668391535,-607008.7183350063,S01,zero_latency_spread_only_control
6,-172403.27763690782,2215,-848400.5726558294,-68988.57668391535,-779411.995971914,S01,zero_latency_spread_only_control
7,-32778.67397045023,118,-881179.2466262795,-68988.57668391535,-812190.6699423642,S01,zero_latency_spread_only_control
8,-38699.78807843059,552,-919879.0347047101,-68988.57668391535,-850890.4580207948,S01,zero_latency_spread_only_control
9,-104215.43362102161,666,-1024094.4683257317,-68988.57668391535,-955105.8916418164,S01,zero_latency_spread_only_control
10,9816.480601932257,1441,-1014277.9877237994,-68988.57668391535,-945289.4110398841,S01,zero_latency_spread_only_control
11,-54066.36727506001,1336,-1068344.3549988593,-68988.57668391535,-999355.778314944,S01,zero_latency_spread_only_control
12,-133033.82375064155,2095,-1201378.1787495008,-68988.57668391535,-1132389.6020655853,S01,zero_latency_spread_only_control
13,-13882.099401390913,72,-1215260.2781508917,-68988.57668391535,-1146271.7014669762,S01,zero_latency_spread_only_control
14,-177223.48104931405,985,-1392483.7592002058,-68988.57668391535,-1323495.1825162903,S01,zero_latency_spread_only_control
15,-11696.719910323996,66,-1404180.4791105299,-68988.57668391535,-1335191.9024266144,S01,zero_latency_spread_only_control
16,-178592.75124411224,1923,-1582773.230354642,-68988.57668391535,-1513784.6536707266,S01,zero_latency_spread_only_control
17,-2815.5301599221716,34,-1585588.760514564,-68988.57668391535,-1516600.1838306487,S01,zero_latency_spread_only_control
18,-31103.51828797753,293,-1616692.2788025416,-68988.57668391535,-1547703.702118626,S01,zero_latency_spread_only_control
19,-19927.106095381983,119,-1636619.3848979236,-68988.57668391535,-1567630.808214008,S01,zero_latency_spread_only_control
20,-119091.0136330753,1221,-1755710.398530999,-68988.57668391535,-1686721.8218470835,S01,zero_latency_spread_only_control
21,2209.387596882563,294,-1753501.0109341163,-68988.57668391535,-1684512.4342502009,S01,zero_latency_spread_only_control
22,-220671.24460193366,1302,-1974172.25553605,-68988.57668391535,-1905183.6788521346,S01,zero_latency_spread_only_control
23,-101009.67367334524,773,-2075181.9292093953,-68988.57668391535,-2006193.3525254799,S01,zero_latency_spread_only_control
24,-43898.66480018507,330,-2119080.5940095806,-68988.57668391535,-2050092.017325665,S01,zero_latency_spread_only_control
25,-225060.48529235134,2032,-2344141.079301932,-68988.57668391535,-2275152.5026180167,S01,zero_latency_spread_only_control
26,-151739.0608762304,1008,-2495880.140178162,-68988.57668391535,-2426891.563494247,S01,zero_latency_spread_only_control
27,-28587.836487862343,906,-2524467.9766660244,-68988.57668391535,-2455479.399982109,S01,zero_latency_spread_only_control
28,-127646.97458226125,2093,-2652114.951248286,-68988.57668391535,-2583126.3745643706,S01,zero_latency_spread_only_control
29,-33752.83304869149,593,-2685867.7842969773,-68988.57668391535,-2616879.207613062,S01,zero_latency_spread_only_control
30,-75846.31484866583,701,-2761714.099145643,-68988.57668391535,-2692725.5224617277,S01,zero_latency_spread_only_control
31,-3800.423297260774,17,-2765514.522442904,-68988.57668391535,-2696525.9457589886,S01,zero_latency_spread_only_control
32,-139164.80227722085,1621,-2904679.3247201247,-68988.57668391535,-2835690.7480362095,S01,zero_latency_spread_only_control
33,-200779.8679201446,1487,-3105459.192640269,-68988.57668391535,-3036470.615956354,S01,zero_latency_spread_only_control
34,-207102.1415404752,1087,-3312561.3341807444,-68988.57668391535,-3243572.757496829,S01,zero_latency_spread_only_control
35,-6849.956591276261,62,-3319411.290772021,-68988.57668391535,-3250422.7140881056,S01,zero_latency_spread_only_control
36,-385662.46469129034,2164,-3705073.755463311,-68988.57668391535,-3636085.1787793958,S01,zero_latency_spread_only_control
37,-73896.79833547099,418,-3778970.553798782,-68988.57668391535,-3709981.977114867,S01,zero_latency_spread_only_control
38,-75194.07258640655,371,-3854164.6263851887,-68988.57668391535,-3785176.0497012734,S01,zero_latency_spread_only_control
39,-53757.2375434721,308,-3907921.8639286608,-68988.57668391535,-3838933.2872447455,S01,zero_latency_spread_only_control
40,-43650.154052243306,262,-3951572.017980904,-68988.57668391535,-3882583.4412969886,S01,zero_latency_spread_only_control
41,-116517.30700676198,593,-4068089.3249876658,-68988.57668391535,-3999100.7483037505,S01,zero_latency_spread_only_control
42,-119410.35077982703,1477,-4187499.675767493,-68988.57668391535,-4118511.0990835777,S01,zero_latency_spread_only_control
43,-56484.26461492281,982,-4243983.940382415,-68988.57668391535,-4174995.3636985,S01,zero_latency_spread_only_control
44,-184249.56444355552,1580,-4428233.504825971,-68988.57668391535,-4359244.928142056,S01,zero_latency_spread_only_control
45,-57819.25915967842,1592,-4486052.76398565,-68988.57668391535,-4417064.187301734,S01,zero_latency_spread_only_control
46,-6041.126571769926,44,-4492093.8905574195,-68988.57668391535,-4423105.313873504,S01,zero_latency_spread_only_control
47,-224890.8894402968,1616,-4716984.779997717,-68988.57668391535,-4647996.203313801,S01,zero_latency_spread_only_control
48,-79102.26607937984,812,-4796087.046077097,-68988.57668391535,-4727098.469393182,S01,zero_latency_spread_only_control
49,-51658.31894253651,1034,-4847745.365019633,-68988.57668391535,-4778756.788335718,S01,zero_latency_spread_only_control
50,-58656.63853312728,362,-4906402.003552761,-68988.57668391535,-4837413.426868846,S01,zero_latency_spread_only_control
