strategy_id,execution_profile,trades,symbols,synthetic_year_days,mean_gross_return,mean_cost_return,mean_zerodha_charge_return,mean_net_return,annual_net_pnl_inr,worst_daily_net_pnl_inr,max_drawdown_inr,positive_day_fraction,annualized_sharpe_proxy,synthetic_full_year_acceptance_ready
S07,zero_latency_spread_only_control,388607,9,252,3.244042699691476e-05,0.00014404718261586252,0.0,-0.00011160675561894777,-4337116.648081242,-76606.31648824866,-4359365.53745889,0.05389221556886228,-16.271755535598167,False
S09,zero_latency_spread_only_control,587720,9,252,-2.0843024162383232e-05,0.00013886938313025331,0.0,-0.00015971240729263655,-9386617.601402834,-234434.77236680227,-9375350.298516449,0.047619047619047616,-17.318388571654896,False
S05,zero_latency_spread_only_control,587504,16,252,-2.9831908184323538e-05,0.00017156343659784757,0.0,-0.00020139534478217104,-11832057.06409046,-574887.4667357596,-11833996.672521668,0.1349206349206349,-9.87298004030006,False
S01,retail_marketable_default,221610,30,252,9.75872709453676e-05,0.0010949010028682843,0.0008268129655786433,-0.0009973137319229165,-22101469.61314376,-336956.9266847598,-22018290.461316913,0.011904761904761904,-18.839314256709127,False
S02,zero_latency_spread_only_control,585487,32,252,-0.0002986125235946751,0.00015822613924557945,0.0,-0.0004568386628402546,-26747309.819035217,-1485693.3499317698,-26642382.860117648,0.16597510373443983,-7.886448056746983,False
S01,zero_latency_spread_only_control,236828,30,252,-0.0010168637882734131,0.00013234382762589324,0.0,-0.0011492076158993066,-27216454.125820097,-493523.2599086998,-27147465.549136173,0.023809523809523808,-17.084195891024947,False
S01,stressed_retail,213588,30,252,5.470722965116852e-05,0.0013306487704330522,0.0008268102137592545,-0.001275941540781884,-27252580.181252092,-460577.4671848447,-27188681.861847483,0.003968253968253968,-18.365475640201733,False
S07,retail_marketable_default,370332,9,252,1.9269102791280846e-05,0.0011305008129285953,0.0008268098428742518,-0.0011112317101373145,-41152466.16785721,-326079.2494233629,-40867025.164123565,0.0,-156.66716485457894,False
S07,stressed_retail,359950,9,252,2.5772096247423863e-05,0.0013903089117648971,0.0008268093007799311,-0.0013645368155174734,-49116502.67455147,-371747.9153929492,-48803416.89469676,0.0,-174.4907535474632,False
S02,retail_marketable_default,552886,32,252,3.654042944008814e-06,0.0011084573718389682,0.0008268088399795069,-0.001104803328894959,-61083029.32994185,-1165366.4917464047,-60857903.846506126,0.008298755186721992,-15.934194412080299,False
S09,retail_marketable_default,560616,9,252,-7.964142592436169e-06,0.0011253252940618623,0.000826811389739208,-0.001133289436654298,-63534019.08193859,-474320.14045454725,-63294529.18015491,0.0,-128.30683789873265,False
S05,retail_marketable_default,560295,16,252,-3.48302225457803e-05,0.001169741673764715,0.0008268105030583146,-0.0012045718963104959,-67491561.06432894,-1008008.7904526955,-67310832.47364585,0.0,-37.42870093426188,False
S02,stressed_retail,531419,32,252,-1.361799139977596e-05,0.0013322132654256323,0.0008268088483278334,-0.0013458312568254093,-71520030.06709018,-1461481.675012837,-71333344.67649458,0.0,-16.08342782970776,False
S09,stressed_retail,544871,9,252,-1.2825041529528848e-05,0.0013850992763328074,0.000826811114594508,-0.0013979243178623363,-76168842.09979692,-534862.8845676105,-75887769.36941572,0.0,-141.821288384108,False
S05,stressed_retail,544508,16,252,-4.098663265584105e-05,0.001441336723895101,0.0008268101789287246,-0.0014823233565509422,-80713692.62288405,-1103003.048426096,-80490485.32333797,0.0,-41.35424544298522,False
