trade_month,symbol,feed_profile,rows
2026-01,ADANIPORTS,disconnect_scenario,148800
2026-01,ADANIPORTS,good_retail,101200
2026-01,AXISBANK,disconnect_scenario,148800
2026-01,AXISBANK,good_retail,101200
2026-01,BAJAJ-AUTO,disconnect_scenario,146816
2026-01,BAJAJ-AUTO,good_retail,103184
2026-01,BANKBEES,disconnect_scenario,148800
2026-01,BANKBEES,good_retail,101200
2026-01,BHARTIARTL,disconnect_scenario,148800
2026-01,BHARTIARTL,good_retail,101200
2026-01,BPCL,disconnect_scenario,148800
2026-01,BPCL,good_retail,101200
2026-01,BRITANNIA,disconnect_scenario,144832
2026-01,BRITANNIA,good_retail,105168
2026-01,CIPLA,disconnect_scenario,148800
2026-01,CIPLA,good_retail,101200
2026-01,DRREDDY,disconnect_scenario,144832
2026-01,DRREDDY,good_retail,105168
2026-01,GOLDBEES,disconnect_scenario,146816
2026-01,GOLDBEES,good_retail,103184
2026-01,HCLTECH,disconnect_scenario,146816
2026-01,HCLTECH,good_retail,103184
2026-01,HDFCBANK,disconnect_scenario,152768
2026-01,HDFCBANK,good_retail,97232
2026-01,HINDUNILVR,disconnect_scenario,144832
2026-01,HINDUNILVR,good_retail,105168
2026-01,ICICIBANK,disconnect_scenario,148800
2026-01,ICICIBANK,good_retail,101200
2026-01,INFY,disconnect_scenario,148800
2026-01,INFY,good_retail,101200
2026-01,ITBEES,disconnect_scenario,148800
2026-01,ITBEES,good_retail,101200
2026-01,ITC,disconnect_scenario,148800
2026-01,ITC,good_retail,101200
2026-01,JUNIORBEES,disconnect_scenario,146816
2026-01,JUNIORBEES,good_retail,103184
2026-01,KOTAKBANK,disconnect_scenario,148800
2026-01,KOTAKBANK,good_retail,101200
2026-01,LT,disconnect_scenario,150784
2026-01,LT,good_retail,99216
2026-01,M&M,disconnect_scenario,148800
2026-01,M&M,good_retail,101200
2026-01,MARUTI,disconnect_scenario,146816
2026-01,MARUTI,good_retail,103184
2026-01,NESTLEIND,disconnect_scenario,146816
2026-01,NESTLEIND,good_retail,103184
2026-01,NIFTYBEES,disconnect_scenario,148800
2026-01,NIFTYBEES,good_retail,101200
2026-01,ONGC,disconnect_scenario,142848
2026-01,ONGC,good_retail,107152
2026-01,RELIANCE,disconnect_scenario,148800
2026-01,RELIANCE,good_retail,101200
2026-01,SBIN,disconnect_scenario,148800
2026-01,SBIN,good_retail,101200
2026-01,SUNPHARMA,disconnect_scenario,146816
2026-01,SUNPHARMA,good_retail,103184
2026-01,TCS,disconnect_scenario,148800
2026-01,TCS,good_retail,101200
2026-01,TECHM,disconnect_scenario,146816
2026-01,TECHM,good_retail,103184
2026-01,ULTRACEMCO,disconnect_scenario,148800
2026-01,ULTRACEMCO,good_retail,101200
2026-01,WIPRO,disconnect_scenario,146816
2026-01,WIPRO,good_retail,103184
2026-02,ADANIPORTS,disconnect_scenario,144832
2026-02,ADANIPORTS,good_retail,105168
2026-02,AXISBANK,disconnect_scenario,144832
2026-02,AXISBANK,good_retail,105168
2026-02,BAJAJ-AUTO,disconnect_scenario,148800
2026-02,BAJAJ-AUTO,good_retail,101200
2026-02,BANKBEES,disconnect_scenario,144832
2026-02,BANKBEES,good_retail,105168
2026-02,BHARTIARTL,disconnect_scenario,146816
2026-02,BHARTIARTL,good_retail,103184
2026-02,BPCL,disconnect_scenario,148800
2026-02,BPCL,good_retail,101200
2026-02,BRITANNIA,disconnect_scenario,146816
2026-02,BRITANNIA,good_retail,103184
2026-02,CIPLA,disconnect_scenario,146816
2026-02,CIPLA,good_retail,103184
2026-02,DRREDDY,disconnect_scenario,146816
2026-02,DRREDDY,good_retail,103184
2026-02,GOLDBEES,disconnect_scenario,144832
2026-02,GOLDBEES,good_retail,105168
2026-02,HCLTECH,disconnect_scenario,144832
2026-02,HCLTECH,good_retail,105168
2026-02,HDFCBANK,disconnect_scenario,148800
2026-02,HDFCBANK,good_retail,101200
2026-02,HINDUNILVR,disconnect_scenario,138880
2026-02,HINDUNILVR,good_retail,111120
2026-02,ICICIBANK,disconnect_scenario,148800
2026-02,ICICIBANK,good_retail,101200
2026-02,INFY,disconnect_scenario,148800
2026-02,INFY,good_retail,101200
2026-02,ITBEES,disconnect_scenario,148800
2026-02,ITBEES,good_retail,101200
2026-02,ITC,disconnect_scenario,146816
2026-02,ITC,good_retail,103184
2026-02,JUNIORBEES,disconnect_scenario,148800
2026-02,JUNIORBEES,good_retail,101200
2026-02,KOTAKBANK,disconnect_scenario,144832
2026-02,KOTAKBANK,good_retail,105168
2026-02,LT,disconnect_scenario,146816
2026-02,LT,good_retail,103184
2026-02,M&M,disconnect_scenario,138880
2026-02,M&M,good_retail,111120
2026-02,MARUTI,disconnect_scenario,150784
2026-02,MARUTI,good_retail,99216
2026-02,NESTLEIND,disconnect_scenario,146816
2026-02,NESTLEIND,good_retail,103184
2026-02,NIFTYBEES,disconnect_scenario,142848
2026-02,NIFTYBEES,good_retail,107152
2026-02,ONGC,disconnect_scenario,146816
2026-02,ONGC,good_retail,103184
2026-02,RELIANCE,disconnect_scenario,146816
2026-02,RELIANCE,good_retail,103184
2026-02,SBIN,disconnect_scenario,144832
2026-02,SBIN,good_retail,105168
2026-02,SUNPHARMA,disconnect_scenario,146816
2026-02,SUNPHARMA,good_retail,103184
2026-02,TCS,disconnect_scenario,148800
2026-02,TCS,good_retail,101200
2026-02,TECHM,disconnect_scenario,142848
2026-02,TECHM,good_retail,107152
2026-02,ULTRACEMCO,disconnect_scenario,144832
2026-02,ULTRACEMCO,good_retail,105168
2026-02,WIPRO,disconnect_scenario,144832
2026-02,WIPRO,good_retail,105168
2026-03,ADANIPORTS,disconnect_scenario,144832
2026-03,ADANIPORTS,good_retail,105168
2026-03,AXISBANK,disconnect_scenario,150784
2026-03,AXISBANK,good_retail,99216
2026-03,BAJAJ-AUTO,disconnect_scenario,146816
2026-03,BAJAJ-AUTO,good_retail,103184
2026-03,BANKBEES,disconnect_scenario,148800
2026-03,BANKBEES,good_retail,101200
2026-03,BHARTIARTL,disconnect_scenario,146816
2026-03,BHARTIARTL,good_retail,103184
2026-03,BPCL,disconnect_scenario,150784
2026-03,BPCL,good_retail,99216
2026-03,BRITANNIA,disconnect_scenario,144832
2026-03,BRITANNIA,good_retail,105168
2026-03,CIPLA,disconnect_scenario,144832
2026-03,CIPLA,good_retail,105168
2026-03,DRREDDY,disconnect_scenario,148800
2026-03,DRREDDY,good_retail,101200
2026-03,GOLDBEES,disconnect_scenario,144832
2026-03,GOLDBEES,good_retail,105168
2026-03,HCLTECH,disconnect_scenario,148800
2026-03,HCLTECH,good_retail,101200
2026-03,HDFCBANK,disconnect_scenario,148800
2026-03,HDFCBANK,good_retail,101200
2026-03,HINDUNILVR,disconnect_scenario,150784
2026-03,HINDUNILVR,good_retail,99216
2026-03,ICICIBANK,disconnect_scenario,146816
2026-03,ICICIBANK,good_retail,103184
2026-03,INFY,disconnect_scenario,148800
2026-03,INFY,good_retail,101200
2026-03,ITBEES,disconnect_scenario,148800
2026-03,ITBEES,good_retail,101200
2026-03,ITC,disconnect_scenario,144832
2026-03,ITC,good_retail,105168
2026-03,JUNIORBEES,disconnect_scenario,144832
2026-03,JUNIORBEES,good_retail,105168
2026-03,KOTAKBANK,disconnect_scenario,148800
2026-03,KOTAKBANK,good_retail,101200
2026-03,LT,disconnect_scenario,150784
2026-03,LT,good_retail,99216
2026-03,M&M,disconnect_scenario,148800
2026-03,M&M,good_retail,101200
2026-03,MARUTI,disconnect_scenario,148800
2026-03,MARUTI,good_retail,101200
2026-03,NESTLEIND,disconnect_scenario,148800
2026-03,NESTLEIND,good_retail,101200
2026-03,NIFTYBEES,disconnect_scenario,148800
2026-03,NIFTYBEES,good_retail,101200
2026-03,ONGC,disconnect_scenario,146816
2026-03,ONGC,good_retail,103184
2026-03,RELIANCE,disconnect_scenario,150784
2026-03,RELIANCE,good_retail,99216
2026-03,SBIN,disconnect_scenario,148800
2026-03,SBIN,good_retail,101200
2026-03,SUNPHARMA,disconnect_scenario,142848
2026-03,SUNPHARMA,good_retail,107152
2026-03,TCS,disconnect_scenario,146816
2026-03,TCS,good_retail,103184
2026-03,TECHM,disconnect_scenario,146816
2026-03,TECHM,good_retail,103184
2026-03,ULTRACEMCO,disconnect_scenario,150784
2026-03,ULTRACEMCO,good_retail,99216
2026-03,WIPRO,disconnect_scenario,146816
2026-03,WIPRO,good_retail,103184
2026-04,ADANIPORTS,disconnect_scenario,146816
2026-04,ADANIPORTS,good_retail,103184
2026-04,AXISBANK,disconnect_scenario,144832
2026-04,AXISBANK,good_retail,105168
2026-04,BAJAJ-AUTO,disconnect_scenario,146816
2026-04,BAJAJ-AUTO,good_retail,103184
2026-04,BANKBEES,disconnect_scenario,140864
2026-04,BANKBEES,good_retail,109136
2026-04,BHARTIARTL,disconnect_scenario,148800
2026-04,BHARTIARTL,good_retail,101200
2026-04,BPCL,disconnect_scenario,146816
2026-04,BPCL,good_retail,103184
2026-04,BRITANNIA,disconnect_scenario,142848
2026-04,BRITANNIA,good_retail,107152
2026-04,CIPLA,disconnect_scenario,142848
2026-04,CIPLA,good_retail,107152
2026-04,DRREDDY,disconnect_scenario,144832
2026-04,DRREDDY,good_retail,105168
2026-04,GOLDBEES,disconnect_scenario,146816
2026-04,GOLDBEES,good_retail,103184
2026-04,HCLTECH,disconnect_scenario,140864
2026-04,HCLTECH,good_retail,109136
2026-04,HDFCBANK,disconnect_scenario,148800
2026-04,HDFCBANK,good_retail,101200
2026-04,HINDUNILVR,disconnect_scenario,148800
2026-04,HINDUNILVR,good_retail,101200
2026-04,ICICIBANK,disconnect_scenario,140864
