trade_month,trade_date,symbol,rows_scanned,regime_count,feed_profile_count,market_shock_rows,symbol_shock_rows,duplicate_rate,disconnect_gap_rate,out_of_order_rate,mean_spread_bps,median_spread_bps,p90_spread_bps,mean_l1_depth,mean_l5_depth,one_tick_return_std
2026-01,2026-01-01,ADANIPORTS,250000,1,2,0,0,0.007936,0.0,0.0,2.1639143289254865,2.1599438414593854,2.190100744633506,793.856,6747.799808,0.00010176043281083176
2026-01,2026-01-01,AXISBANK,250000,1,2,0,0,0.0,0.0,0.0,1.4839977246104075,1.478743068390522,1.5060240963841725,794.300928,6751.73248,7.991604116917323e-05
2026-01,2026-01-01,BAJAJ-AUTO,250000,1,2,0,0,0.0,0.0,0.023808,2.867551038288248,2.858231707317073,2.9034599564481005,792.713728,6738.090432,9.292482583284245e-05
2026-01,2026-01-01,BANKBEES,250000,1,2,0,0,0.0,0.007936,0.015872,3.4586785528470316,3.4561074355688817,3.482240573076024,784.619392,6669.288576,4.4193328985576616e-05
2026-01,2026-01-01,BHARTIARTL,250000,1,2,0,0,0.0,0.007936,0.0,1.549976672060482,1.5463120457706023,1.5669069257283743,792.601984,6736.886592,5.250211309284508e-05
2026-01,2026-01-01,BPCL,250000,1,2,0,0,0.0,0.0,0.0,1.6049555049578197,1.600768368817396,1.6212710765243636,796.046592,6766.396032,7.898945348098606e-05
2026-01,2026-01-01,BRITANNIA,250000,1,2,0,0,0.0,0.0,0.0,3.662026881680335,3.6546368204659663,3.702332469455757,788.284416,6700.623808,6.522658846952214e-05
2026-01,2026-01-01,CIPLA,250000,1,2,0,0,0.0,0.0,0.007936,2.7499090324696116,2.74348422496633,2.78086763069983,791.365632,6726.51264,7.645784676488239e-05
2026-01,2026-01-01,DRREDDY,250000,1,2,0,0,0.0,0.0,0.015872,2.392625035043845,2.3879646581226974,2.412545235224623,787.779584,6696.348608,6.117814396931638e-05
2026-01,2026-01-01,GOLDBEES,250000,1,2,0,0,0.0,0.007936,0.015872,0.8416032580544024,0.8404773911586079,0.8502678343678259,783.25504,6657.540864,5.6693738929614715e-05
2026-01,2026-01-01,HCLTECH,250000,1,2,0,0,0.0,0.007936,0.015872,2.4137411626138086,2.408284498675079,2.446183953032897,796.461568,6769.732928,0.00011648920896124662
