trade_month,symbol,path
2026-01,ADANIPORTS,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet
2026-01,AXISBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet
2026-01,BAJAJ-AUTO,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet
2026-01,BANKBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet
2026-01,BHARTIARTL,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet
2026-01,BPCL,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BPCL\part-00000.parquet
2026-01,BRITANNIA,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BRITANNIA\part-00000.parquet
2026-01,CIPLA,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=CIPLA\part-00000.parquet
2026-01,DRREDDY,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=DRREDDY\part-00000.parquet
2026-01,GOLDBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=GOLDBEES\part-00000.parquet
2026-01,HCLTECH,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HCLTECH\part-00000.parquet
2026-01,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet
2026-01,HINDUNILVR,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HINDUNILVR\part-00000.parquet
2026-01,ICICIBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ICICIBANK\part-00000.parquet
2026-01,INFY,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=INFY\part-00000.parquet
2026-01,ITBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ITBEES\part-00000.parquet
2026-01,ITC,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ITC\part-00000.parquet
2026-01,JUNIORBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=JUNIORBEES\part-00000.parquet
2026-01,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=KOTAKBANK\part-00000.parquet
2026-01,LT,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=LT\part-00000.parquet
2026-01,M&M,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=M&M\part-00000.parquet
2026-01,MARUTI,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=MARUTI\part-00000.parquet
2026-01,NESTLEIND,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NESTLEIND\part-00000.parquet
2026-01,NIFTYBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NIFTYBEES\part-00000.parquet
2026-01,ONGC,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ONGC\part-00000.parquet
2026-01,RELIANCE,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=RELIANCE\part-00000.parquet
2026-01,SBIN,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=SBIN\part-00000.parquet
2026-01,SUNPHARMA,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=SUNPHARMA\part-00000.parquet
2026-01,TCS,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=TCS\part-00000.parquet
