trade_month,symbols,rows_scanned,regime_codes,regime_entropy_bits,feed_profiles,feed_profile_entropy_bits,market_shock_symbols,symbol_shock_symbols,mean_duplicate_rate,mean_disconnect_gap_rate,mean_out_of_order_rate,median_symbol_spread_bps,spread_cross_symbol_cv,median_symbol_l1_depth,median_symbol_one_tick_return_std
2026-01,32,8000000,1,-0.0,2,0.9757167998142536,0,0,0.000992,0.004960000000000001,0.008184,2.009179833679594,0.35008982037251474,792.8802559999999,7.847886302003473e-05
2026-02,32,8000000,1,-0.0,2,0.9792806561120958,0,0,0.0022320000000000005,0.005208000000000001,0.007440000000000001,2.035036146861505,0.34948318370665604,796.974336,6.294256599390746e-05
2026-03,32,8000000,1,-0.0,2,0.9758490290402555,0,0,0.0034720000000000007,0.0027280000000000004,0.007192000000000001,2.0545060219709406,0.35469717090546,788.1731199999999,5.1305255937477765e-05
2026-04,32,8000000,1,-0.0,2,0.9791583164516202,32,1,0.004960000000000001,0.0066960000000000006,0.017856,4.211047324690242,0.20636054865337272,975.2847999999999,0.00015064491936995025
2026-05,32,8000000,1,-0.0,2,0.9763742751332432,0,0,0.0027280000000000004,0.004216000000000001,0.009920000000000002,2.0273725498317114,0.34968585837346644,791.208576,8.538927667807875e-05
2026-06,32,8000000,1,-0.0,2,0.9766346966488595,0,0,0.0017360000000000001,0.004216000000000001,0.008432,1.737516103409487,0.3369684496076737,611.80128,2.279869387825267e-05
2026-07,32,8000000,1,-0.0,2,0.977022578532774,0,0,0.004960000000000001,0.004960000000000001,0.010416000000000002,2.04962268715335,0.34944385970270964,792.16864,8.363497756617562e-05
2026-08,32,8000000,1,-0.0,2,0.9780408073489838,0,0,0.001984,0.0024800000000000004,0.00868,2.042339928201703,0.3557360919885792,795.1615360000001,6.035458896244042e-05
2026-09,32,8000000,1,-0.0,2,0.9775346231337092,0,0,0.0032240000000000003,0.0029760000000000003,0.007688000000000001,1.720551447239258,0.33780491687472997,611.7136,3.7036597679958045e-05
2026-10,32,8000000,1,-0.0,2,0.9781664382105726,0,0,0.0032240000000000003,0.006200000000000001,0.0069440000000000005,2.041373945027554,0.3554574675283484,772.4131199999999,5.393392122394531e-05
2026-11,32,8000000,1,-0.0,2,0.9771511393257117,0,0,0.0029760000000000003,0.0034720000000000003,0.008928000000000002,2.032165754685889,0.35651423452684566,789.8167040000001,5.942841934996658e-05
2026-12,32,8000000,1,-0.0,2,0.9779148104758739,0,0,0.0014880000000000002,0.004216,0.009176,2.044714290258102,0.3488044856072507,725.288,4.8358563830385125e-05
