trade_month,symbol,regime_code,rows
2026-01,ADANIPORTS,D04,250000
2026-01,AXISBANK,D04,250000
2026-01,BAJAJ-AUTO,D04,250000
2026-01,BANKBEES,D04,250000
2026-01,BHARTIARTL,D04,250000
2026-01,BPCL,D04,250000
2026-01,BRITANNIA,D04,250000
2026-01,CIPLA,D04,250000
2026-01,DRREDDY,D04,250000
2026-01,GOLDBEES,D04,250000
2026-01,HCLTECH,D04,250000
2026-01,HDFCBANK,D04,250000
2026-01,HINDUNILVR,D04,250000
2026-01,ICICIBANK,D04,250000
2026-01,INFY,D04,250000
2026-01,ITBEES,D04,250000
2026-01,ITC,D04,250000
2026-01,JUNIORBEES,D04,250000
2026-01,KOTAKBANK,D04,250000
2026-01,LT,D04,250000
2026-01,M&M,D04,250000
2026-01,MARUTI,D04,250000
2026-01,NESTLEIND,D04,250000
2026-01,NIFTYBEES,D04,250000
2026-01,ONGC,D04,250000
2026-01,RELIANCE,D04,250000
2026-01,SBIN,D04,250000
2026-01,SUNPHARMA,D04,250000
2026-01,TCS,D04,250000
2026-01,TECHM,D04,250000
2026-01,ULTRACEMCO,D04,250000
2026-01,WIPRO,D04,250000
2026-02,ADANIPORTS,D04,250000
2026-02,AXISBANK,D04,250000
2026-02,BAJAJ-AUTO,D04,250000
2026-02,BANKBEES,D04,250000
2026-02,BHARTIARTL,D04,250000
2026-02,BPCL,D04,250000
2026-02,BRITANNIA,D04,250000
2026-02,CIPLA,D04,250000
2026-02,DRREDDY,D04,250000
2026-02,GOLDBEES,D04,250000
2026-02,HCLTECH,D04,250000
2026-02,HDFCBANK,D04,250000
2026-02,HINDUNILVR,D04,250000
2026-02,ICICIBANK,D04,250000
2026-02,INFY,D04,250000
2026-02,ITBEES,D04,250000
2026-02,ITC,D04,250000
2026-02,JUNIORBEES,D04,250000
2026-02,KOTAKBANK,D04,250000
2026-02,LT,D04,250000
2026-02,M&M,D04,250000
2026-02,MARUTI,D04,250000
2026-02,NESTLEIND,D04,250000
2026-02,NIFTYBEES,D04,250000
2026-02,ONGC,D04,250000
2026-02,RELIANCE,D04,250000
2026-02,SBIN,D04,250000
2026-02,SUNPHARMA,D04,250000
2026-02,TCS,D04,250000
2026-02,TECHM,D04,250000
2026-02,ULTRACEMCO,D04,250000
2026-02,WIPRO,D04,250000
2026-03,ADANIPORTS,D06,250000
2026-03,AXISBANK,D06,250000
2026-03,BAJAJ-AUTO,D06,250000
2026-03,BANKBEES,D06,250000
2026-03,BHARTIARTL,D06,250000
2026-03,BPCL,D06,250000
2026-03,BRITANNIA,D06,250000
2026-03,CIPLA,D06,250000
2026-03,DRREDDY,D06,250000
2026-03,GOLDBEES,D06,250000
2026-03,HCLTECH,D06,250000
2026-03,HDFCBANK,D06,250000
2026-03,HINDUNILVR,D06,250000
2026-03,ICICIBANK,D06,250000
2026-03,INFY,D06,250000
2026-03,ITBEES,D06,250000
2026-03,ITC,D06,250000
2026-03,JUNIORBEES,D06,250000
2026-03,KOTAKBANK,D06,250000
2026-03,LT,D06,250000
2026-03,M&M,D06,250000
2026-03,MARUTI,D06,250000
2026-03,NESTLEIND,D06,250000
2026-03,NIFTYBEES,D06,250000
2026-03,ONGC,D06,250000
2026-03,RELIANCE,D06,250000
2026-03,SBIN,D06,250000
2026-03,SUNPHARMA,D06,250000
2026-03,TCS,D06,250000
2026-03,TECHM,D06,250000
2026-03,ULTRACEMCO,D06,250000
2026-03,WIPRO,D06,250000
2026-04,ADANIPORTS,D05,250000
2026-04,AXISBANK,D05,250000
2026-04,BAJAJ-AUTO,D05,250000
2026-04,BANKBEES,D05,250000
2026-04,BHARTIARTL,D05,250000
2026-04,BPCL,D05,250000
2026-04,BRITANNIA,D05,250000
2026-04,CIPLA,D05,250000
2026-04,DRREDDY,D05,250000
2026-04,GOLDBEES,D05,250000
2026-04,HCLTECH,D05,250000
2026-04,HDFCBANK,D05,250000
2026-04,HINDUNILVR,D05,250000
2026-04,ICICIBANK,D05,250000
2026-04,INFY,D05,250000
2026-04,ITBEES,D05,250000
2026-04,ITC,D05,250000
2026-04,JUNIORBEES,D05,250000
2026-04,KOTAKBANK,D05,250000
2026-04,LT,D05,250000
2026-04,M&M,D05,250000
2026-04,MARUTI,D05,250000
2026-04,NESTLEIND,D05,250000
2026-04,NIFTYBEES,D05,250000
2026-04,ONGC,D05,250000
2026-04,RELIANCE,D05,250000
2026-04,SBIN,D05,250000
2026-04,SUNPHARMA,D05,250000
2026-04,TCS,D05,250000
2026-04,TECHM,D05,250000
2026-04,ULTRACEMCO,D05,250000
2026-04,WIPRO,D05,250000
2026-05,ADANIPORTS,D04,250000
2026-05,AXISBANK,D04,250000
2026-05,BAJAJ-AUTO,D04,250000
2026-05,BANKBEES,D04,250000
2026-05,BHARTIARTL,D04,250000
2026-05,BPCL,D04,250000
2026-05,BRITANNIA,D04,250000
2026-05,CIPLA,D04,250000
2026-05,DRREDDY,D04,250000
2026-05,GOLDBEES,D04,250000
2026-05,HCLTECH,D04,250000
2026-05,HDFCBANK,D04,250000
2026-05,HINDUNILVR,D04,250000
2026-05,ICICIBANK,D04,250000
2026-05,INFY,D04,250000
2026-05,ITBEES,D04,250000
2026-05,ITC,D04,250000
2026-05,JUNIORBEES,D04,250000
2026-05,KOTAKBANK,D04,250000
2026-05,LT,D04,250000
2026-05,M&M,D04,250000
2026-05,MARUTI,D04,250000
2026-05,NESTLEIND,D04,250000
2026-05,NIFTYBEES,D04,250000
2026-05,ONGC,D04,250000
2026-05,RELIANCE,D04,250000
2026-05,SBIN,D04,250000
2026-05,SUNPHARMA,D04,250000
2026-05,TCS,D04,250000
2026-05,TECHM,D04,250000
2026-05,ULTRACEMCO,D04,250000
2026-05,WIPRO,D04,250000
2026-06,ADANIPORTS,D02,250000
2026-06,AXISBANK,D02,250000
2026-06,BAJAJ-AUTO,D02,250000
2026-06,BANKBEES,D02,250000
2026-06,BHARTIARTL,D02,250000
2026-06,BPCL,D02,250000
2026-06,BRITANNIA,D02,250000
2026-06,CIPLA,D02,250000
2026-06,DRREDDY,D02,250000
2026-06,GOLDBEES,D02,250000
2026-06,HCLTECH,D02,250000
2026-06,HDFCBANK,D02,250000
2026-06,HINDUNILVR,D02,250000
2026-06,ICICIBANK,D02,250000
2026-06,INFY,D02,250000
2026-06,ITBEES,D02,250000
2026-06,ITC,D02,250000
2026-06,JUNIORBEES,D02,250000
2026-06,KOTAKBANK,D02,250000
2026-06,LT,D02,250000
2026-06,M&M,D02,250000
2026-06,MARUTI,D02,250000
2026-06,NESTLEIND,D02,250000
2026-06,NIFTYBEES,D02,250000
2026-06,ONGC,D02,250000
2026-06,RELIANCE,D02,250000
2026-06,SBIN,D02,250000
2026-06,SUNPHARMA,D02,250000
2026-06,TCS,D02,250000
2026-06,TECHM,D02,250000
2026-06,ULTRACEMCO,D02,250000
2026-06,WIPRO,D02,250000
2026-07,ADANIPORTS,D04,250000
2026-07,AXISBANK,D04,250000
2026-07,BAJAJ-AUTO,D04,250000
2026-07,BANKBEES,D04,250000
2026-07,BHARTIARTL,D04,250000
2026-07,BPCL,D04,250000
2026-07,BRITANNIA,D04,250000
2026-07,CIPLA,D04,250000
2026-07,DRREDDY,D04,250000
2026-07,GOLDBEES,D04,250000
2026-07,HCLTECH,D04,250000
2026-07,HDFCBANK,D04,250000
2026-07,HINDUNILVR,D04,250000
2026-07,ICICIBANK,D04,250000
2026-07,INFY,D04,250000
2026-07,ITBEES,D04,250000
2026-07,ITC,D04,250000
2026-07,JUNIORBEES,D04,250000
2026-07,KOTAKBANK,D04,250000
2026-07,LT,D04,250000
2026-07,M&M,D04,250000
2026-07,MARUTI,D04,250000
2026-07,NESTLEIND,D04,250000
2026-07,NIFTYBEES,D04,250000
2026-07,ONGC,D04,250000
2026-07,RELIANCE,D04,250000
2026-07,SBIN,D04,250000
2026-07,SUNPHARMA,D04,250000
2026-07,TCS,D04,250000
2026-07,TECHM,D04,250000
2026-07,ULTRACEMCO,D04,250000
2026-07,WIPRO,D04,250000
2026-08,ADANIPORTS,D06,250000
2026-08,AXISBANK,D06,250000
2026-08,BAJAJ-AUTO,D06,250000
2026-08,BANKBEES,D06,250000
2026-08,BHARTIARTL,D06,250000
2026-08,BPCL,D06,250000
2026-08,BRITANNIA,D06,250000
2026-08,CIPLA,D06,250000
2026-08,DRREDDY,D06,250000
2026-08,GOLDBEES,D06,250000
2026-08,HCLTECH,D06,250000
2026-08,HDFCBANK,D06,250000
2026-08,HINDUNILVR,D06,250000
2026-08,ICICIBANK,D06,250000
