metric,value,description
phase409_cancel_race_market_maker_interpretation_complete,1,Phase409 interpretation completed
phase409_selected_verdict,P409_CANCEL_RACE_MARKET_MAKER_FALSIFIED,Selected verdict
phase409_phase408_best_completed_round_trips,152,Best round trips
phase409_phase408_best_trade_dates,5,Best trade dates
phase409_phase408_best_symbols,5,Best symbols
phase409_phase408_best_positive_date_fraction,0.0,Positive date fraction
phase409_phase408_best_net_pnl_inr,-47401.785561310404,Best net PnL
phase409_phase408_best_annualized_return_pct,-238.90499922900443,Best annualized return
phase409_phase408_cost200_acceptance_survivor_rows,0,Acceptance survivors
phase409_phase408_failed_hard_gate_rows,3,Failed Phase408 hard gates
phase409_p263_closure_upgraded_to_strong_falsification,1,P263 closure upgraded for tested cancel-race route
phase409_same_family_tuning_allowed,0,No tune-it outcome
phase409_strategy_promotion_allowed,0,No promotion
phase409_paper_or_live_acceptance_allowed,0,No paper/live
phase409_deployable_profitability_claim_allowed,0,No deployable claim
phase409_hard_gate_pass_rows,8,Passed hard gates
phase409_hard_gate_rows,8,Hard gates
phase409_next_best_action,stop_retail_two_sided_top5_l2_market_maker_route_or_require_new_external_execution_source,Recommended next action
