gate_id,passed,observed_value,required_value,severity
P427_PHASE298_RAW_DENSE_PRESENT,True,raw_synthetic_l2_dense_full_year,raw_synthetic_l2_dense_full_year,hard
P427_FULL_DEPTH_SCHEMA_PRESENT,True,30,>=30,hard
P427_LEVELS_2_TO_5_REQUIRED,True,1,1,hard
P427_PHASE426_ROUTE_CLOSED,True,P426_QUEUE_DEPLETION_CONTINUATION_REJECTED_ZERO_SYNTHETIC_EVENTS,P426_QUEUE_DEPLETION_CONTINUATION_REJECTED_ZERO_SYNTHETIC_EVENTS,hard
P427_NO_SAME_FAMILY_TUNING,True,0,0,hard
P427_MULTI_FAMILY_GRID_FROZEN,True,1458,1458,hard
P427_FAMILY_BREADTH_FROZEN,True,6,6,hard
P427_EXACT_FORWARD_TICK_GRID_FROZEN,True,3;6;12,3;6;12,hard
P427_COST200_FIXED_CAPITAL_PINNED,True,cost=2.0;capital=1000000.0;notional=100000.0,cost200_fixed_capital,hard
P427_EXECUTION_HARD_GATES_PRECOMMITTED,True,11,11,hard
P427_RESULTS_NOT_GENERATED,True,0,0,hard
P427_FORBIDDEN_ROUTES_CLOSED,True,pair_spread_rescue;queue_depletion_threshold_rescue;market_maker_rescue;passive_fill_rescue;bar_return_reversal_alone;post_result_threshold_tuning;promotion;paper_live;deployable_claim,closed_routes_listed,hard
P427_BOUNDARIES_CLOSED,True,promotion=0;paper=0;claim=0,all_zero,hard
