scenario_id,family_id,lookback_ticks,forward_ticks,min_forward_hold_ms,max_hold_ticks,max_spread_bps,imbalance_threshold,depth_change_threshold,cost_multiplier,order_notional_inr
P428_depth_pressure_continuation_L60_F3_S4p0_I0p25_D0p1,depth_pressure_continuation,60,3,250.0,60,4.0,0.25,0.1,2.0,100000.0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p25_D0p25,depth_pressure_continuation,60,3,250.0,60,4.0,0.25,0.25,2.0,100000.0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p25_D0p4,depth_pressure_continuation,60,3,250.0,60,4.0,0.25,0.4,2.0,100000.0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p4_D0p1,depth_pressure_continuation,60,3,250.0,60,4.0,0.4,0.1,2.0,100000.0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p4_D0p25,depth_pressure_continuation,60,3,250.0,60,4.0,0.4,0.25,2.0,100000.0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p4_D0p4,depth_pressure_continuation,60,3,250.0,60,4.0,0.4,0.4,2.0,100000.0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p55_D0p1,depth_pressure_continuation,60,3,250.0,60,4.0,0.55,0.1,2.0,100000.0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p55_D0p25,depth_pressure_continuation,60,3,250.0,60,4.0,0.55,0.25,2.0,100000.0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p55_D0p4,depth_pressure_continuation,60,3,250.0,60,4.0,0.55,0.4,2.0,100000.0
P428_depth_pressure_continuation_L60_F3_S8p0_I0p25_D0p1,depth_pressure_continuation,60,3,250.0,60,8.0,0.25,0.1,2.0,100000.0
P428_depth_pressure_continuation_L60_F3_S8p0_I0p25_D0p25,depth_pressure_continuation,60,3,250.0,60,8.0,0.25,0.25,2.0,100000.0
