metric,value,description
phase335_best_scenario_id,P335_P334_LANE_A_STRICTER_DEPTH_ACCEL_EDGE_SQ0p975_SPQ1p000_DSQ0p500_TOP2_H300_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_base,Best scenario by annualized return
phase335_best_lane_id,P334_LANE_A_STRICTER_DEPTH_ACCEL_EDGE,Best scenario design lane
phase335_best_annualized_return_pct,50.05383188927679,Best annualized fixed-capital return
phase335_best_cost_profile,zerodha_base,Best cost profile
phase335_cost200_above12_scenario_rows,138,2x-cost scenarios above 12%
phase335_cost200_acceptance_grade_candidate_rows,32,2x-cost scenarios passing acceptance-grade diagnostics
phase335_best_cost200_scenario_id,P335_P334_LANE_A_STRICTER_DEPTH_ACCEL_EDGE_SQ0p975_SPQ1p000_DSQ0p500_TOP2_H300_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_2x_all_in_cost_proxy,Best 2x-cost scenario id
phase335_best_cost200_lane_id,P334_LANE_A_STRICTER_DEPTH_ACCEL_EDGE,Best 2x-cost lane
phase335_best_cost200_annualized_return_pct,29.193422416856485,Best 2x-cost annualized return
phase335_best_cost200_scheduled_event_rows,14,Best 2x-cost scheduled events
phase335_best_cost200_control_pass,1,Best 2x-cost control pass
phase335_best_acceptance_grade_cost200_scenario_id,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,Best acceptance-grade 2x-cost scenario
phase335_best_acceptance_grade_cost200_lane_id,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,Best acceptance-grade lane
phase335_best_acceptance_grade_cost200_annualized_return_pct,19.32314001122077,Best acceptance-grade annualized return
phase335_best_acceptance_grade_cost200_scheduled_event_rows,47,Best acceptance-grade scheduled events
