lane_id,cost_profile,execution_policy,scenario_rows,above12_rows,acceptance_grade_rows,control_pass_rows,best_annualized_return_pct,best_net_pnl_inr,max_scheduled_event_rows,max_symbol_rows
P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,zerodha_2x_all_in_cost_proxy,taker_entry_taker_exit,576,22,22,552,15.094243884933306,6368.144286728053,47,25
P334_LANE_D_HORIZON_AND_EXIT_MARGIN,zerodha_2x_all_in_cost_proxy,taker_entry_taker_exit,432,34,8,312,29.193422416856485,9009.797425866827,47,18
P334_LANE_B_TURNOVER_COMPRESSION,zerodha_2x_all_in_cost_proxy,taker_entry_taker_exit,288,2,2,252,13.954542263091037,6368.144286728053,47,17
P334_LANE_A_STRICTER_DEPTH_ACCEL_EDGE,zerodha_base,taker_entry_taker_exit,384,184,0,312,50.05383188927679,6339.666715518406,22,7
P334_LANE_D_HORIZON_AND_EXIT_MARGIN,zerodha_base,taker_entry_taker_exit,432,149,0,312,50.05383188927679,16121.536799357924,47,18
P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,zerodha_base,taker_entry_taker_exit,576,248,0,552,35.93273514917502,14186.600444577274,47,25
P334_LANE_B_TURNOVER_COMPRESSION,zerodha_base,taker_entry_taker_exit,288,52,0,252,31.733247978230928,13810.669040119272,47,17
P334_LANE_A_STRICTER_DEPTH_ACCEL_EDGE,zerodha_2x_all_in_cost_proxy,taker_entry_taker_exit,384,80,0,312,29.193422416856485,4105.653783756748,22,7
P334_LANE_A_STRICTER_DEPTH_ACCEL_EDGE,zerodha_base,passive_aware_directional_with_penalties,384,28,0,336,16.116523705508197,1968.284713476873,22,7
P334_LANE_D_HORIZON_AND_EXIT_MARGIN,zerodha_base,passive_aware_directional_with_penalties,432,17,0,312,16.116523705508197,2961.9699518414427,47,18
P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,zerodha_base,passive_aware_directional_with_penalties,576,0,0,576,11.322943942527566,5167.216481709008,47,25
P334_LANE_A_STRICTER_DEPTH_ACCEL_EDGE,zerodha_2x_all_in_cost_proxy,passive_aware_directional_with_penalties,384,0,0,336,9.91241277600933,1376.7239966679622,22,7
P334_LANE_D_HORIZON_AND_EXIT_MARGIN,zerodha_2x_all_in_cost_proxy,passive_aware_directional_with_penalties,432,0,0,312,9.91241277600933,1376.7239966679622,47,18
P334_LANE_B_TURNOVER_COMPRESSION,zerodha_base,passive_aware_directional_with_penalties,288,0,0,288,7.274010712469245,3319.489015610965,47,17
P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,zerodha_2x_all_in_cost_proxy,passive_aware_directional_with_penalties,576,0,0,576,1.69452471554081,773.2950090761633,47,25
P334_LANE_B_TURNOVER_COMPRESSION,zerodha_2x_all_in_cost_proxy,passive_aware_directional_with_penalties,288,0,0,288,-0.9063142775148065,-413.59580124683634,47,17
