rule_id,signal_id,side_mode,bar_events,shock_bucket,feature_quantile,abs_prev_return_threshold
P71_SHOCK_MOMENTUM_B5000_market_shock_Q50,SHOCK_MOMENTUM,sign,5000,market_shock,0.5,0.0038210070476352165
P71_SHOCK_MOMENTUM_B5000_market_shock_Q70,SHOCK_MOMENTUM,sign,5000,market_shock,0.7,0.006343541427223575
P71_SHOCK_MOMENTUM_B5000_market_shock_Q90,SHOCK_MOMENTUM,sign,5000,market_shock,0.9,0.011323156409762712
P71_SHOCK_MEAN_REVERSION_B5000_market_shock_Q50,SHOCK_MEAN_REVERSION,opposite,5000,market_shock,0.5,0.0038210070476352165
P71_SHOCK_MEAN_REVERSION_B5000_market_shock_Q70,SHOCK_MEAN_REVERSION,opposite,5000,market_shock,0.7,0.006343541427223575
P71_SHOCK_MEAN_REVERSION_B5000_market_shock_Q90,SHOCK_MEAN_REVERSION,opposite,5000,market_shock,0.9,0.011323156409762712
P71_SHOCK_MOMENTUM_B5000_no_shock_control_Q50,SHOCK_MOMENTUM,sign,5000,no_shock_control,0.5,0.0020775623268698418
P71_SHOCK_MOMENTUM_B5000_no_shock_control_Q70,SHOCK_MOMENTUM,sign,5000,no_shock_control,0.7,0.0032915380576082898
P71_SHOCK_MOMENTUM_B5000_no_shock_control_Q90,SHOCK_MOMENTUM,sign,5000,no_shock_control,0.9,0.005645072892688785
P71_SHOCK_MEAN_REVERSION_B5000_no_shock_control_Q50,SHOCK_MEAN_REVERSION,opposite,5000,no_shock_control,0.5,0.0020775623268698418
P71_SHOCK_MEAN_REVERSION_B5000_no_shock_control_Q70,SHOCK_MEAN_REVERSION,opposite,5000,no_shock_control,0.7,0.0032915380576082898
P71_SHOCK_MEAN_REVERSION_B5000_no_shock_control_Q90,SHOCK_MEAN_REVERSION,opposite,5000,no_shock_control,0.9,0.005645072892688785
P71_SHOCK_MOMENTUM_B5000_symbol_shock_Q50,SHOCK_MOMENTUM,sign,5000,symbol_shock,0.5,0.0052111693933415415
P71_SHOCK_MOMENTUM_B5000_symbol_shock_Q70,SHOCK_MOMENTUM,sign,5000,symbol_shock,0.7,0.008432771973510177
P71_SHOCK_MOMENTUM_B5000_symbol_shock_Q90,SHOCK_MOMENTUM,sign,5000,symbol_shock,0.9,0.012125274979848291
P71_SHOCK_MEAN_REVERSION_B5000_symbol_shock_Q50,SHOCK_MEAN_REVERSION,opposite,5000,symbol_shock,0.5,0.0052111693933415415
P71_SHOCK_MEAN_REVERSION_B5000_symbol_shock_Q70,SHOCK_MEAN_REVERSION,opposite,5000,symbol_shock,0.7,0.008432771973510177
P71_SHOCK_MEAN_REVERSION_B5000_symbol_shock_Q90,SHOCK_MEAN_REVERSION,opposite,5000,symbol_shock,0.9,0.012125274979848291
P71_SHOCK_MOMENTUM_B10000_market_shock_Q50,SHOCK_MOMENTUM,sign,10000,market_shock,0.5,0.0055653933721223625
P71_SHOCK_MOMENTUM_B10000_market_shock_Q70,SHOCK_MOMENTUM,sign,10000,market_shock,0.7,0.008627623016743469
P71_SHOCK_MOMENTUM_B10000_market_shock_Q90,SHOCK_MOMENTUM,sign,10000,market_shock,0.9,0.014805360561582659
P71_SHOCK_MEAN_REVERSION_B10000_market_shock_Q50,SHOCK_MEAN_REVERSION,opposite,10000,market_shock,0.5,0.0055653933721223625
P71_SHOCK_MEAN_REVERSION_B10000_market_shock_Q70,SHOCK_MEAN_REVERSION,opposite,10000,market_shock,0.7,0.008627623016743469
P71_SHOCK_MEAN_REVERSION_B10000_market_shock_Q90,SHOCK_MEAN_REVERSION,opposite,10000,market_shock,0.9,0.014805360561582659
P71_SHOCK_MOMENTUM_B10000_no_shock_control_Q50,SHOCK_MOMENTUM,sign,10000,no_shock_control,0.5,0.0033314574272252373
P71_SHOCK_MOMENTUM_B10000_no_shock_control_Q70,SHOCK_MOMENTUM,sign,10000,no_shock_control,0.7,0.00508762251482564
P71_SHOCK_MOMENTUM_B10000_no_shock_control_Q90,SHOCK_MOMENTUM,sign,10000,no_shock_control,0.9,0.0078117656594268725
P71_SHOCK_MEAN_REVERSION_B10000_no_shock_control_Q50,SHOCK_MEAN_REVERSION,opposite,10000,no_shock_control,0.5,0.0033314574272252373
P71_SHOCK_MEAN_REVERSION_B10000_no_shock_control_Q70,SHOCK_MEAN_REVERSION,opposite,10000,no_shock_control,0.7,0.00508762251482564
P71_SHOCK_MEAN_REVERSION_B10000_no_shock_control_Q90,SHOCK_MEAN_REVERSION,opposite,10000,no_shock_control,0.9,0.0078117656594268725
P71_SHOCK_MOMENTUM_B10000_symbol_shock_Q50,SHOCK_MOMENTUM,sign,10000,symbol_shock,0.5,0.00670270270270279
P71_SHOCK_MOMENTUM_B10000_symbol_shock_Q70,SHOCK_MOMENTUM,sign,10000,symbol_shock,0.7,0.009934322743752364
P71_SHOCK_MOMENTUM_B10000_symbol_shock_Q90,SHOCK_MOMENTUM,sign,10000,symbol_shock,0.9,0.01704143363211017
P71_SHOCK_MEAN_REVERSION_B10000_symbol_shock_Q50,SHOCK_MEAN_REVERSION,opposite,10000,symbol_shock,0.5,0.00670270270270279
P71_SHOCK_MEAN_REVERSION_B10000_symbol_shock_Q70,SHOCK_MEAN_REVERSION,opposite,10000,symbol_shock,0.7,0.009934322743752364
P71_SHOCK_MEAN_REVERSION_B10000_symbol_shock_Q90,SHOCK_MEAN_REVERSION,opposite,10000,symbol_shock,0.9,0.01704143363211017
