rule_id,signal_id,side_mode,bar_events,shock_bucket,feature_quantile,abs_prev_return_threshold,trades,symbols,trade_months,net_pnl_inr,gross_pnl_proxy_inr,cost_pnl_drag_proxy_inr,mean_net_bps,precision_cost_clear,positive_symbol_fraction,positive_month_fraction,cost_drag_to_abs_gross_ratio,matched_no_shock_control_net_pnl_inr,label_candidate
P71_SHOCK_MEAN_REVERSION_B10000_market_shock_Q90,SHOCK_MEAN_REVERSION,opposite,10000,market_shock,0.9,0.014805360561582659,72,29,1,13311.377520269712,24096.12040071284,10784.74288044313,18.488024333707934,0.6111111111111112,0.6896551724137931,1.0,0.4475717543361911,-10934.83970634852,False
P71_SHOCK_MEAN_REVERSION_B10000_market_shock_Q70,SHOCK_MEAN_REVERSION,opposite,10000,market_shock,0.7,0.008627623016743469,214,31,1,10530.49347178715,42692.195829005985,32161.70235721885,4.920791341956612,0.5186915887850467,0.6129032258064516,1.0,0.7533391462466661,-45378.345498240174,False
P71_SHOCK_MEAN_REVERSION_B10000_symbol_shock_Q50,SHOCK_MEAN_REVERSION,opposite,10000,symbol_shock,0.5,0.00670270270270279,12,1,1,7553.208268781017,9370.459778968176,1817.2515101871588,62.94340223984181,0.75,1.0,1.0,0.19393408147014793,-90473.95779802608,False
P71_SHOCK_MEAN_REVERSION_B10000_symbol_shock_Q70,SHOCK_MEAN_REVERSION,opposite,10000,symbol_shock,0.7,0.009934322743752364,7,1,1,6850.043733533277,7909.783904489332,1059.7401709560538,97.85776762190396,0.7142857142857143,1.0,1.0,0.13397839735603653,-45378.345498240174,False
P71_SHOCK_MEAN_REVERSION_B10000_symbol_shock_Q90,SHOCK_MEAN_REVERSION,opposite,10000,symbol_shock,0.9,0.01704143363211017,3,1,1,6149.69617396237,6603.82103543653,454.12486147416024,204.9898724654123,1.0,1.0,1.0,0.06876698490726761,-10934.83970634852,False
P71_SHOCK_MEAN_REVERSION_B5000_symbol_shock_Q70,SHOCK_MEAN_REVERSION,opposite,5000,symbol_shock,0.7,0.008432771973510177,15,1,1,3103.6420108454554,5371.810762693341,2268.1687518478843,20.690946738969703,0.4666666666666667,1.0,1.0,0.4222354159606807,-152170.80222231257,False
P71_SHOCK_MEAN_REVERSION_B5000_symbol_shock_Q50,SHOCK_MEAN_REVERSION,opposite,5000,symbol_shock,0.5,0.0052111693933415415,24,1,1,1751.325801610175,5387.4110525067745,3636.0852508965995,7.297190840042395,0.5,1.0,1.0,0.6749225584345788,-285024.9545664364,False
P71_SHOCK_MOMENTUM_B5000_symbol_shock_Q90,SHOCK_MOMENTUM,sign,5000,symbol_shock,0.9,0.012125274979848291,5,1,1,-744.0911629339363,11.070606306406994,755.1617692403432,-14.881823258678724,0.2,0.0,0.0,68.21322593716494,-63587.49300747315,False
P71_SHOCK_MEAN_REVERSION_B5000_symbol_shock_Q90,SHOCK_MEAN_REVERSION,opposite,5000,symbol_shock,0.9,0.012125274979848291,5,1,1,-766.2323755467502,-11.070606306406994,755.1617692403432,-15.324647510935002,0.2,0.0,0.0,68.21322593716494,-46510.22303963592,False
P71_SHOCK_MEAN_REVERSION_B10000_market_shock_Q50,SHOCK_MEAN_REVERSION,opposite,10000,market_shock,0.5,0.0055653933721223625,356,31,1,-2682.5839957412195,51162.69286414555,53845.276859886784,-0.7535348302643875,0.4747191011235955,0.6129032258064516,0.0,1.0524324238144462,-90473.95779802608,False
P71_SHOCK_MOMENTUM_B10000_symbol_shock_Q90,SHOCK_MOMENTUM,sign,10000,symbol_shock,0.9,0.01704143363211017,3,1,1,-7057.94589691069,-6603.82103543653,454.12486147416024,-235.26486323035635,0.0,0.0,0.0,0.06876698490726761,-41902.70271589911,False
P71_SHOCK_MOMENTUM_B5000_symbol_shock_Q70,SHOCK_MOMENTUM,sign,5000,symbol_shock,0.7,0.008432771973510177,15,1,1,-7639.979514541225,-5371.810762693341,2268.1687518478843,-50.93319676360817,0.26666666666666666,0.0,0.0,0.4222354159606807,-179002.149714099,False
P71_SHOCK_MOMENTUM_B10000_symbol_shock_Q70,SHOCK_MOMENTUM,sign,10000,symbol_shock,0.7,0.009934322743752364,7,1,1,-8969.524075445386,-7909.783904489332,1059.7401709560538,-128.13605822064838,0.2857142857142857,0.0,0.0,0.13397839735603653,-113174.85278024062,False
P71_SHOCK_MOMENTUM_B5000_symbol_shock_Q50,SHOCK_MOMENTUM,sign,5000,symbol_shock,0.5,0.0052111693933415415,24,1,1,-9023.496303403374,-5387.4110525067745,3636.0852508965995,-37.59790126418073,0.2916666666666667,0.0,0.0,0.6749225584345788,-268288.21432334394,False
