decision_id,decision_value,evidence,status
selected_verdict,P433_GEOMETRY_CONSISTENT_FULL_DEPTH_SWEEP_REJECTED_NEGATIVE_SPARSE,"After timing repair, the broader full-depth sweep produced active but sparse negative synthetic trades and no survivor.",terminal_for_this_sweep
phase432_next_action_matched,interpret_phase432_geometry_consistent_full_depth_feature_sweep_no_paper_live,Phase433 implements the Phase432 next-action string.,basis
synthetic_grid_rows,486,Synthetic grid rows evaluated.,evidence
active_synthetic_scenario_rows,27,Scenarios with at least one synthetic trade.,evidence
best_active_scenario_id,P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S8p0_I0p25_D0p1,Best active scenario after corrected ranking.,failure
best_active_family_id,depth_pressure_continuation,Best active family.,failure
best_active_round_trips,10,Sparse versus event floor.,failure
best_active_trade_dates,2,Sparse versus date breadth.,failure
best_active_symbols,1,Sparse versus symbol breadth.,failure
best_active_net_pnl_inr,-1604.185637794453,Negative after cost200.,failure
best_active_annualized_return_pct,-20.21273903621011,Failed annualized floor.,failure
phase432_failed_hard_gates,P432_L1_ONLY_CONTROL;P432_EVENT_FLOOR;P432_DATE_BREADTH;P432_SYMBOL_BREADTH;P432_POSITIVE_DATE_FRACTION;P432_ANNUALIZED_FLOOR,Explicit failed gate basis.,basis
real_anchor_active_scenario_rows,0,Matching real-anchor rows had no active trades.,real_anchor_gap
strategy_promotion_allowed,0,No accepted survivor.,closed
paper_or_live_acceptance_allowed,0,No paper/live acceptance.,closed
deployable_profitability_claim_allowed,0,No deployable claim.,closed
same_threshold_family_tuning_allowed,0,Do not tune thresholds after seeing the negative sparse result.,closed
next_action,pause_for_strategy_decision_report_or_precommit_material_new_non_threshold_source,Decide whether to pause or precommit a materially new non-threshold source.,next
