candidate_root,panel_root,discovery_status,layout_type,parquet_files,symbols_observed,expected_symbol_fraction,trade_dates_observed,trade_date_list,ready_for_schema_scan,ready_for_phase96_scan,recommended_action
real_data_sample,real_data_sample,found_parquet,partitioned_by_trade_date,149477,32,1.0,1,2026-07-08,True,True,run_phase96_against_this_root
real_data_sample,real_data_sample\l2_multiday_panel\trade_date=2026-07-08,found_parquet,partitioned_by_trade_date,20507,32,1.0,1,2026-07-08,True,True,run_phase96_against_this_root
real_data_sample,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE,found_parquet,partitioned_by_trade_date,20507,32,1.0,1,2026-07-08,True,True,run_phase96_against_this_root
real_data_sample,real_data_sample\l2_multiday_panel\trade_date=2026-07-09,found_parquet,partitioned_by_trade_date,28560,32,1.0,1,2026-07-09,True,True,run_phase96_against_this_root
real_data_sample,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE,found_parquet,partitioned_by_trade_date,28560,32,1.0,1,2026-07-09,True,True,run_phase96_against_this_root
real_data_sample,real_data_sample\l2_multiday_panel\trade_date=2026-07-13,found_parquet,partitioned_by_trade_date,50205,32,1.0,1,2026-07-13,True,True,run_phase96_against_this_root
real_data_sample,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE,found_parquet,partitioned_by_trade_date,50205,32,1.0,1,2026-07-13,True,True,run_phase96_against_this_root
real_data_sample,real_data_sample\l2_single_day,found_parquet,symbol_partition_only_or_unknown_date,50205,32,1.0,1,unknown_single_day,True,True,run_phase96_against_this_root
raw_l2,,missing_root,missing,0,0,0.0,0,,False,False,place_real_l2_parquet_under_this_root_or_register_another_candidate_root
scratch_l2_sample_20260710_HDFCBANK,,missing_root,missing,0,0,0.0,0,,False,False,place_real_l2_parquet_under_this_root_or_register_another_candidate_root
